,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
0,India,LFP,0.5500682353155628,2023,Strategy 2,Pyro,1.513655179,0.8326136331887923
1,India,NMC111,622.5231905862626,2023,Strategy 2,Pyro,1.672116182,1040.9311006495595
2,India,NMC622,122.32690928770788,2023,Strategy 2,Pyro,1.7540295940000001,214.5650190331931
3,India,NMC811,30.105518510679477,2023,Strategy 2,Pyro,1.832548805,55.16983197065106
4,India,NMC523,363.6371871037995,2023,Strategy 2,Pyro,1.7264391850000003,627.7974889391762
5,India,NCA,1050.9838454778624,2023,Strategy 2,Pyro,1.811685064,1904.0517353575271
6,Japan,LFP,0.39267696085916365,2023,Strategy 2,Pyro,1.513655179,0.5943775154784533
7,Japan,NMC111,838.4227588363309,2023,Strategy 2,Pyro,1.672116182,1401.9402624073123
8,Japan,NMC622,145.78917286278863,2023,Strategy 2,Pyro,1.7540295940000001,255.71852368611297
9,Japan,NMC811,27.017023810428597,2023,Strategy 2,Pyro,1.832548805,49.510014698457475
10,Japan,NMC523,480.91852038359184,2023,Strategy 2,Pyro,1.7264391850000003,830.2765783824543
11,Japan,NCA,1237.8173389294136,2023,Strategy 2,Pyro,1.811685064,2242.5351848986443
12,Korea,LFP,1.8431197305513423,2023,Strategy 2,Pyro,1.513655179,2.7898477256661236
13,Korea,NMC111,459.7457088403141,2023,Strategy 2,Pyro,1.672116182,768.7482393569496
14,Korea,NMC622,132.93301071924395,2023,Strategy 2,Pyro,1.7540295940000001,233.16843482107313
15,Korea,NMC811,46.85760584367299,2023,Strategy 2,Pyro,1.832548805,85.86884959398397
16,Korea,NMC523,353.84397243685976,2023,Strategy 2,Pyro,1.7264391850000003,610.8900993910547
17,Korea,NCA,919.4560041601239,2023,Strategy 2,Pyro,1.811685064,1665.7647097420183
18,Thailand,LFP,2.0526184351984047,2023,Strategy 2,Pyro,1.513655179,3.106956524948941
19,Thailand,NMC111,2513.9218036565935,2023,Strategy 2,Pyro,1.672116182,4203.569328176816
20,Thailand,NMC622,528.6296549286125,2023,Strategy 2,Pyro,1.7540295940000001,927.2320590107943
21,Thailand,NMC811,131.56000166993647,2023,Strategy 2,Pyro,1.832548805,241.0901238460401
22,Thailand,NMC523,1557.996114043831,2023,Strategy 2,Pyro,1.7264391850000003,2689.785541362999
23,Thailand,NCA,4171.514966767775,2023,Strategy 2,Pyro,1.811685064,7557.471359545634
24,Viet Nam,LFP,0.3043063680273929,2023,Strategy 2,Pyro,1.513655179,0.4606149099673433
25,Viet Nam,NMC111,867.613338323516,2023,Strategy 2,Pyro,1.672116182,1450.7503027297919
26,Viet Nam,NMC622,169.58133644348143,2023,Strategy 2,Pyro,1.7540295940000001,297.4506827119372
27,Viet Nam,NMC811,36.4267486233314,2023,Strategy 2,Pyro,1.832548805,66.75379465972135
28,Viet Nam,NMC523,510.639165255263,2023,Strategy 2,Pyro,1.7264391850000003,881.5874642923767
29,Viet Nam,NCA,1415.4351049863808,2023,Strategy 2,Pyro,1.811685064,2564.322638765098
30,France,LFP,30.82865907948463,2023,Strategy 2,Pyro,1.513655179,46.66395947728728
31,France,NMC111,1934.5415240208572,2023,Strategy 2,Pyro,1.672116182,3234.778187066217
32,France,NMC622,572.422007215759,2023,Strategy 2,Pyro,1.7540295940000001,1004.0451409133228
33,France,NMC811,191.58947696609516,2023,Strategy 2,Pyro,1.832548805,351.0970670647927
34,France,NMC523,1461.4590501316059,2023,Strategy 2,Pyro,1.7264391850000003,2523.1201714200843
35,France,NCA,2396.6135226315027,2023,Strategy 2,Pyro,1.811685064,4341.908923131919
36,Germany,LFP,64.03424586812926,2023,Strategy 2,Pyro,1.513655179,96.9257678916532
37,Germany,NMC111,2952.52905590908,2023,Strategy 2,Pyro,1.672116182,4936.971612210755
38,Germany,NMC622,1059.283188919846,2023,Strategy 2,Pyro,1.7540295940000001,1858.014061792103
39,Germany,NMC811,418.48384338318425,2023,Strategy 2,Pyro,1.832548805,766.8920671036615
40,Germany,NMC523,2552.22145298083,2023,Strategy 2,Pyro,1.7264391850000003,4406.25512522374
41,Germany,NCA,3957.488166384406,2023,Strategy 2,Pyro,1.811685064,7169.722201995375
42,Hungary,LFP,6.591016806710752,2023,Strategy 2,Pyro,1.513655179,9.976526724353771
43,Hungary,NMC111,930.3574307845996,2023,Strategy 2,Pyro,1.672116182,1555.665715058874
44,Hungary,NMC622,218.75772452851845,2023,Strategy 2,Pyro,1.7540295940000001,383.7075227391211
45,Hungary,NMC811,64.96141772885846,2023,Strategy 2,Pyro,1.832548805,119.0449684301254
46,Hungary,NMC523,600.3590053751325,2023,Strategy 2,Pyro,1.7264391850000003,1036.4833119472546
47,Hungary,NCA,1439.4030339539156,2023,Strategy 2,Pyro,1.811685064,2607.7449776905937
48,Italy,LFP,32.01686295673592,2023,Strategy 2,Pyro,1.513655179,48.462490429796574
49,Italy,NMC111,592.7072182065572,2023,Strategy 2,Pyro,1.672116182,991.0753307513892
50,Italy,NMC622,214.09514235160853,2023,Strategy 2,Pyro,1.7540295940000001,375.5292156163641
51,Italy,NMC811,85.87215056596494,2023,Strategy 2,Pyro,1.832548805,157.36490690243915
52,Italy,NMC523,504.42043358982556,2023,Strategy 2,Pyro,1.7264391850000003,870.8512022641652
53,Italy,NCA,939.6628804152809,2023,Strategy 2,Pyro,1.811685064,1702.3732056435827
54,Poland,LFP,4.886604257436245,2023,Strategy 2,Pyro,1.513655179,7.396633841991821
55,Poland,NMC111,228.7335084456388,2023,Strategy 2,Pyro,1.672116182,382.4690008375863
56,Poland,NMC622,58.218085914423085,2023,Strategy 2,Pyro,1.7540295940000001,102.11624559993265
57,Poland,NMC811,16.6145312057403,2023,Strategy 2,Pyro,1.832548805,30.446939306714594
58,Poland,NMC523,160.34800723315337,2023,Strategy 2,Pyro,1.7264391850000003,276.83108292397947
59,Poland,NCA,347.64899758167905,2023,Strategy 2,Pyro,1.811685064,629.8304964333
60,Slovakia,LFP,0.4928715649001103,2023,Strategy 2,Pyro,1.513655179,0.7460375967928865
61,Slovakia,NMC111,9.998370575050227,2023,Strategy 2,Pyro,1.672116182,16.71843723217413
62,Slovakia,NMC622,3.8351376232863075,2023,Strategy 2,Pyro,1.7540295940000001,6.726944888307007
63,Slovakia,NMC811,1.4023424002149287,2023,Strategy 2,Pyro,1.832548805,2.5698608897146995
64,Slovakia,NMC523,9.159649184727083,2023,Strategy 2,Pyro,1.7264391850000003,15.813577273366143
65,Slovakia,NCA,13.548869890896187,2023,Strategy 2,Pyro,1.811685064,24.54628521541593
66,Spain,LFP,15.083492237198392,2023,Strategy 2,Pyro,1.513655179,22.83120614224164
67,Spain,NMC111,741.340420913219,2023,Strategy 2,Pyro,1.672116182,1239.6073141796846
68,Spain,NMC622,239.68850843874802,2023,Strategy 2,Pyro,1.7540295940000001,420.4207371432828
69,Spain,NMC811,76.20261668746745,2023,Strategy 2,Pyro,1.832548805,139.64501414849155
70,Spain,NMC523,604.8268894266007,2023,Strategy 2,Pyro,1.7264391850000003,1044.1968420477458
71,Spain,NCA,1038.0291713436736,2023,Strategy 2,Pyro,1.811685064,1880.5819457196303
72,Sweden,LFP,7.760562923606021,2023,Strategy 2,Pyro,1.513655179,11.746816261271634
73,Sweden,NMC111,904.5428374098277,2023,Strategy 2,Pyro,1.672116182,1512.5007157451678
74,Sweden,NMC622,290.1082675524963,2023,Strategy 2,Pyro,1.7540295940000001,508.85848675114846
75,Sweden,NMC811,93.33611014241305,2023,Strategy 2,Pyro,1.832548805,171.04297710482743
76,Sweden,NMC523,734.1833800204485,2023,Strategy 2,Pyro,1.7264391850000003,1267.5229562430486
77,Sweden,NCA,1127.1993396197854,2023,Strategy 2,Pyro,1.811685064,2042.1302077398286
78,United Kingdom,LFP,4.201071419150403,2023,Strategy 2,Pyro,1.513655179,6.358973510945887
79,United Kingdom,NMC111,1227.4916995687183,2023,Strategy 2,Pyro,1.672116182,2052.5087341195363
80,United Kingdom,NMC622,308.40833551480756,2023,Strategy 2,Pyro,1.7540295940000001,540.9573475292538
81,United Kingdom,NMC811,126.716611221046,2023,Strategy 2,Pyro,1.832548805,232.21437446677743
82,United Kingdom,NMC523,819.0385068110843,2023,Strategy 2,Pyro,1.7264391850000003,1414.0201721825456
83,United Kingdom,NCA,2380.020437700341,2023,Strategy 2,Pyro,1.811685064,4311.84747899645
84,Norway,LFP,0.15982236544698558,2023,Strategy 2,Pyro,1.513655179,0.24191595117886036
85,Norway,NMC111,1336.5268500905245,2023,Strategy 2,Pyro,1.672116182,2234.828173713854
86,Norway,NMC622,274.28833509299784,2023,Strategy 2,Pyro,1.7540295940000001,481.10985704210697
87,Norway,NMC811,78.09819000287145,2023,Strategy 2,Pyro,1.832548805,143.11874476242502
88,Norway,NMC523,801.178521160136,2023,Strategy 2,Pyro,1.7264391850000003,1383.1859931112108
89,Norway,NCA,2243.473724100714,2023,Strategy 2,Pyro,1.811685064,4064.4678374297205
90,Russian Federation,LFP,0.24724030033696848,2023,Strategy 2,Pyro,1.513655179,0.37423656106256775
91,Russian Federation,NMC111,615.176495494838,2023,Strategy 2,Pyro,1.672116182,1028.6465729029687
92,Russian Federation,NMC622,98.8867680554965,2023,Strategy 2,Pyro,1.7540295940000001,173.4503176243547
93,Russian Federation,NMC811,17.74494422823665,2023,Strategy 2,Pyro,1.832548805,32.51847634024672
94,Russian Federation,NMC523,313.6565899898164,2023,Strategy 2,Pyro,1.7264391850000003,541.5090275918978
95,Russian Federation,NCA,967.8367845372354,2023,Strategy 2,Pyro,1.811685064,1753.4154469358955
96,Serbia,LFP,0.007413689333023927,2023,Strategy 2,Pyro,1.513655179,0.011221769254428722
97,Serbia,NMC111,16.765545349481396,2023,Strategy 2,Pyro,1.672116182,28.033939678922685
98,Serbia,NMC622,2.656190337144038,2023,Strategy 2,Pyro,1.7540295940000001,4.65903645864748
99,Serbia,NMC811,0.5055875309878543,2023,Strategy 2,Pyro,1.832548805,0.9265138257346928
100,Serbia,NMC523,7.7051284813585745,2023,Strategy 2,Pyro,1.7264391850000003,13.302435735676987
