,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
66,Spain,LFP,15.083492237198392,2023,Strategy 2,Direct,2.252335332,33.97308249578966
67,Spain,NMC111,741.340420913219,2023,Strategy 2,Direct,2.5573470780000003,1895.8647592257107
68,Spain,NMC622,239.68850843874802,2023,Strategy 2,Direct,2.478807863,594.1417593887105
69,Spain,NMC811,76.20261668746745,2023,Strategy 2,Direct,2.397518212,182.69716131025834
70,Spain,NMC523,604.8268894266007,2023,Strategy 2,Direct,2.496014242,1509.6565299533547
71,Spain,NCA,1038.0291713436736,2023,Strategy 2,Direct,2.452491446,2545.7576634188276
72,Sweden,LFP,7.760562923606021,2023,Strategy 2,Direct,2.252335332,17.479390069047056
73,Sweden,NMC111,904.5428374098277,2023,Strategy 2,Direct,2.5573470780000003,2313.2299821758525
74,Sweden,NMC622,290.1082675524963,2023,Strategy 2,Direct,2.478807863,719.1226547304356
75,Sweden,NMC811,93.33611014241305,2023,Strategy 2,Direct,2.397518212,223.7750239036732
76,Sweden,NMC523,734.1833800204485,2023,Strategy 2,Direct,2.496014242,1832.5321727707378
77,Sweden,NCA,1127.1993396197854,2023,Strategy 2,Direct,2.452491446,2764.4467383543724
78,United Kingdom,LFP,4.201071419150403,2023,Strategy 2,Direct,2.252335332,9.462221589607834
79,United Kingdom,NMC111,1227.4916995687183,2023,Strategy 2,Direct,2.5573470780000003,3139.1223111613162
80,United Kingdom,NMC622,308.40833551480756,2023,Strategy 2,Direct,2.478807863,764.4850070888472
81,United Kingdom,NMC811,126.716611221046,2023,Strategy 2,Direct,2.397518212,303.80538316538133
82,United Kingdom,NMC523,819.0385068110843,2023,Strategy 2,Direct,2.496014242,2044.3317777468806
83,United Kingdom,NCA,2380.020437700341,2023,Strategy 2,Direct,2.452491446,5836.979764765262
84,Norway,LFP,0.15982236544698558,2023,Strategy 2,Direct,2.252335332,0.3599735605400616
85,Norway,NMC111,1336.5268500905245,2023,Strategy 2,Direct,2.5573470780000003,3417.963034747547
86,Norway,NMC622,274.28833509299784,2023,Strategy 2,Direct,2.478807863,679.9080817577019
87,Norway,NMC811,78.09819000287145,2023,Strategy 2,Direct,2.397518212,187.24183285612062
88,Norway,NMC523,801.178521160136,2023,Strategy 2,Direct,2.496014242,1999.752999200198
89,Norway,NCA,2243.473724100714,2023,Strategy 2,Direct,2.452491446,5502.100117682765
90,Russian Federation,LFP,0.24724030033696848,2023,Strategy 2,Direct,2.252335332,0.5568680639432456
91,Russian Federation,NMC111,615.176495494838,2023,Strategy 2,Direct,2.5573470780000003,1573.2198132080043
