,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
86,SLE,ESP,1.0,3676.671,62.503407,2023,Strategy 2
87,TGO,ESP,15.0,3845.382,980.5724100000001,2023,Strategy 2
88,BRN,THA,2.0,1864.9089999999999,63.406906,2023,Strategy 2
89,IDN,THA,2511.0,2316.466,98882.98414200002,2023,Strategy 2
90,KHM,THA,26.0,535.9692,236.8983864,2023,Strategy 2
91,LAO,THA,6.0,525.2488,53.5753776,2023,Strategy 2
92,LKA,THA,9.0,2381.501,364.3696530000001,2023,Strategy 2
93,MYS,THA,15.0,1187.123,302.71636500000005,2023,Strategy 2
94,PHL,THA,423.0,2210.015,15892.217865,2023,Strategy 2
95,MMR,THA,45.0,575.9035,440.56617750000004,2023,Strategy 2
96,VNM,THA,4573.0,990.7018,77018.14863380001,2023,Strategy 2
97,ABW,USA,6.0,3007.2690000000002,306.7414380000001,2023,Strategy 2
98,ARG,USA,602.0,8403.226,85998.61488400001,2023,Strategy 2
99,BMU,USA,9.0,1322.3970000000002,202.32674100000006,2023,Strategy 2
100,BOL,USA,82.0,6565.147,9151.814918,2023,Strategy 2
101,CHL,USA,9.0,8080.885,1236.375405,2023,Strategy 2
102,COL,USA,296.0,3815.184,19198.005888000003,2023,Strategy 2
103,CRI,USA,98.0,3290.809,5482.487794000001,2023,Strategy 2
104,DOM,USA,38.0,2371.688,1532.1104480000001,2023,Strategy 2
105,ECU,USA,46.0,4354.532,3405.2440240000005,2023,Strategy 2
106,GTM,USA,125.0,3004.99,6385.60375,2023,Strategy 2
107,GUY,USA,2.0,4042.361,137.44027400000002,2023,Strategy 2
108,HND,USA,31.0,2935.833,1547.183991,2023,Strategy 2
109,JAM,USA,26.0,2326.271,1028.211782,2023,Strategy 2
110,LCA,USA,1.0,3181.8070000000002,54.09071900000001,2023,Strategy 2
111,MEX,USA,102.0,3037.9159999999997,5267.746344,2023,Strategy 2
112,NIC,USA,28.0,3117.8579999999997,1484.100408,2023,Strategy 2
113,PAN,USA,36.0,3339.086,2043.520632,2023,Strategy 2
114,PER,USA,241.0,5672.588000000001,23240.593036000002,2023,Strategy 2
115,PRY,USA,27.0,7414.781,3403.3844790000003,2023,Strategy 2
116,SLV,USA,37.0,3049.3779999999997,1918.058762,2023,Strategy 2
