,country,type,recycling_m,scrap_sum,year,Strategy type,CO2,CO2_em
0,Australia,LFP,Direct,0.4556539479806317,2023,Strategy 2,2.252335332,1.0262854862020667
1,Australia,NCA,Direct,273.8644055752438,2023,Strategy 2,2.452491446,671.65011203716
2,Australia,NMC111,Direct,139.32007765308379,2023,Strategy 2,2.5573470780000003,356.28979349284697
3,Australia,NMC523,Direct,99.11879738336108,2023,Strategy 2,2.496014242,247.40192991878163
4,Australia,NMC622,Direct,37.25592911304248,2023,Strategy 2,2.478807863,92.35029002878031
5,Australia,NMC811,Direct,12.206000755032893,2023,Strategy 2,2.397518212,29.26410910587711
6,Belgium,LFP,Direct,6.510830101648675,2023,Strategy 2,2.252335332,14.66457267859246
7,Belgium,NCA,Direct,603.7566892892808,2023,Strategy 2,2.452491446,1480.7081159472407
8,Belgium,NMC111,Direct,488.47985945987506,2023,Strategy 2,2.5573470780000003,1249.2125412515622
9,Belgium,NMC523,Direct,383.7429299203142,2023,Strategy 2,2.496014242,957.8278183479123
10,Belgium,NMC622,Direct,146.7014665525706,2023,Strategy 2,2.478807863,363.6447488041435
11,Belgium,NMC811,Direct,46.34652010844001,2023,Strategy 2,2.397518212,111.11662602280914
12,Brazil,LFP,Direct,1.4229203475426893,2023,Strategy 2,2.252335332,3.204893773392118
13,Brazil,NCA,Direct,50.4550385578365,2023,Strategy 2,2.452491446,123.74055047069419
14,Brazil,NMC111,Direct,15.905190283314633,2023,Strategy 2,2.5573470780000003,40.67509189606867
15,Brazil,NMC523,Direct,16.600186517818152,2023,Strategy 2,2.496014242,41.434301968330495
16,Brazil,NMC622,Direct,7.675899848056379,2023,Strategy 2,2.478807863,19.02708089896266
17,Brazil,NMC811,Direct,4.777010401029409,2023,Strategy 2,2.397518212,11.452969435381434
18,Canada,LFP,Direct,1.479902374069103,2023,Strategy 2,2.252335332,3.3332364050265215
19,Canada,NCA,Direct,948.7503487236388,2023,Strategy 2,2.452491446,2326.802114634241
20,Canada,NMC111,Direct,475.87351833346827,2023,Strategy 2,2.5573470780000003,1216.9737516076746
21,Canada,NMC523,Direct,343.0089614010258,2023,Strategy 2,2.496014242,856.1552527905886
22,Canada,NMC622,Direct,129.9374654866231,2023,Strategy 2,2.478807863,322.09001114653245
23,Canada,NMC811,Direct,43.02047123609268,2023,Strategy 2,2.397518212,103.14236327735436
24,Czechia,LFP,Direct,0.44587484266791455,2023,Strategy 2,2.252335332,1.004259661790885
25,Czechia,NCA,Direct,13.540259415845606,2023,Strategy 2,2.452491446,33.2073703939823
26,Czechia,NMC111,Direct,9.943073340664807,2023,Strategy 2,2.5573470780000003,25.427889554088843
27,Czechia,NMC523,Direct,9.176726471973627,2023,Strategy 2,2.496014242,22.90523996898459
28,Czechia,NMC622,Direct,3.854963436444261,2023,Strategy 2,2.478807863,9.555713677835534
29,Czechia,NMC811,Direct,1.4120081301101546,2023,Strategy 2,2.397518212,3.3853152074311614
30,Finland,LFP,Direct,1.6304813980311421,2023,Strategy 2,2.252335332,3.6723908609542963
31,Finland,NCA,Direct,191.19824214559398,2023,Strategy 2,2.452491446,468.91205335230586
