,country,type,scrap_sum,year,Strategy type
110,USA,NMC622,948.4664024691829,2023,Strategy 2
111,USA,NMC811,278.55530164344793,2023,Strategy 2
112,USA,NMC523,2817.436444018835,2023,Strategy 2
113,USA,NCA,21752.362470683718,2023,Strategy 2
114,Canada,LFP,1.479902374069103,2023,Strategy 2
115,Canada,NMC111,475.87351833346827,2023,Strategy 2
116,Canada,NMC622,129.9374654866231,2023,Strategy 2
117,Canada,NMC811,43.02047123609268,2023,Strategy 2
118,Canada,NMC523,343.0089614010258,2023,Strategy 2
119,Canada,NCA,948.7503487236388,2023,Strategy 2
120,Brazil,LFP,1.4229203475426893,2023,Strategy 2
121,Brazil,NMC111,15.905190283314633,2023,Strategy 2
122,Brazil,NMC622,7.675899848056379,2023,Strategy 2
123,Brazil,NMC811,4.777010401029409,2023,Strategy 2
124,Brazil,NMC523,16.600186517818152,2023,Strategy 2
125,Brazil,NCA,50.4550385578365,2023,Strategy 2
126,Australia,LFP,0.4556539479806317,2023,Strategy 2
127,Australia,NMC111,139.32007765308379,2023,Strategy 2
128,Australia,NMC622,37.25592911304248,2023,Strategy 2
129,Australia,NMC811,12.206000755032893,2023,Strategy 2
130,Australia,NMC523,99.11879738336108,2023,Strategy 2
131,Australia,NCA,273.8644055752438,2023,Strategy 2
132,Czechia,LFP,0.44587484266791455,2023,Strategy 2
133,Czechia,NMC111,9.943073340664807,2023,Strategy 2
134,Czechia,NMC622,3.854963436444261,2023,Strategy 2
135,Czechia,NMC811,1.4120081301101546,2023,Strategy 2
136,Czechia,NMC523,9.176726471973627,2023,Strategy 2
137,Czechia,NCA,13.540259415845606,2023,Strategy 2
138,Netherlands,LFP,9.383732719553086,2023,Strategy 2
139,Netherlands,NMC111,1296.649774993484,2023,Strategy 2
140,Netherlands,NMC622,320.0912188813738,2023,Strategy 2
141,Netherlands,NMC811,93.2991513594621,2023,Strategy 2
142,Netherlands,NMC523,801.3651007706793,2023,Strategy 2
