,country,type,recycling_m,net_profit
129,Bermuda,NMC811,Direct,-1810.3661125129165
132,Bolivia (Plurinational State of),LFP,Direct,-30.321304385517177
137,Bolivia (Plurinational State of),NCA,Direct,0.21292967471322477
133,Bolivia (Plurinational State of),NMC111,Direct,-14.599192834637352
136,Bolivia (Plurinational State of),NMC523,Direct,-17.926089588188912
134,Bolivia (Plurinational State of),NMC622,Direct,-16.717512353762345
135,Bolivia (Plurinational State of),NMC811,Direct,-17.96388572571923
114,Bosnia Herzegovina,LFP,Direct,-86.68195025287895
119,Bosnia Herzegovina,NCA,Direct,-18.745935893669866
115,Bosnia Herzegovina,NMC111,Direct,-49.183170216801344
118,Bosnia Herzegovina,NMC523,Direct,-49.5639839059804
116,Bosnia Herzegovina,NMC622,Direct,-59.87658448860885
117,Bosnia Herzegovina,NMC811,Direct,-65.75754875936921
156,Botswana,LFP,Direct,-64.72303046916518
161,Botswana,NCA,Direct,-10.776300115114921
157,Botswana,NMC111,Direct,-34.60448542890143
160,Botswana,NMC523,Direct,-36.21646221298464
158,Botswana,NMC622,Direct,-41.73426393438251
159,Botswana,NMC811,Direct,-45.78107346604482
138,Brazil,LFP,Direct,-14.210330941362525
143,Brazil,NCA,Direct,4.920769841272465
139,Brazil,NMC111,Direct,-5.547708062636051
142,Brazil,NMC523,Direct,-9.702720808331623
140,Brazil,NMC622,Direct,-5.174886032204123
141,Brazil,NMC811,Direct,-5.032287898024311
150,Brunei Darussalam,LFP,Direct,-251.5893031277674
155,Brunei Darussalam,NCA,Direct,-67.41021586641848
151,Brunei Darussalam,NMC111,Direct,-140.04097698372644
154,Brunei Darussalam,NMC523,Direct,-133.1095979457343
152,Brunei Darussalam,NMC622,Direct,-175.999617225323
153,Brunei Darussalam,NMC811,Direct,-195.27323851462452
96,Bulgaria,LFP,Direct,-5.479480116083662
101,Bulgaria,NCA,Direct,3.278632252375667
97,Bulgaria,NMC111,Direct,-4.080127790616704
100,Bulgaria,NMC523,Direct,-8.814768135009713
98,Bulgaria,NMC622,Direct,-3.7234764220024754
99,Bulgaria,NMC811,Direct,-4.962843233460257
84,Burkina Faso,LFP,Direct,-42.92661158626326
89,Burkina Faso,NCA,Direct,-4.655282465707751
85,Burkina Faso,NMC111,Direct,-23.246122569047586
88,Burkina Faso,NMC523,Direct,-25.812095607393385
86,Burkina Faso,NMC622,Direct,-27.284349271483343
87,Burkina Faso,NMC811,Direct,-29.547949567558675
66,Burundi,LFP,Direct,-75.70219527710952
71,Burundi,NCA,Direct,-14.92603028163219
67,Burundi,NMC111,Direct,-42.126788925088
70,Burundi,NMC523,Direct,-43.16324378034747
68,Burundi,NMC622,Direct,-51.48324983048579
69,Burundi,NMC811,Direct,-56.593115743795074
180,C?te d'Ivoire,LFP,Direct,-79.27284862910774
185,C?te d'Ivoire,NCA,Direct,-15.427291387409646
181,C?te d'Ivoire,NMC111,Direct,-42.86400687704446
184,C?te d'Ivoire,NMC523,Direct,-44.29302196257221
182,C?te d'Ivoire,NMC622,Direct,-53.004584734166826
183,C?te d'Ivoire,NMC811,Direct,-58.3484726926548
210,Cabo Verde,LFP,Direct,-394.7957911762273
215,Cabo Verde,NCA,Direct,-119.1137779402109
211,Cabo Verde,NMC111,Direct,-238.06365997099715
214,Cabo Verde,NMC523,Direct,-220.87390068690348
212,Cabo Verde,NMC622,Direct,-297.35650909132875
213,Cabo Verde,NMC811,Direct,-330.2819817241285
462,Cambodia,LFP,Direct,-37.23299097754728
467,Cambodia,NCA,Direct,-2.7713880241481057
463,Cambodia,NMC111,Direct,-19.71715012819142
466,Cambodia,NMC523,Direct,-22.59730454312705
464,Cambodia,NMC622,Direct,-22.834447924182165
465,Cambodia,NMC811,Direct,-24.629600434735572
186,Cameroon,LFP,Direct,0.0
191,Cameroon,NCA,Direct,-264.2342564838372
187,Cameroon,NMC111,Direct,-316.0979209677815
190,Cameroon,NMC523,Direct,-539.2928203558517
188,Cameroon,NMC622,Direct,-941.7661289279392
189,Cameroon,NMC811,Direct,0.0
162,Canada,LFP,Direct,-6.717792166679938
167,Canada,NCA,Direct,7.171031791811119
163,Canada,NMC111,Direct,-0.982265804763787
166,Canada,NMC523,Direct,-5.611920243824268
164,Canada,NMC622,Direct,0.669739558359965
165,Canada,NMC811,Direct,1.5256658944648778
222,Cayman Isds,LFP,Direct,0.0
227,Cayman Isds,NCA,Direct,-2329.925522725817
223,Cayman Isds,NMC111,Direct,-4522.5649584957455
226,Cayman Isds,NMC523,Direct,-4082.3361327673892
224,Cayman Isds,NMC622,Direct,0.0
225,Cayman Isds,NMC811,Direct,0.0
174,Chile,LFP,Direct,-34.68664775889436
179,Chile,NCA,Direct,-1.550692917258879
175,Chile,NMC111,Direct,-18.04713998745259
178,Chile,NMC523,Direct,-20.980372120567015
176,Chile,NMC622,Direct,-20.983571132175758
177,Chile,NMC811,Direct,-22.68040623409218
198,Colombia,LFP,Direct,-22.163688131590078
203,Colombia,NCA,Direct,2.919409141992327
199,Colombia,NMC111,Direct,-9.28980451869253
202,Colombia,NMC523,Direct,-13.206265252407947
200,Colombia,NMC622,Direct,-10.10638343168013
201,Colombia,NMC811,Direct,-10.583594835619278
204,Comoros,LFP,Direct,-591.1633812934032
209,Comoros,NCA,Direct,-186.87554427633836
205,Comoros,NMC111,Direct,-366.55351714729625
208,Comoros,NMC523,Direct,-336.62503858761505
206,Comoros,NMC622,Direct,-457.0984859666941
207,Comoros,NMC811,Direct,-507.5405250381181
192,Congo,LFP,Direct,0.0
197,Congo,NCA,Direct,-179.36363809461625
193,Congo,NMC111,Direct,-269.0984903484815
196,Congo,NMC523,Direct,-333.32041736014014
194,Congo,NMC622,Direct,-489.89182613307077
195,Congo,NMC811,Direct,-641.4740748501131
216,Costa Rica,LFP,Direct,-41.568185403320015
221,Costa Rica,NCA,Direct,-3.0436467092064703
217,Costa Rica,NMC111,Direct,-20.73324660395736
220,Costa Rica,NMC523,Direct,-23.60323074038408
218,Costa Rica,NMC622,Direct,-24.715252520123016
219,Costa Rica,NMC811,Direct,-26.96579380139289
372,Croatia,LFP,Direct,-6.43205573206032
377,Croatia,NCA,Direct,2.4858340432649424
373,Croatia,NMC111,Direct,-5.097562699931524
376,Croatia,NMC523,Direct,-9.7810414991965
374,Croatia,NMC622,Direct,-5.040020978207744
375,Croatia,NMC811,Direct,-6.584622057440965
228,Cyprus,LFP,Direct,-14.296742099624431
233,Cyprus,NCA,Direct,-4.044117921951189
229,Cyprus,NMC111,Direct,-13.59235206160191
232,Cyprus,NMC523,Direct,-17.826122444011688
230,Cyprus,NMC622,Direct,-16.18903883062461
231,Cyprus,NMC811,Direct,-20.477920862794427
234,Czechia,LFP,Direct,-24.99994978079082
239,Czechia,NCA,Direct,-12.889960132595826
235,Czechia,NMC111,Direct,-24.966897359852542
238,Czechia,NMC523,Direct,-28.621194016472835
236,Czechia,NMC622,Direct,-30.935684097129474
237,Czechia,NMC811,Direct,-38.68321460139477
246,Denmark,LFP,Direct,-3.677074635367745
251,Denmark,NCA,Direct,5.3530168483568294
247,Denmark,NMC111,Direct,-1.3375400567300246
250,Denmark,NMC523,Direct,-6.234678169907719
248,Denmark,NMC622,Direct,-0.09868127044400077
249,Denmark,NMC811,Direct,-0.42208548908111493
252,Dominican Rep.,LFP,Direct,-30.33191355396647
257,Dominican Rep.,NCA,Direct,0.0038521424546384964
253,Dominican Rep.,NMC111,Direct,-15.036851669640745
256,Dominican Rep.,NMC523,Direct,-18.281181935406366
254,Dominican Rep.,NMC622,Direct,-17.20665551443237
255,Dominican Rep.,NMC811,Direct,-18.483038370688732
264,Ecuador,LFP,Direct,-37.72355963988896
269,Ecuador,NCA,Direct,-2.1600871199877663
265,Ecuador,NMC111,Direct,-19.176885380558808
268,Ecuador,NMC523,Direct,-22.05298312848251
266,Ecuador,NMC622,Direct,-22.51096516331441
267,Ecuador,NMC811,Direct,-24.428722020266363
270,Egypt,LFP,Direct,-14.168999715782707
275,Egypt,NCA,Direct,4.752360785586045
271,Egypt,NMC111,Direct,-5.576290899006777
274,Egypt,NMC523,Direct,-9.771907519223289
272,Egypt,NMC622,Direct,-5.08499522498621
273,Egypt,NMC811,Direct,-4.876428720042329
804,El Salvador,LFP,Direct,0.0
809,El Salvador,NCA,Direct,-106.4974868196828
805,El Salvador,NMC111,Direct,-180.8869242713365
808,El Salvador,NMC523,Direct,-203.89255153156196
806,El Salvador,NMC622,Direct,-295.380520531554
807,El Salvador,NMC811,Direct,-384.49385201101614
282,Estonia,LFP,Direct,-13.457586853560114
287,Estonia,NCA,Direct,-3.3940134676426696
283,Estonia,NMC111,Direct,-12.649052932718096
286,Estonia,NMC523,Direct,-16.951724980548324
284,Estonia,NMC622,Direct,-14.820283698141882
285,Estonia,NMC811,Direct,-18.642248122009995
966,Eswatini,LFP,Direct,-280.6757711003015
971,Eswatini,NCA,Direct,-80.62778275861089
967,Eswatini,NMC111,Direct,-165.50593827956627
970,Eswatini,NMC523,Direct,-155.40801822647177
968,Eswatini,NMC622,Direct,-206.79176072566156
