,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Pyro,0.0
11,Afghanistan,NCA,Pyro,0.0
7,Afghanistan,NMC111,Pyro,0.0
10,Afghanistan,NMC523,Pyro,0.0
8,Afghanistan,NMC622,Pyro,0.0
9,Afghanistan,NMC811,Pyro,0.0
18,Albania,LFP,Pyro,-8369.82905329766
23,Albania,NCA,Pyro,-259.28344940836416
19,Albania,NMC111,Pyro,-367.57649318133934
22,Albania,NMC523,Pyro,-342.3651162599031
20,Albania,NMC622,Pyro,-525.3706471461593
21,Albania,NMC811,Pyro,-703.3557203091223
264,Algeria,LFP,Pyro,0.0
269,Algeria,NCA,Pyro,-111.23176559076542
265,Algeria,NMC111,Pyro,-199.33187274833256
268,Algeria,NMC523,Pyro,-238.41096019216232
266,Algeria,NMC622,Pyro,-420.5596536364559
267,Algeria,NMC811,Pyro,-550.0504209350408
24,Andorra,LFP,Pyro,0.0
29,Andorra,NCA,Pyro,-1759.4992952078626
25,Andorra,NMC111,Pyro,-2892.78254643147
28,Andorra,NMC523,Pyro,-3651.476925165154
26,Andorra,NMC622,Pyro,-6209.282766994674
27,Andorra,NMC811,Pyro,-8240.35385901171
12,Angola,LFP,Pyro,0.0
17,Angola,NCA,Pyro,-399.808798251967
13,Angola,NMC111,Pyro,-736.2171140058917
16,Angola,NMC523,Pyro,-853.4733608318006
14,Angola,NMC622,Pyro,-1470.7088812819168
15,Angola,NMC811,Pyro,-3607.6675396259716
36,Argentina,LFP,Pyro,0.0
41,Argentina,NCA,Pyro,-29.815868090170717
37,Argentina,NMC111,Pyro,-68.80517857574286
40,Argentina,NMC523,Pyro,-68.28049479350744
38,Argentina,NMC622,Pyro,-109.74372335376661
39,Argentina,NMC811,Pyro,-133.00370827816502
42,Armenia,LFP,Pyro,0.0
47,Armenia,NCA,Pyro,0.0
43,Armenia,NMC111,Pyro,-893.848063394447
46,Armenia,NMC523,Pyro,0.0
44,Armenia,NMC622,Pyro,0.0
45,Armenia,NMC811,Pyro,0.0
0,Aruba,LFP,Pyro,0.0
5,Aruba,NCA,Pyro,-477.7009833420823
1,Aruba,NMC111,Pyro,-1143.149578993738
4,Aruba,NMC523,Pyro,-1019.7929021734499
2,Aruba,NMC622,Pyro,0.0
3,Aruba,NMC811,Pyro,0.0
48,Australia,LFP,Pyro,0.0
53,Australia,NCA,Pyro,-6.66932682992403
49,Australia,NMC111,Pyro,-21.797449393789883
52,Australia,NMC523,Pyro,-18.943075686925397
50,Australia,NMC622,Pyro,-30.497202056322436
51,Australia,NMC811,Pyro,-36.0013656706876
