From Region,To Region,Amount Transported,Remaining Storage
Australia,Korea,3.521999999999723,158.44487716122083
Belgium,Japan,3.5799999999997167,25.768387502148993
Brazil,Sweden,15.799999999996682,0.0004769800032645719
Canada,Korea,11.14999999999926,122.63787716127331
Czechia,Hungary,4.833999999999949,0.0002304921760577514
Czechia,Japan,0.7250000000000005,22.300387502150194
Finland,Sweden,0.9810000000000008,16.969476980004917
France,Korea,15.482999999996858,113.52387716122979
Germany,Korea,8.951000000000478,128.99687716128946
Italy,Hungary,4.77599999999993,0.0012304921760571972
Italy,Japan,9.21900000000033,13.421387502148837
Netherlands,Korea,2.751999999999808,164.1098771612258
Poland,Korea,8.472000000000744,130.42887716128612
Romania,Sweden,3.1989999999997587,12.546476980003883
Slovakia,Korea,1.7919999999999134,173.5368771612373
Spain,Japan,6.012000000000342,21.525387502150625
Turkey,Hungary,2.522999999999833,4.50123049217389
USA,Korea,15.91399999999662,113.02587716122741
United Kingdom,Korea,4.599999999999871,150.91987716123836
Viet Nam,Korea,5.336000000000117,146.33187716124905
