,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
NIC,0.0,0.0,39049.360726758634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,0.0,0.0,0.0,8147.373510949444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,0.0,0.0,23343.981487802106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,0.0,29811.229260613687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,0.0,7668300.002809611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAL,0.0,1010.9764140081871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,0.0,0.0,10.84985678798427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,0.0,0.0,123927.29099868026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,0.0,0.0,0.0,3181152.1368034994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLW,0.0,0.0,0.0,18.435547900719655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,0.0,0.0,0.0,0.0,39067.85344805962,0.0,0.0,0.0,0.0,0.0,0.0
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17073.311119667942
PYF,0.0,0.0,6474.3807485780835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,0.0,11.382238760025329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA,0.0,5.771044636696048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,368224.55339978344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,21.763147810292054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,0.0,660984.9191625997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,0.0,0.0,31.823074536358106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,0.0,0.0,11.195878598952755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,0.0,0.0,0.0,0.0,8864.304759948182,0.0,0.0,0.0,0.0,0.0
SYC,0.0,2490.221117275552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGO,0.0,20719.745144943812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJK,0.0,12612.16276492948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,0.0,0.0,0.0,10337.187810435644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN,0.0,0.0,0.0,5328.499370365412,0.0,0.0,291.0524866165981,0.0,0.0,0.0,0.0
TZA,0.0,321905.9628228795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,0.0,1715463.5750044547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,113.21793465170006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6150.269173307771
UZB,0.0,0.0,0.0,333190.0767340164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM,0.0,0.0,135.0634971808815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,0.0,135209.82026006372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,0.0,9858.083716387702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMB,0.0,156.77710220911436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZWE,0.0,14.944373939718597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,0.0,0.0,0.0,786137.0748269312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWZ,0.0,573.7732773127163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244853.681516743
USA,0.0,0.0,0.0,3235121.6962887878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,81685.84538105517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34728.322749761246,0.0,0.0,0.0
BRA,0.0,137630.77797424677,0.0,241633.33087059285,88862.79536184376,0.0,0.0,0.0,0.0,0.0,949607.076746782
CAN,0.0,0.0,0.0,554695.5141342576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,198428.86846612583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,41191.85598341707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,17487.732758382823,0.0,0.0,0.0,129964.24341358957,0.0,0.0,0.0
DEU,0.0,0.0,0.0,85488.59056940034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,87869.70061407179,0.0,0.0,20894.97152519323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30291.686944944024,0.0,0.0,0.0
POL,0.0,0.0,0.0,71157.25765974466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,0.0,0.0,0.0,318897.92007026717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,0.0,0.0,0.0,18752.37328819691,0.0,234.03402398303126,0.0,0.0,0.0,0.0,0.0
ESP,0.0,0.0,0.0,2361.4533843908703,0.0,0.0,0.0,0.0,51336.60328343526,0.0,0.0
TUR,0.0,383061.9140509368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,1507914.7997488435,2865174.019253356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,0.0,0.0,0.0,0.0,52916.674938244534,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,0.0,0.0,150733.70039149604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
