,country,total_costs,scrap,unit_cost
0,Argentina,41163793.021318175,3164.0,13.010048363248476
1,Australia,87847534.87746057,12000.0,7.320627906455047
2,Belgium,79438243.39704575,9000.0,8.826471488560639
3,Brazil,514500585.1549563,410937.0,1.2520181564447987
4,Canada,265298715.72108066,107000.0,2.4794272497297256
5,China,455211225.26232225,3358860.848291039,0.13552547897122025
6,Czechia,23456569.430264372,1000.0,23.45656943026437
7,Finland,68028952.77464232,6999.999999999999,9.718421824948903
8,France,284595981.7269925,94000.0,3.0276168268828987
9,Germany,418375690.70674306,188999.99999999997,2.213627993157371
10,Hungary,308158159.953668,115768.57242812666,2.6618464190269235
11,India,101159071.85653916,50195.032307510846,2.01532038542791
12,Italy,285487536.37815106,97000.0,2.943170478125269
13,Japan,307295413.9291289,266885.24178483634,1.1514140380114062
14,Korea,570375192.5139772,1119248.017262646,0.5096057207310927
15,Netherlands,151715808.80271617,30000.0,5.057193626757205
16,Norway,101399738.96726426,15783.51791701564,6.4244067450862055
17,Paraguay,14765257.780734684,439.00000000000006,33.63384460304028
18,Poland,242642961.0145469,74000.0,3.278958932629012
19,Romania,23506037.871605232,1000.0,23.506037871605233
20,Russian Federation,66652603.13720834,14389.374620083225,4.632070878478723
21,Serbia,15606158.010460485,517.9934446721854,30.12809944020993
22,Slovakia,23475223.46616999,1000.0000000000001,23.475223466169986
23,Spain,295113948.4549519,104000.0,2.837634119759153
24,Sweden,383651708.8913626,170550.77173964476,2.2494867949177517
25,Switzerland,138929960.31866083,27471.568829729367,5.05722702550255
26,Thailand,67072961.294555396,14615.248142130542,4.58924546762966
27,Turkey,77292433.40977041,9999.999999999998,7.7292433409770425
28,USA,614481334.4594187,606000.0,1.0139956014181826
29,United Kingdom,333884005.83108413,143000.0,2.334853187629959
30,Uruguay,10581455.48185714,230.99999999999997,45.80716658812615
31,Viet Nam,46948350.09534149,5000.0,9.389670019068298
