,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
93,Belarus,NMC523,Pyro,-378.93996032758935,high_collection,baseline
94,Belarus,NMC622,Pyro,-646.3577278845693,high_collection,baseline
95,Belarus,NMC811,Pyro,-979.1667234074357,high_collection,baseline
96,Belgium,LFP,Pyro,-571.8755057811397,high_collection,baseline
97,Belgium,NCA,Pyro,-15.204553352669912,high_collection,baseline
98,Belgium,NMC111,Pyro,-21.939233618558106,high_collection,baseline
99,Belgium,NMC523,Pyro,-21.333497988115386,high_collection,baseline
100,Belgium,NMC622,Pyro,-35.5017311670102,high_collection,baseline
101,Belgium,NMC811,Pyro,-54.77605727794442,high_collection,baseline
102,Benin,LFP,Pyro,0.0,high_collection,baseline
103,Benin,NCA,Pyro,-757.8478413330996,high_collection,baseline
104,Benin,NMC111,Pyro,-1785.8854316795644,high_collection,baseline
105,Benin,NMC523,Pyro,-1596.0767087822826,high_collection,baseline
106,Benin,NMC622,Pyro,-2544.7505525412353,high_collection,baseline
107,Benin,NMC811,Pyro,-3860.1136665664885,high_collection,baseline
108,Bermuda,LFP,Pyro,0.0,high_collection,baseline
109,Bermuda,NCA,Pyro,-1044.9072470572653,high_collection,baseline
110,Bermuda,NMC111,Pyro,-1408.0835868231234,high_collection,baseline
111,Bermuda,NMC523,Pyro,-1789.1128503802913,high_collection,baseline
112,Bermuda,NMC622,Pyro,-3665.5798917697166,high_collection,baseline
113,Bermuda,NMC811,Pyro,-12986.590197927822,high_collection,baseline
114,Bolivia (Plurinational State of),LFP,Pyro,0.0,high_collection,baseline
115,Bolivia (Plurinational State of),NCA,Pyro,-221.35799289175316,high_collection,baseline
116,Bolivia (Plurinational State of),NMC111,Pyro,-469.3923935755499,high_collection,baseline
117,Bolivia (Plurinational State of),NMC523,Pyro,-441.8345915292765,high_collection,baseline
118,Bolivia (Plurinational State of),NMC622,Pyro,-747.413120825372,high_collection,baseline
119,Bolivia (Plurinational State of),NMC811,Pyro,-1212.9913794206825,high_collection,baseline
120,Bosnia Herzegovina,LFP,Pyro,0.0,high_collection,baseline
121,Bosnia Herzegovina,NCA,Pyro,-658.3657420768462,high_collection,baseline
122,Bosnia Herzegovina,NMC111,Pyro,-1273.04723287441,high_collection,baseline
123,Bosnia Herzegovina,NMC523,Pyro,-1256.884461236092,high_collection,baseline
124,Bosnia Herzegovina,NMC622,Pyro,-2039.8498035483137,high_collection,baseline
125,Bosnia Herzegovina,NMC811,Pyro,-2943.533240125061,high_collection,baseline
126,Botswana,LFP,Pyro,0.0,high_collection,baseline
127,Botswana,NCA,Pyro,-410.9512451495291,high_collection,baseline
128,Botswana,NMC111,Pyro,-726.4085831823438,high_collection,baseline
129,Botswana,NMC523,Pyro,-785.1763646791588,high_collection,baseline
130,Botswana,NMC622,Pyro,-1396.4642492327946,high_collection,baseline
131,Botswana,NMC811,Pyro,-2535.628946854586,high_collection,baseline
132,Brazil,LFP,Pyro,0.0,high_collection,baseline
133,Brazil,NCA,Pyro,-25.194325443295256,high_collection,baseline
134,Brazil,NMC111,Pyro,-69.63239818478111,high_collection,baseline
135,Brazil,NMC523,Pyro,-60.39824007926746,high_collection,baseline
136,Brazil,NMC622,Pyro,-98.25252021829434,high_collection,baseline
137,Brazil,NMC811,Pyro,-116.65305450116138,high_collection,baseline
138,Brunei Darussalam,LFP,Pyro,0.0,high_collection,baseline
139,Brunei Darussalam,NCA,Pyro,-9032.929141480003,high_collection,baseline
140,Brunei Darussalam,NMC111,Pyro,-21337.816158482332,high_collection,baseline
141,Brunei Darussalam,NMC523,Pyro,-21975.24439056981,high_collection,baseline
142,Brunei Darussalam,NMC622,Pyro,-45003.85083123034,high_collection,baseline
143,Brunei Darussalam,NMC811,Pyro,-69491.69900075563,high_collection,baseline
144,Bulgaria,LFP,Pyro,-32367.243353251935,high_collection,baseline
145,Bulgaria,NCA,Pyro,-850.1844305729277,high_collection,baseline
146,Bulgaria,NMC111,Pyro,-1185.4693298609154,high_collection,baseline
147,Bulgaria,NMC523,Pyro,-1112.5752531132698,high_collection,baseline
148,Bulgaria,NMC622,Pyro,-1778.829614273546,high_collection,baseline
149,Bulgaria,NMC811,Pyro,-2605.5364876782537,high_collection,baseline
150,Burkina Faso,LFP,Pyro,0.0,high_collection,baseline
151,Burkina Faso,NCA,Pyro,-556.0015220252602,high_collection,baseline
152,Burkina Faso,NMC111,Pyro,-986.0968447227723,high_collection,baseline
153,Burkina Faso,NMC523,Pyro,-1057.076846166337,high_collection,baseline
154,Burkina Faso,NMC622,Pyro,-1860.3563765192134,high_collection,baseline
155,Burkina Faso,NMC811,Pyro,-2595.9183054298437,high_collection,baseline
156,Burundi,LFP,Pyro,0.0,high_collection,baseline
157,Burundi,NCA,Pyro,-896.5140006844579,high_collection,baseline
158,Burundi,NMC111,Pyro,-882.4769410123515,high_collection,baseline
159,Burundi,NMC523,Pyro,-1185.9068515457147,high_collection,baseline
160,Burundi,NMC622,Pyro,-2874.5510255779627,high_collection,baseline
161,Burundi,NMC811,Pyro,-7108.686531367745,high_collection,baseline
162,C?te d'Ivoire,LFP,Pyro,0.0,high_collection,baseline
163,C?te d'Ivoire,NCA,Pyro,-635.4644734084486,high_collection,baseline
164,C?te d'Ivoire,NMC111,Pyro,-894.6333360043661,high_collection,baseline
165,C?te d'Ivoire,NMC523,Pyro,-1226.4515665024503,high_collection,baseline
166,C?te d'Ivoire,NMC622,Pyro,-2383.901914852111,high_collection,baseline
167,C?te d'Ivoire,NMC811,Pyro,-6361.678527518066,high_collection,baseline
168,Cabo Verde,LFP,Pyro,0.0,high_collection,baseline
169,Cabo Verde,NCA,Pyro,-8278.4725783685,high_collection,baseline
170,Cabo Verde,NMC111,Pyro,-12637.258843358475,high_collection,baseline
171,Cabo Verde,NMC523,Pyro,-14931.76366699221,high_collection,baseline
172,Cabo Verde,NMC622,Pyro,-28673.63985243751,high_collection,baseline
173,Cabo Verde,NMC811,Pyro,0.0,high_collection,baseline
174,Cambodia,LFP,Pyro,0.0,high_collection,baseline
175,Cambodia,NCA,Pyro,-1105.5451629289785,high_collection,baseline
176,Cambodia,NMC111,Pyro,-2588.9386128678984,high_collection,baseline
177,Cambodia,NMC523,Pyro,-2678.1438203414186,high_collection,baseline
178,Cambodia,NMC622,Pyro,-5609.4892412176605,high_collection,baseline
179,Cambodia,NMC811,Pyro,-13371.30797604528,high_collection,baseline
180,Cameroon,LFP,Pyro,0.0,high_collection,baseline
181,Cameroon,NCA,Pyro,-1790.8932634391815,high_collection,baseline
182,Cameroon,NMC111,Pyro,-2033.8827365921418,high_collection,baseline
183,Cameroon,NMC523,Pyro,-3051.8164750222086,high_collection,baseline
184,Cameroon,NMC622,Pyro,-6897.619236074121,high_collection,baseline
185,Cameroon,NMC811,Pyro,-51415.350695639136,high_collection,baseline
186,Canada,LFP,Pyro,0.0,high_collection,baseline
187,Canada,NCA,Pyro,-9.218678869462735,high_collection,baseline
188,Canada,NMC111,Pyro,-24.995064435316554,high_collection,baseline
189,Canada,NMC523,Pyro,-24.281812894633255,high_collection,baseline
190,Canada,NMC622,Pyro,-42.61439066565785,high_collection,baseline
191,Canada,NMC811,Pyro,-61.02385996154577,high_collection,baseline
192,Cayman Isds,LFP,Pyro,0.0,high_collection,baseline
193,Cayman Isds,NCA,Pyro,-26787.413716897805,high_collection,baseline
194,Cayman Isds,NMC111,Pyro,-66151.73679201781,high_collection,baseline
195,Cayman Isds,NMC523,Pyro,-57402.82977807397,high_collection,baseline
196,Cayman Isds,NMC622,Pyro,0.0,high_collection,baseline
197,Cayman Isds,NMC811,Pyro,0.0,high_collection,baseline
198,Chile,LFP,Pyro,0.0,high_collection,baseline
199,Chile,NCA,Pyro,-660.216192108849,high_collection,baseline
200,Chile,NMC111,Pyro,-1398.169998925928,high_collection,baseline
201,Chile,NMC523,Pyro,-1344.0101715851765,high_collection,baseline
202,Chile,NMC622,Pyro,-2262.4109181397753,high_collection,baseline
203,Chile,NMC811,Pyro,-3194.640522042616,high_collection,baseline
204,China,LFP,Pyro,0.05747679536922494,high_collection,baseline
205,China,NCA,Pyro,-3.16675911046474,high_collection,baseline
206,China,NMC111,Pyro,3.048109878892314,high_collection,baseline
207,China,NMC523,Pyro,-0.8042720623737529,high_collection,baseline
208,China,NMC622,Pyro,3.165150163177181,high_collection,baseline
209,China,NMC811,Pyro,1.8903028444839352,high_collection,baseline
210,Colombia,LFP,Pyro,0.0,high_collection,baseline
211,Colombia,NCA,Pyro,-110.08693937886633,high_collection,baseline
212,Colombia,NMC111,Pyro,-214.5203979877082,high_collection,baseline
213,Colombia,NMC523,Pyro,-211.14507278717335,high_collection,baseline
214,Colombia,NMC622,Pyro,-370.4190887458395,high_collection,baseline
215,Colombia,NMC811,Pyro,-558.6016948495112,high_collection,baseline
216,Comoros,LFP,Pyro,0.0,high_collection,baseline
217,Comoros,NCA,Pyro,-23547.174238286367,high_collection,baseline
218,Comoros,NMC111,Pyro,-57208.32619693524,high_collection,baseline
219,Comoros,NMC523,Pyro,-49958.04879893762,high_collection,baseline
220,Comoros,NMC622,Pyro,0.0,high_collection,baseline
221,Comoros,NMC811,Pyro,0.0,high_collection,baseline
