,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Australia,112792723.31938897,28216.5170659619,3.997400637921145,high_collection,baseline
1,Belgium,105965331.69102255,19534.511814896694,5.424519061193797,high_collection,baseline
2,Brazil,93663460.24588534,21705.013127663,4.31529157319474,high_collection,baseline
3,Canada,251962116.58648434,425185.89790428197,0.592592834871504,high_collection,baseline
4,China,133909910.1258235,22031567.964235283,0.00607809259618765,high_collection,baseline
5,Czechia,35751429.050834455,2170.501312766299,16.47150768375686,high_collection,baseline
6,Finland,97068825.84793276,15193.509189364097,6.388835168894609,high_collection,baseline
7,France,265393752.37432188,219220.63258939626,1.2106239692839889,high_collection,baseline
8,Germany,290038215.8114356,278115.4866095425,1.0428697062045735,high_collection,baseline
9,Hungary,122569665.53587496,29801.11798698791,4.112921722916324,high_collection,baseline
10,India,94441155.95014694,1758339.8482075841,0.05371041101435444,high_collection,baseline
11,Italy,248344898.86390138,203408.48197759548,1.220917124248808,high_collection,baseline
12,Japan,161942422.00109094,837970.4490191811,0.19325552851015165,high_collection,baseline
13,Korea,236439470.43995193,4643146.407963836,0.050922251780477025,high_collection,baseline
14,Netherlands,173040362.24651366,67939.24482546971,2.5469868364159773,high_collection,baseline
15,Norway,98914013.76373976,17948.48707410563,5.510994511979982,high_collection,baseline
16,Poland,225058707.5055377,173640.10502130399,1.2961216965281444,high_collection,baseline
17,Romania,35758659.40495632,2170.501312766299,16.474838874610946,high_collection,baseline
18,Russian Federation,80481163.64994317,157425.5359997121,0.5112332198131462,high_collection,baseline
19,Serbia,22995827.049016096,1061.5543049078278,21.66241231626183,high_collection,baseline
20,Slovakia,35747285.28093902,2170.5013127662987,16.469598553423214,high_collection,baseline
21,Spain,241483265.49914095,194451.12684665676,1.2418712579103413,high_collection,baseline
22,Sweden,143131417.46625358,40234.38120860487,3.557440506519888,high_collection,baseline
23,Switzerland,125720222.37334812,30538.74855484806,4.116744409075986,high_collection,baseline
24,Thailand,77608441.70070338,159117.00409337532,0.4877444880445341,high_collection,baseline
25,Turkey,101539665.85088807,21705.013127663005,4.678166525569889,high_collection,baseline
26,USA,367006358.0015669,1601829.9688215288,0.22911692573187065,high_collection,baseline
27,United Kingdom,250694931.46074378,248178.6303208752,1.0101390725567918,high_collection,baseline
28,Viet Nam,67345560.76142682,26046.0157531956,2.5856377190113675,high_collection,baseline
