policy_scenario,source_iso3,destination_iso3,current_policy,comparison_policy,delta_scrap_t
strict_policy,ABW,CHN,24.819339390129308,0.0,-24.819339390129308
strict_policy,ABW,JPN,0.0,24.819339390129308,24.819339390129308
strict_policy,ALB,CHN,148.42402354726005,0.0,-148.42402354726005
strict_policy,ALB,RUS,0.0,148.42402354726005,148.42402354726005
strict_policy,ARG,JPN,0.0,1353.5255744340511,1353.5255744340511
strict_policy,ARG,THA,1353.5255744340511,0.0,-1353.5255744340511
strict_policy,BEL,JPN,37841.79597544731,0.0,-37841.79597544731
strict_policy,BEL,KOR,0.0,37841.79597544731,37841.79597544731
strict_policy,BGR,CHN,676.8918418869739,0.0,-676.8918418869739
strict_policy,BGR,RUS,0.0,676.8918418869739,676.8918418869739
strict_policy,BHS,CHN,0.0080356430415915,0.0,-0.0080356430415915
strict_policy,BHS,JPN,0.0,0.0080356430415915,0.0080356430415915
strict_policy,BIH,CHN,62.31948442184624,0.0,-62.31948442184624
strict_policy,BIH,RUS,0.0,62.31948442184624,62.31948442184624
strict_policy,BMU,CHN,0.9462929709559008,0.0,-0.9462929709559008
strict_policy,BMU,JPN,0.0,0.9462929709559008,0.9462929709559008
strict_policy,BOL,CHN,541.589465913574,0.0,-541.589465913574
strict_policy,BOL,JPN,0.0,541.589465913574,541.589465913574
strict_policy,BRA,CAN,0.0,12799.781005867608,12799.781005867608
strict_policy,BRA,CHN,242752.9522530881,0.0,-242752.9522530881
strict_policy,BRA,IND,189086.6187336621,189035.17271242125,-51.44602124084486
strict_policy,BRA,JPN,0.0,165314.771987847,165314.771987847
strict_policy,BRA,KOR,0.0,59840.532762579576,59840.532762579576
strict_policy,BRA,RUS,35014.0537512584,29863.36626929332,-5150.687481965077
strict_policy,BRB,CAN,0.0,69.96443951818505,69.96443951818505
strict_policy,BRB,CHN,69.96443951818505,0.0,-69.96443951818505
strict_policy,CHL,JPN,0.0,247.74467141147056,247.74467141147056
strict_policy,CHL,THA,247.74467141147056,0.0,-247.74467141147056
strict_policy,COL,CHN,1250.8845985223147,0.0,-1250.8845985223147
strict_policy,COL,JPN,0.0,1250.8845985223147,1250.8845985223147
strict_policy,CRI,CHN,325.90245982428337,0.0,-325.90245982428337
strict_policy,CRI,JPN,0.0,325.90245982428337,325.90245982428337
strict_policy,CYM,CHN,4.02726612464818,0.0,-4.02726612464818
strict_policy,CYM,JPN,0.0,4.02726612464818,4.02726612464818
strict_policy,DEU,KOR,295158.5013197676,110158.50131976756,-185000.00000000006
strict_policy,DOM,CHN,419.5854721354386,0.0,-419.5854721354386
strict_policy,DOM,JPN,0.0,419.5854721354386,419.5854721354386
strict_policy,ECU,CHN,332.8393765637618,0.0,-332.8393765637618
strict_policy,ECU,JPN,0.0,332.8393765637618,332.8393765637618
strict_policy,EST,CHN,425.26727083277353,0.0,-425.26727083277353
strict_policy,EST,KOR,0.0,425.26727083277353,425.26727083277353
strict_policy,FJI,CHN,14.391189121047429,0.0,-14.391189121047429
strict_policy,FJI,JPN,0.0,14.391189121047429,14.391189121047429
strict_policy,FRA,JPN,3600.4504823180323,0.0,-3600.4504823180323
strict_policy,FRA,KOR,192162.1154311204,106762.56591343843,-85399.54951768195
strict_policy,GBR,JPN,24124.61684664984,0.0,-24124.61684664984
strict_policy,GBR,KOR,0.0,19864.678344486747,19864.678344486747
strict_policy,GEO,CHN,26.582079099728805,0.0,-26.582079099728805
strict_policy,GEO,IND,0.0,26.582079099728805,26.582079099728805
strict_policy,GRD,CHN,14.913272196177994,0.0,-14.913272196177994
strict_policy,GRD,JPN,0.0,14.913272196177994,14.913272196177994
strict_policy,GRL,CHN,0.4924322825668049,0.0,-0.4924322825668049
strict_policy,GRL,KOR,0.0,0.4924322825668049,0.4924322825668049
strict_policy,GTM,CHN,848.5417024292658,0.0,-848.5417024292658
strict_policy,GTM,JPN,0.0,848.5417024292658,848.5417024292658
strict_policy,GUY,CAN,0.0,300.2424009192846,300.2424009192846
strict_policy,GUY,CHN,300.2424009192846,0.0,-300.2424009192846
strict_policy,HND,CHN,117.05359251136368,0.0,-117.05359251136368
strict_policy,HND,JPN,0.0,117.05359251136368,117.05359251136368
strict_policy,IRL,JPN,4636.897406131719,0.0,-4636.897406131719
strict_policy,IRL,KOR,0.0,4636.897406131719,4636.897406131719
strict_policy,ISL,JPN,921.4040388661084,0.0,-921.4040388661084
strict_policy,ISL,KOR,0.0,921.4040388661084,921.4040388661084
strict_policy,JAM,CHN,0.9796723210896155,0.0,-0.9796723210896155
strict_policy,JAM,JPN,0.0,0.9796723210896155,0.9796723210896155
strict_policy,KAZ,CHN,811.9780017382318,0.0,-811.9780017382318
strict_policy,KAZ,KOR,0.0,811.9780017382318,811.9780017382318
strict_policy,KGZ,CHN,4.345252243465452,0.0,-4.345252243465452
strict_policy,KGZ,KOR,0.0,4.345252243465452,4.345252243465452
strict_policy,KIR,CHN,0.7759004111179528,0.0,-0.7759004111179528
strict_policy,KIR,JPN,0.0,0.7759004111179528,0.7759004111179528
strict_policy,LCA,CAN,0.0,5.670065799300402,5.670065799300402
strict_policy,LCA,CHN,5.670065799300402,0.0,-5.670065799300402
strict_policy,LVA,CHN,485.0974710262416,0.0,-485.0974710262416
strict_policy,LVA,RUS,0.0,485.0974710262416,485.0974710262416
strict_policy,MDA,CHN,106.99751721687664,0.0,-106.99751721687664
strict_policy,MDA,RUS,0.0,106.99751721687664,106.99751721687664
strict_policy,MEX,CHN,5166.242844981432,0.0,-5166.242844981432
strict_policy,MEX,JPN,0.0,5166.242844981432,5166.242844981432
