year,current_cost_increase_vs_reference,strict_cost_increase_vs_reference,critical_cost_increase_vs_reference,current_cross_border_change_vs_reference,strict_cross_border_change_vs_reference,critical_cross_border_change_vs_reference,strict_extra_forbidden_routes_vs_current,strict_used_forbidden_flow_t,critical_used_forbidden_flow_t
2025,10327.154620777455,10327.154620777455,-243.40217037046023,0.0,0.0,-9518.930336410209,28,0.0,0.0
2030,94597.82255086928,94597.82255086928,-17303.66868825321,0.0,0.0,-150466.68424568046,28,0.0,0.0
2035,328592.3456585256,328592.3456585256,-6039.581521125627,0.0,0.0,-1654348.0690052323,28,0.0,0.0
2040,701891.5509007715,701891.5509007715,-95728.27390329144,0.0,0.0,-4838134.209362352,28,0.0,0.0
2045,2704178.976493286,2704178.976493286,-76235.48079892993,0.0,0.0,-4470681.8345923945,28,0.0,0.0
2050,4157480.855414997,4157480.855414997,-79509.65747661702,0.0,0.0,-8724393.04824832,28,0.0,0.0
