year,policy_scenario,method,strategy,transported_scrap_t,cross_border_scrap_t,cross_border_share,total_base_cost,total_policy_adjusted_cost,policy_cost_delta,used_forbidden_flow_t,forbidden_route_count,penalized_route_count,source_scrap_on_forbidden_routes_t
2025,open_policy,Direct,Strategy 3,382085.0102324876,226791.09284548045,0.5935618691439496,885136.7416935249,904930.4547166817,19793.713023156954,0.0,393,4507,382085.0102324876
2025,baseline,Direct,Strategy 3,382085.0102324876,226791.09284548045,0.5935618691439496,885136.7416935249,915257.6093374591,30120.867643934413,0.0,393,4507,382085.0102324876
2025,strict_policy,Direct,Strategy 3,382085.0102324876,226791.09284548045,0.5935618691439496,885136.7416935249,915257.6093374591,30120.867643934413,0.0,421,4480,382085.0102324876
2025,critical_route_strict_policy,Direct,Strategy 3,382085.0102324876,217272.16250907024,0.5686487475048196,891793.6720558474,911343.9829086339,19550.310852786497,0.0,405,4507,382085.0102324876
2030,open_policy,Direct,Strategy 3,4553741.048207438,1590504.9759000274,0.3492743568556942,10858981.23027969,11040293.723502189,181312.49322250095,0.0,393,4507,4553741.048207438
2030,baseline,Direct,Strategy 3,4553741.048207438,1590504.9759000274,0.3492743568556942,10858981.23027969,11134891.54605306,275910.3157733702,0.0,393,4507,4553741.048207438
2030,strict_policy,Direct,Strategy 3,4553741.048207438,1590504.9759000274,0.3492743568556942,10858981.23027969,11134891.54605306,275910.3157733702,0.0,421,4480,4553741.048207438
2030,critical_route_strict_policy,Direct,Strategy 3,4553741.048207438,1440038.291654347,0.3162319236885928,11116932.63577915,11280941.460313398,164008.82453424772,0.0,405,4507,4553741.048207438
2035,open_policy,Direct,Strategy 3,18984913.12388398,8083194.575883071,0.4257693739832817,39994577.971707836,40624379.96755335,629801.9958455118,0.0,393,4507,18984913.12388398
2035,baseline,Direct,Strategy 3,18984913.12388398,8083194.575883071,0.4257693739832817,39994577.971707836,40952972.31321187,958394.3415040374,0.0,393,4507,18984913.12388398
2035,strict_policy,Direct,Strategy 3,18984913.12388398,8083194.575883071,0.4257693739832817,39994577.971707836,40952972.31321187,958394.3415040374,0.0,421,4480,18984913.12388398
2035,critical_route_strict_policy,Direct,Strategy 3,18984913.123883985,6428846.506877839,0.3386292296902862,42050677.78161742,42674440.195941806,623762.4143243862,0.0,405,4507,18984913.12388398
2040,open_policy,Direct,Strategy 3,43973946.62217538,19020226.10378349,0.43253397897635787,90706314.9970659,92051607.13629238,1345292.1392264864,0.0,393,4507,43973946.62217538
2040,baseline,Direct,Strategy 3,43973946.62217538,19020226.10378349,0.43253397897635787,90706314.9970659,92753498.68719316,2047183.690127258,0.0,393,4507,43973946.62217538
2040,strict_policy,Direct,Strategy 3,43973946.62217538,19020226.10378349,0.43253397897635787,90706314.9970659,92753498.68719316,2047183.690127258,0.0,421,4480,43973946.62217538
2040,critical_route_strict_policy,Direct,Strategy 3,43973946.62217538,14182091.894421136,0.3225112363980841,96798362.62196356,98047926.48728676,1249563.865323195,0.0,405,4507,43973946.62217538
2045,open_policy,Direct,Strategy 3,87342944.38060865,55851503.89366832,0.6394506653026014,175815266.11287755,180998275.81782305,5183009.704945484,0.0,393,4507,87342944.38060865
2045,baseline,Direct,Strategy 3,87342944.38060865,55851503.89366832,0.6394506653026014,175815266.11287755,183702454.79431635,7887188.68143877,0.0,393,4507,87342944.38060865
2045,strict_policy,Direct,Strategy 3,87342944.38060865,55851503.89366832,0.6394506653026014,175815266.11287755,183702454.79431635,7887188.68143877,0.0,421,4480,87342944.38060865
2045,critical_route_strict_policy,Direct,Strategy 3,87342944.38060865,51380822.05907592,0.5882652848886919,203676928.120161,208783702.34430757,5106774.224146554,0.0,405,4507,87342944.38060865
2050,open_policy,Direct,Strategy 3,116468553.80763762,80806780.24975458,0.6938077069559658,232238558.3568143,240207063.32969308,7968504.972878787,0.0,393,4507,116468553.8076376
2050,baseline,Direct,Strategy 3,116468553.80763762,80806780.24975458,0.6938077069559658,232238558.3568143,244364544.1851081,12125985.828293785,0.0,393,4507,116468553.8076376
2050,strict_policy,Direct,Strategy 3,116468553.80763762,80806780.24975458,0.6938077069559658,232238558.3568143,244364544.1851081,12125985.828293785,0.0,421,4480,116468553.8076376
2050,critical_route_strict_policy,Direct,Strategy 3,116468553.8076376,72082387.20150626,0.6188999935601445,276307274.7559197,284196270.07132185,7888995.31540217,0.0,405,4507,116468553.8076376
