source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
USA,JPN,28430.955413486892,2025,baseline,Direct,Strategy 2,True
USA,KOR,26240.893752368316,2025,baseline,Direct,Strategy 2,True
VNM,THA,7484.323218113341,2025,baseline,Direct,Strategy 2,True
VNM,VNM,3000.0,2025,baseline,Direct,Strategy 2,False
YUG,RUS,58.268719453500815,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,AUS,7000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,BEL,8000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,BRA,10000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,CAN,31000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,CHE,25000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,CHN,5849273.006179293,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,CZE,1000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,DEU,126000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,ESP,32000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,FIN,7000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,FRA,50000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,GBR,46000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,HUN,55000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,IND,61278.61077149074,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,ITA,57000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,JPN,17152.396998496657,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,NLD,18000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,NOR,63000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,POL,50000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,ROM,1000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,RUS,30537.63369786911,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,SVK,1000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,SWE,30000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,THA,24746.601566681136,2025,baseline,Direct,Strategy 2,True
