year,policy_scenario,method,strategy,transported_scrap_t,cross_border_scrap_t,cross_border_share,total_base_cost,total_policy_adjusted_cost,policy_cost_delta,used_forbidden_flow_t,forbidden_route_count,penalized_route_count,source_scrap_on_forbidden_routes_t
2025,open_policy,Direct,Strategy 2,361011.7507861693,205717.83339916222,0.5698369456151328,837028.0758291173,854398.3640159477,17370.288186830338,0.0,393,4507,361011.7507861693
2025,baseline,Direct,Strategy 2,361011.7507861693,205717.83339916222,0.5698369456151328,837028.0758291173,863461.1230699458,26433.047240828702,0.0,393,4507,361011.7507861693
2025,strict_policy,Direct,Strategy 2,361011.7507861693,205717.83339916222,0.5698369456151328,837028.0758291173,863461.1230699458,26433.047240828702,0.0,421,4480,361011.7507861693
2025,critical_route_strict_policy,Direct,Strategy 2,361011.75078616926,115475.49163963346,0.31986629628582564,892274.8518372391,905554.5333757971,13279.68153855787,0.0,405,4507,361011.7507861693
2030,open_policy,Direct,Strategy 2,4317223.485012361,1473014.6046872956,0.3411948929215737,10223695.019076552,10391496.119609587,167801.10053303692,0.0,393,4507,4317223.485012361
2030,baseline,Direct,Strategy 2,4317223.485012361,1473014.6046872956,0.3411948929215737,10223695.019076552,10479044.519887693,255349.50081114244,0.0,393,4507,4317223.485012361
2030,strict_policy,Direct,Strategy 2,4317223.485012361,1473014.6046872956,0.3411948929215737,10223695.019076552,10479044.519887693,255349.50081114244,0.0,421,4480,4317223.485012361
2030,critical_route_strict_policy,Direct,Strategy 2,4317223.485012361,1437238.211524817,0.3329079943427348,10484999.916943653,10648686.732263004,163686.8153193519,0.0,405,4507,4317223.485012361
2035,open_policy,Direct,Strategy 2,17646863.045148656,6881653.720454106,0.3899647038030342,37209428.40620318,37701053.20367435,491624.7974711808,0.0,393,4507,17646863.045148652
2035,baseline,Direct,Strategy 2,17646863.045148656,6881653.720454106,0.3899647038030342,37209428.40620318,37957553.09800714,748124.6918039686,0.0,393,4507,17646863.045148652
2035,strict_policy,Direct,Strategy 2,17646863.045148656,6881653.720454106,0.3899647038030342,37209428.40620318,37957553.09800714,748124.6918039686,0.0,421,4480,17646863.045148652
2035,critical_route_strict_policy,Direct,Strategy 2,17646863.045148656,4366432.302614534,0.2474339088733916,39629395.27103076,40015980.05186486,386584.7808341059,0.0,405,4507,17646863.045148652
2040,open_policy,Direct,Strategy 2,37628583.28464858,12674862.766256697,0.3368413493108493,78242762.7480708,78858338.10348171,615575.3554109057,0.0,393,4507,37628583.28464859
2040,baseline,Direct,Strategy 2,37628583.28464858,12674862.766256697,0.3368413493108493,78242762.7480708,79179507.85413086,936745.1060600713,0.0,393,4507,37628583.28464859
2040,strict_policy,Direct,Strategy 2,37628583.28464858,12674862.766256697,0.3368413493108493,78242762.7480708,79179507.85413086,936745.1060600714,0.0,421,4480,37628583.28464859
2040,critical_route_strict_policy,Direct,Strategy 2,37628583.2846486,6763386.624449325,0.17974066611241768,81908790.3086999,82428637.39020753,519847.0815076136,0.0,405,4507,37628583.28464859
2045,open_policy,Direct,Strategy 2,69054653.09115638,37563212.60421606,0.5439635263192231,139728999.61778012,142808855.82443857,3079856.2066584714,0.0,393,4507,69054653.09115638
2045,baseline,Direct,Strategy 2,69054653.09115638,37563212.60421606,0.5439635263192231,139728999.61778012,144415737.3235647,4686737.705784625,0.0,393,4507,69054653.09115638
2045,strict_policy,Direct,Strategy 2,69054653.09115638,37563212.60421606,0.5439635263192231,139728999.61778012,144415737.3235647,4686737.705784625,0.0,421,4480,69054653.09115638
2045,critical_route_strict_policy,Direct,Strategy 2,69054653.09115638,31995614.350954663,0.4633375582774775,157979642.05179405,160983262.7776536,3003620.7258595396,0.0,405,4507,69054653.09115638
2050,open_policy,Direct,Strategy 2,86058398.55846918,50396625.00058615,0.58560960748469,172103173.02929068,176574510.1485151,4471337.119224414,0.0,393,4507,86058398.55846919
2050,baseline,Direct,Strategy 2,86058398.55846918,50396625.00058615,0.58560960748469,172103173.02929068,178907381.68898,6804208.659689318,0.0,393,4507,86058398.55846919
2050,strict_policy,Direct,Strategy 2,86058398.55846918,50396625.00058615,0.58560960748469,172103173.02929068,178907381.68898,6804208.659689318,0.0,421,4480,86058398.55846919
2050,critical_route_strict_policy,Direct,Strategy 2,86058398.55846918,45866850.923234105,0.5329735585547944,198297114.5300591,202747682.8662408,4450568.3361817,0.0,405,4507,86058398.55846919
