source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
KGZ,CHN,4.345252243465452,2030,reference_policy,Direct,Strategy 3,True
KHM,THA,260.4821757065232,2030,reference_policy,Direct,Strategy 3,True
KIR,CHN,0.7759004111179528,2030,reference_policy,Direct,Strategy 3,True
KOR,KOR,75305.90842068812,2030,reference_policy,Direct,Strategy 3,False
KWT,IND,20.616943193814933,2030,reference_policy,Direct,Strategy 3,True
LAO,THA,754.9139779050738,2030,reference_policy,Direct,Strategy 3,True
LBN,IND,991.3807006660692,2030,reference_policy,Direct,Strategy 3,True
LCA,CHN,5.670065799300402,2030,reference_policy,Direct,Strategy 3,True
LKA,THA,6285.289199439168,2030,reference_policy,Direct,Strategy 3,True
LSO,THA,37.13568751887812,2030,reference_policy,Direct,Strategy 3,True
LTU,RUS,806.9423193972799,2030,reference_policy,Direct,Strategy 3,True
LUX,KOR,731.9105790113268,2030,reference_policy,Direct,Strategy 3,True
LVA,CHN,485.0974710262416,2030,reference_policy,Direct,Strategy 3,True
MAR,RUS,390.8901045217784,2030,reference_policy,Direct,Strategy 3,True
MDA,CHN,106.99751721687664,2030,reference_policy,Direct,Strategy 3,True
MDG,THA,90.64642686306038,2030,reference_policy,Direct,Strategy 3,True
MDV,THA,32.973247556954284,2030,reference_policy,Direct,Strategy 3,True
MEX,CHN,5166.242844981432,2030,reference_policy,Direct,Strategy 3,True
MKD,CHN,62.84097603234316,2030,reference_policy,Direct,Strategy 3,True
MLI,IND,24.123352066884728,2030,reference_policy,Direct,Strategy 3,True
MLT,CHN,191.94036391424856,2030,reference_policy,Direct,Strategy 3,True
MMR,THA,851.5388512299063,2030,reference_policy,Direct,Strategy 3,True
MNG,CHN,82.50359598878575,2030,reference_policy,Direct,Strategy 3,True
MUS,THA,152.852942603957,2030,reference_policy,Direct,Strategy 3,True
MWI,THA,404.7610889927746,2030,reference_policy,Direct,Strategy 3,True
MYS,THA,13.319689433349982,2030,reference_policy,Direct,Strategy 3,True
NAM,THA,158.17561222880846,2030,reference_policy,Direct,Strategy 3,True
NCL,CHN,0.1017188150863644,2030,reference_policy,Direct,Strategy 3,True
NER,IND,82.61521109402906,2030,reference_policy,Direct,Strategy 3,True
NGA,IND,6488.69750186722,2030,reference_policy,Direct,Strategy 3,True
NIC,CHN,269.70415510553255,2030,reference_policy,Direct,Strategy 3,True
NLD,JPN,44202.704123706906,2030,reference_policy,Direct,Strategy 3,True
NOR,JPN,14563.628634489778,2030,reference_policy,Direct,Strategy 3,True
NPL,CHN,105.09902980135041,2030,reference_policy,Direct,Strategy 3,True
NZL,JPN,5683.850370203681,2030,reference_policy,Direct,Strategy 3,True
OMN,IND,198.41294033884847,2030,reference_policy,Direct,Strategy 3,True
PAK,IND,4611.452005823528,2030,reference_policy,Direct,Strategy 3,True
PAL,IND,9.421052676729843,2030,reference_policy,Direct,Strategy 3,True
PAN,CHN,33.61000405942902,2030,reference_policy,Direct,Strategy 3,True
PER,CHN,1278.601998030646,2030,reference_policy,Direct,Strategy 3,True
PHL,CHN,23661.71663038692,2030,reference_policy,Direct,Strategy 3,True
PLW,CHN,1.0027875288554626,2030,reference_policy,Direct,Strategy 3,True
POL,KOR,1960.7568976338953,2030,reference_policy,Direct,Strategy 3,True
POL,POL,71000.0,2030,reference_policy,Direct,Strategy 3,False
PRT,JPN,25662.68757267909,2030,reference_policy,Direct,Strategy 3,True
PRY,IND,174.9393023454399,2030,reference_policy,Direct,Strategy 3,True
PYF,CHN,106.57753577200523,2030,reference_policy,Direct,Strategy 3,True
QAT,IND,49.701469740056204,2030,reference_policy,Direct,Strategy 3,True
ROM,CHN,4380.167537796822,2030,reference_policy,Direct,Strategy 3,True
RUS,RUS,8958.225692750533,2030,reference_policy,Direct,Strategy 3,False
RWA,IND,25.912098192286383,2030,reference_policy,Direct,Strategy 3,True
SAU,IND,2770.191641088286,2030,reference_policy,Direct,Strategy 3,True
SDN,IND,2.8044104806005374,2030,reference_policy,Direct,Strategy 3,True
SEN,RUS,552.6426079887958,2030,reference_policy,Direct,Strategy 3,True
SLB,CHN,0.834249616251405,2030,reference_policy,Direct,Strategy 3,True
SLE,IND,7.9182239740474,2030,reference_policy,Direct,Strategy 3,True
SLV,CHN,32.442331583027,2030,reference_policy,Direct,Strategy 3,True
SVK,KOR,5994.019619661574,2030,reference_policy,Direct,Strategy 3,True
SVK,SVK,1000.0,2030,reference_policy,Direct,Strategy 3,False
SVN,RUS,742.7329159652734,2030,reference_policy,Direct,Strategy 3,True
