year,source_iso3,destination_iso3,critical_route_strict_policy,open_policy,delta_scrap_t,source_country,destination_country,route,change_type
2045,IND,CHN,0.0,20872662.32396535,-20872662.32396535,India,China,India -> China,reduced_or_removed
2045,USA,KOR,0.0,10781854.285446748,-10781854.285446748,USA,Korea,USA -> Korea,reduced_or_removed
2045,PAK,CHN,0.0,4524611.012392484,-4524611.012392484,Pakistan,China,Pakistan -> China,reduced_or_removed
2045,NGA,CHN,0.0,4129433.2033760897,-4129433.2033760897,Nigeria,China,Nigeria -> China,reduced_or_removed
2045,PHL,CHN,0.0,2610227.4130937792,-2610227.4130937792,Philippines,China,Philippines -> China,reduced_or_removed
2045,CAN,KOR,0.0,1333291.3881328288,-1333291.3881328288,Canada,Korea,Canada -> Korea,reduced_or_removed
2045,BRA,CHN,0.0,1290326.6726465232,-1290326.6726465232,Brazil,China,Brazil -> China,reduced_or_removed
2045,UGA,CHN,0.0,1104689.323666125,-1104689.323666125,Uganda,China,Uganda -> China,reduced_or_removed
2045,KEN,CHN,0.0,912206.5764505442,-912206.5764505442,Kenya,China,Kenya -> China,reduced_or_removed
2045,MEX,CHN,0.0,824909.2027905418,-824909.2027905418,Mexico,China,Mexico -> China,reduced_or_removed
2045,EGY,CHN,0.0,527520.6393664465,-527520.6393664465,Egypt,China,Egypt -> China,reduced_or_removed
2045,SEN,RUS,0.0,460388.8303495485,-460388.8303495485,Senegal,Russian Federation,Senegal -> Russian Federation,reduced_or_removed
2045,TUR,KOR,0.0,403146.4626443089,-403146.4626443089,Turkey,Korea,Turkey -> Korea,reduced_or_removed
2045,LKA,THA,0.0,358421.6339739513,-358421.6339739513,Sri Lanka,Thailand,Sri Lanka -> Thailand,reduced_or_removed
2045,MMR,THA,0.0,326110.80184588267,-326110.80184588267,Myanmar,Thailand,Myanmar -> Thailand,reduced_or_removed
2045,IDN,THA,0.0,164729.9307238105,-164729.9307238105,Indonesia,Thailand,Indonesia -> Thailand,reduced_or_removed
2045,MAR,RUS,0.0,85044.00909429761,-85044.00909429761,Morocco,Russian Federation,Morocco -> Russian Federation,reduced_or_removed
2045,HRV,RUS,0.0,64519.17392073813,-64519.17392073813,Croatia,Russian Federation,Croatia -> Russian Federation,reduced_or_removed
2045,BLR,RUS,0.0,56695.82277749589,-56695.82277749589,Belarus,Russian Federation,Belarus -> Russian Federation,reduced_or_removed
2045,KHM,THA,0.0,43186.80794783271,-43186.80794783271,Cambodia,Thailand,Cambodia -> Thailand,reduced_or_removed
2045,MDG,THA,0.0,26323.728260405605,-26323.728260405605,Madagascar,Thailand,Madagascar -> Thailand,reduced_or_removed
2045,MWI,THA,0.0,25653.49626220285,-25653.49626220285,Malawi,Thailand,Malawi -> Thailand,reduced_or_removed
2045,NAM,THA,0.0,21523.39337578653,-21523.39337578653,Namibia,Thailand,Namibia -> Thailand,reduced_or_removed
2045,ARG,RUS,0.0,15608.579717049166,-15608.579717049166,Argentina,Russian Federation,Argentina -> Russian Federation,reduced_or_removed
2045,MUS,THA,0.0,12164.605591638612,-12164.605591638612,Mauritius,Thailand,Mauritius -> Thailand,reduced_or_removed
2045,LSO,THA,0.0,10756.24679356979,-10756.24679356979,Lesotho,Thailand,Lesotho -> Thailand,reduced_or_removed
2045,LTU,RUS,0.0,9163.393855146296,-9163.393855146296,Lithuania,Russian Federation,Lithuania -> Russian Federation,reduced_or_removed
2045,SVN,RUS,0.0,8177.708494796552,-8177.708494796552,Slovenia,Russian Federation,Slovenia -> Russian Federation,reduced_or_removed
2045,ZAF,THA,0.0,4342.6948632679205,-4342.6948632679205,South Africa,Thailand,South Africa -> Thailand,reduced_or_removed
2045,DZA,RUS,0.0,3384.355403934758,-3384.355403934758,Algeria,Russian Federation,Algeria -> Russian Federation,reduced_or_removed
2045,URY,THA,0.0,3204.5129258775896,-3204.5129258775896,Uruguay,Thailand,Uruguay -> Thailand,reduced_or_removed
2045,SYC,THA,0.0,1945.3986281142625,-1945.3986281142625,Seychelles,Thailand,Seychelles -> Thailand,reduced_or_removed
2045,MDV,THA,0.0,1898.005409099813,-1898.005409099813,Maldives,Thailand,Maldives -> Thailand,reduced_or_removed
2045,BWA,THA,0.0,1638.4850057413396,-1638.4850057413396,Botswana,Thailand,Botswana -> Thailand,reduced_or_removed
2045,COM,THA,0.0,311.3884571479009,-311.3884571479009,Comoros,Thailand,Comoros -> Thailand,reduced_or_removed
2045,SWZ,THA,0.0,263.12262337134155,-263.12262337134155,Eswatini,Thailand,Eswatini -> Thailand,reduced_or_removed
2045,CPV,RUS,0.0,203.0179898643226,-203.0179898643226,Cabo Verde,Russian Federation,Cabo Verde -> Russian Federation,reduced_or_removed
2045,MYS,THA,0.0,122.76966900859078,-122.76966900859078,Malaysia,Thailand,Malaysia -> Thailand,reduced_or_removed
2045,ZWE,THA,0.0,26.106183490981746,-26.106183490981746,Zimbabwe,Thailand,Zimbabwe -> Thailand,reduced_or_removed
2045,AND,RUS,0.0,16.350234471049895,-16.350234471049895,Andorra,Russian Federation,Andorra -> Russian Federation,reduced_or_removed
2045,MOZ,THA,0.0,0.789185359035286,-0.789185359035286,Mozambique,Thailand,Mozambique -> Thailand,reduced_or_removed
2045,MRT,RUS,0.0,0.0862163290602466,-0.0862163290602466,Mauritania,Russian Federation,Mauritania -> Russian Federation,reduced_or_removed
2045,MRT,CHN,0.0862163290602466,0.0,0.0862163290602466,Mauritania,China,Mauritania -> China,new_or_increased
2045,MOZ,CHN,0.789185359035286,0.0,0.789185359035286,Mozambique,China,Mozambique -> China,new_or_increased
2045,AND,CHN,16.350234471049895,0.0,16.350234471049895,Andorra,China,Andorra -> China,new_or_increased
2045,ZWE,CHN,26.106183490981746,0.0,26.106183490981746,Zimbabwe,China,Zimbabwe -> China,new_or_increased
