,country,total_netprofits,scrap,net_profit
0,Afghanistan,-21144720.310246818,0.27748063171859527,-76202.5089076868
1,Albania,-35228972.37390736,34900.12807022517,-1.0094224383079768
2,Algeria,-47026858.413370684,1424.5486066990757,-33.01176119384231
3,Andorra,-6643295.602413824,7.979203822405533,-832.5762507481647
4,Angola,-36343238.9436476,574.8691137410957,-63.220023610479686
5,Argentina,-60353607.21650237,6828.201089565493,-8.838873727478772
6,Armenia,-1084808.331083133,0.7141928212795585,-1518.9292005757968
7,Aruba,-1438729.23378624,0.6230578693401145,-2309.142223514502
8,Australia,41396637.96846153,58316.27079654853,0.7098642866393919
9,Austria,-71492284.13750182,18720.117502099893,-3.8190083010687466
10,Azerbaijan,-63569857.364039466,6727.807315329905,-9.448822533783023
11,Bahamas,-919960.2013390204,0.0227887553456355,-40369.04110760095
12,Bahrain,-4537290.748654085,2.9671360439752617,-1529.1819051799146
13,Bangladesh,-29902861.109769646,3.1889949119116405,-9376.892072820649
14,Barbados,0.0,0.0,
15,Belarus,-47539443.13240512,18193.885001935545,-2.612935232213882
16,Belgium,-65398117.13879116,24886.898340114545,-2.6278130864294016
17,Benin,34507884.48768968,45704.937851243165,0.755014361905561
18,Bermuda,-5222570.652973538,2.339311159222596,-2232.5250030907014
19,Bolivia (Plurinational State of),-59382428.33973893,8706.747890679784,-6.820276535548408
20,Bosnia Herzegovina,-39555883.35682657,937.3011879461437,-42.20189184172826
21,Botswana,-39301043.65365696,746.7709631695064,-52.62797509808396
22,Brazil,3444320079.455097,737011.9317738407,4.67335728359961
23,Brunei Darussalam,-41369267.07510598,37.19063767247952,-1112.3570248895887
24,Bulgaria,109985013.54737261,75306.02596752059,1.4605074711392823
25,Burkina Faso,-59992629.36613064,9349.145369322605,-6.416910529916963
26,Burundi,-46137521.60729629,1323.5992757405343,-34.857620771576066
27,C?te d'Ivoire,-39777107.65412032,778.0702108610956,-51.122774138979985
28,Cabo Verde,-16967396.772506546,56.34930197232747,-301.1110373796476
29,Cambodia,-35499487.02577936,11127.35719274126,-3.190289159490345
30,Cameroon,-3922742.792279098,1.2689671559460853,-3091.2878823522237
31,Canada,2500328830.104089,639080.5118705828,3.9123847209573785
32,Cayman Isds,0.0,0.0,
33,Chile,-26524567.7035454,24743.76555786423,-1.071969730779929
34,China,35047119202.87228,12409817.081083594,2.824144705266844
35,Colombia,-57919906.03958548,10265.930377711165,-5.641953910513367
36,Comoros,-17515580.26496125,61.84144673814518,-283.2336756144686
37,Congo,-6189855.590239745,4.607589476410032,-1343.4043162765713
38,Costa Rica,-56968675.86165384,3407.0948130409197,-16.7206018580997
39,Croatia,-5123632.258199256,46102.99353927102,-0.11113448097106518
40,Cyprus,-58876811.30051029,2691.0266864125215,-21.878939959157563
41,Czechia,434057640.981197,119064.4221720759,3.6455696257768953
42,Denmark,-74376725.57697842,13561.900630338137,-5.4842405651164245
43,Dominican Rep.,-52047116.62731058,13948.441003982163,-3.7313931078356046
44,Ecuador,-60155263.06655863,7396.479101630345,-8.132959241823464
45,Egypt,307120932.7586461,118399.46187201083,2.593938586398662
46,El Salvador,0.0,0.0,
47,Estonia,-56809256.42113644,2402.511785894868,-23.64577637232135
48,Eswatini,-19336826.965352222,82.69275032554083,-233.83944649594957
49,Ethiopia,-54069383.2962889,2579.5697492989934,-20.960620782199214
50,Fiji,0.0,0.0,
51,Finland,-61685483.0889672,25008.668908357467,-2.4665640268584217
52,France,265521218.00687623,134049.2046729502,1.9807742884762953
53,French Polynesia,-49894071.248414546,1803.1550795853634,-27.670427138129305
54,Georgia,-25619660.7583967,259.3074831027429,-98.80031402042367
55,Germany,381333317.0196185,166532.12988357706,2.2898483150741504
56,Ghana,-12279505.061593343,23.854013902707216,-514.7773079900708
57,Greece,-65301937.644647285,19606.193356035903,-3.330679059356702
58,Greenland,-5262680.140941185,2.150720510250463,-2446.9381846032225
59,Grenada,-32557550.81747169,370.4291266186007,-87.89144394412976
60,Guatemala,-42293953.33686732,18538.574542077244,-2.28140266345032
61,Guinea,-7486278.057888325,5.3916094183977705,-1388.5052638165748
62,Guyana,-54607828.09183997,2663.513134180431,-20.502180894498547
