,country,total_costs,scrap,unit_cost
0,Argentina,87328307.65651678,13473.322793960207,6.481571694820829
1,Australia,311843410.27909386,116632.53856271712,2.6737256525665476
2,Belgium,207456328.41412538,49747.50659277257,4.170185454968413
3,Brazil,1136241010.7851748,1891356.4645403111,0.6007545547799923
4,Canada,983587782.4262267,1278160.9800818,0.7695335703044847
5,China,824053623.6299772,19267897.88975265,0.04276821624990229
6,Czechia,99030596.75304335,14154.669121657389,6.9963201472171
7,Finland,200514872.53808987,49989.53609892806,4.011136893554601
8,France,506520868.14932257,267957.41964381095,1.8903035744359236
9,Germany,571414238.3047743,332889.1000976434,1.7165303343881384
10,Hungary,441099023.6530543,223223.1961150782,1.976044745034717
11,India,695290494.5836887,16246208.58853224,0.04279709267517811
12,Italy,436177683.6946658,210847.603710033,2.068686937957885
13,Japan,784444814.3206524,2546422.965944979,0.3080575477096926
14,Korea,1479205501.5134642,10626838.213055596,0.139195259385448
15,Netherlands,250818668.31007874,74751.74246516352,3.355355474515761
16,Norway,430572316.44091827,207711.96681117523,2.072929754848158
17,Paraguay,54954773.91957632,5521.72321492601,9.952468057621157
18,Poland,347892109.1616093,144168.86069499678,2.4130877325694406
19,Romania,98602902.56493077,14154.669121657389,6.966104379936592
20,Russian Federation,152128243.23636052,155303.02781830926,0.9795574843159983
21,Serbia,58423146.956658766,5956.177522015123,9.808832382969802
22,Slovakia,98890261.26552239,14154.669121657385,6.986405716415872
23,Spain,383725165.4833281,168484.3255681893,2.277512547171791
24,Sweden,483731399.88445103,245946.5786258198,1.9668149180493144
25,Switzerland,330105548.1059921,124056.3354609541,2.660932606782429
26,Thailand,174352708.90928122,258846.85435078086,0.6735747643006088
27,Turkey,323537089.91624224,141546.69121657388,2.2857269720364815
28,USA,2590526127.1662073,9133861.20991735,0.2836178553220701
29,United Kingdom,465598482.0754069,262785.68381932256,1.771780240492582
30,Uruguay,34449871.87837884,2245.3307861774706,15.342893835712955
31,Viet Nam,120421736.44750345,84928.0147299443,1.417927133118827
