,country,total_costs,scrap,unit_cost
0,Angola,39032957.42550109,2864.732046632056,13.625343239829528
1,Argentina,101828996.96223642,27801.030154837536,3.6627778321558924
2,Aruba,989629.2032779977,2.3934939847090675,413.46634234315337
3,Australia,188108490.5400011,129174.8481985041,1.45623155872367
4,Belgium,147004616.78104228,48209.86333296972,3.0492643334358696
5,Benin,16877543.402273957,557.839077732555,30.255218890143016
6,Bermuda,834848.6498028673,2.130509415005588,391.85400633429146
7,Bolivia (Plurinational State of),124908509.56156501,55952.35340366473,2.232408504078826
8,Botswana,37811969.05338068,2692.3262305937988,14.044348943939518
9,Brazil,304348139.078446,1230666.3685184552,0.24730353153701376
10,Burkina Faso,171413694.6483934,142541.06303830628,1.2025565896216721
11,C?te d'Ivoire,49661494.222601086,4657.077097824679,10.663661601350334
12,Cabo Verde,18281179.18960802,651.9486415526403,28.040827182445998
13,Cameroon,772657.9504124874,1.589371795841559,486.14046910488395
14,Canada,364459714.4382784,1383296.5885959351,0.2634718522715435
15,Chile,164132195.2749674,144353.4511722839,1.1370160806136727
16,China,131587820.25409712,18952651.79216189,0.006942976724160412
17,Colombia,126284498.6194468,58120.38642567555,2.172808998455983
18,Congo,1283689.3482674852,3.717181022620263,345.3394764623556
19,Costa Rica,87061536.31140256,17706.30869075154,4.916978339865781
20,Czechia,114532327.36206084,24481.4161944256,4.678337497000674
21,Dominican Rep.,137283867.59928417,77661.30310973132,1.7677255222631187
22,Ecuador,128189681.2938154,61220.82931611181,2.093889983618354
23,El Salvador,2370325.445688307,13.039986961331635,181.7736055041462
24,Eswatini,19057872.01823271,707.090658055943,26.952515637287497
25,Finland,186265771.2597579,84500.66384657132,2.2043113365116573
26,France,284455254.919189,265213.04520339775,1.0725537829447036
27,Germany,297121332.62049055,296955.7783456987,1.0005575048100228
28,Ghana,3151802.3420519177,23.139862629414765,136.20661421064065
29,Grenada,21800328.928242292,929.7501491546373,23.447513235748275
30,Guatemala,153089686.25779027,113357.47903886758,1.3505036240731807
31,Guinea,2387350.9588517062,12.360794959446658,193.13894993680717
32,Guyana,56486617.66851866,6318.905394262903,8.93930422186797
33,Honduras,72168457.60390784,10959.313944597014,6.585125489491719
34,Hungary,217208353.0323723,159129.74453074645,1.3649764453081499
35,India,108500367.99790666,15031589.543377316,0.007218156648357274
36,Italy,245049119.3405198,195869.6302466141,1.2510827688395856
37,Jamaica,1566838.3212649117,6.16223090707072,254.2647857397029
38,Japan,200427669.8027578,1893614.9428100034,0.10584394180230537
39,Korea,317510784.88803434,25326439.342868797,0.012536732092086854
40,Lesotho,110944494.59393188,33611.34533820139,3.300804935880878
41,Mali,92786966.29347846,20207.311135924705,4.591752245974038
42,Mexico,164504916.3664273,145494.2976405029,1.1306622942219846
43,Mozambique,8695645.679735966,162.19712376406216,53.61158988481799
44,Namibia,126797663.72674897,52367.21843351918,2.421317524964977
45,Netherlands,178213281.26402014,73723.29666052444,2.4173265349845034
46,Nicaragua,116398738.72513114,43799.3957327658,2.657542113944158
47,Niger,169396860.83305323,137046.50010421197,1.2360538992549361
48,Nigeria,571978741.2759371,7800570.322408485,0.07332524644163894
49,Norway,111243636.1196008,23706.742506745963,4.692489323994869
50,Panama,2334358.369245949,12.695963367913755,183.8661865664739
51,Paraguay,91035986.00621706,20053.90070938832,4.539565011588901
52,Peru,163433195.0586525,142231.37072077923,1.1490657386653154
53,Poland,212536511.6862259,147423.38623253594,1.4416743307672013
54,Romania,113086231.62840721,24481.4161944256,4.619268376073638
55,Russian Federation,81418458.18586814,352502.5814173204,0.2309726580114843
56,Saint Lucia,16368120.32355978,535.2290216332824,30.581526154190055
57,Senegal,273218342.83499,670500.0493624043,0.4074844485019805
58,Serbia,80635073.68452874,12473.747216629232,6.464382537512948
59,Slovakia,109006576.87034276,21695.663054770324,5.024348718688963
60,South Africa,76022589.97011301,12196.775145752032,6.233007418898809
61,Spain,230790809.57288232,171323.60012764097,1.347104598554645
62,Sweden,269930344.2899288,247352.8626007196,1.0912764115677693
63,Switzerland,132765817.60190554,34998.93914943327,3.7934240530846317
64,Thailand,82299040.02051786,357322.51407501724,0.23032145129047138
65,Togo,102025322.36658725,26193.21318115072,3.8951052572659233
66,Trinidad and Tobago,70474911.80892497,10393.37713921163,6.7807519023860525
67,Turkey,233466178.8754139,244814.16194425596,0.9536465416105054
68,USA,686062702.0794637,11415293.113226065,0.06010031413775727
69,United Kingdom,261982172.38405505,281316.6087412107,0.9312716144145551
70,Uruguay,59549862.50063641,7119.947803314531,8.363806048257029
71,Viet Nam,77203065.9571943,146888.49716655354,0.5255895965063588
72,Zambia,8848551.775041554,167.92923769864888,52.692145193443864
73,Zimbabwe,2880879.1099702646,17.882922954955973,161.0966572537782
