,country,type,recycling_m,net_profit
131,Botswana,NMC811,Direct,-15.545075387706266
132,Brazil,LFP,Direct,0.0
133,Brazil,NCA,Direct,10.052068347466223
134,Brazil,NMC111,Hydro,7.75612494042199
135,Brazil,NMC523,Hydro,7.223627859072995
136,Brazil,NMC622,Hydro,7.4818850332276154
137,Brazil,NMC811,Direct,8.969379688235565
138,Brunei Darussalam,LFP,0,0.0
139,Brunei Darussalam,NCA,0,0.0
140,Brunei Darussalam,NMC111,0,0.0
141,Brunei Darussalam,NMC523,0,0.0
142,Brunei Darussalam,NMC622,0,0.0
143,Brunei Darussalam,NMC811,0,0.0
144,Bulgaria,LFP,0,0.0
145,Bulgaria,NCA,0,0.0
146,Bulgaria,NMC111,0,0.0
147,Bulgaria,NMC523,0,0.0
148,Bulgaria,NMC622,0,0.0
149,Bulgaria,NMC811,0,0.0
150,Burkina Faso,LFP,Direct,0.0
151,Burkina Faso,NCA,Direct,9.19725811047853
152,Burkina Faso,NMC111,Hydro,6.430972357752495
153,Burkina Faso,NMC523,Hydro,6.082762389752282
154,Burkina Faso,NMC622,Hydro,5.62239223335449
155,Burkina Faso,NMC811,Direct,6.586285835619428
156,Burundi,LFP,0,0.0
157,Burundi,NCA,0,0.0
158,Burundi,NMC111,0,0.0
159,Burundi,NMC523,0,0.0
160,Burundi,NMC622,0,0.0
161,Burundi,NMC811,0,0.0
162,C?te d'Ivoire,LFP,Direct,0.0
163,C?te d'Ivoire,NCA,Direct,3.3911178873846852
164,C?te d'Ivoire,NMC111,Direct,-8.621971637292555
165,C?te d'Ivoire,NMC523,Hydro,-8.177408027450308
166,C?te d'Ivoire,NMC622,Direct,-9.132644201232898
167,C?te d'Ivoire,NMC811,Direct,-9.481155690298205
168,Cabo Verde,LFP,Direct,0.0
169,Cabo Verde,NCA,Direct,-8.115223211247667
170,Cabo Verde,NMC111,Direct,-31.091277559907766
171,Cabo Verde,NMC523,Direct,-32.68798888954868
172,Cabo Verde,NMC622,Direct,-37.61039471830351
