Period,ReporterISO,ReporterDesc,FlowDesc,PartnerISO,PartnerDesc,CmdCode,NetWgt,PrimaryValue,Probability
2016,CAN,Canada,Export,NOR,Norway,850760,240.46836817365903,14731.621000000001,0.01387409362795298
2016,CAN,Canada,Export,POL,Poland,850760,2391.146282636073,146486.93300000002,0.1379598807751156
2016,CAN,Canada,Export,SVK,Slovakia,850760,344.73343558106313,21119.122000000003,0.0198897842500579
2016,CAN,Canada,Export,ESP,Spain,850760,107.83690613507595,6606.328,0.006221771884717718
2016,CAN,Canada,Export,SWE,Sweden,850760,220.85934356207738,13530.333999999999,0.012742728843968392
2016,CAN,Canada,Export,CHE,Switzerland,850760,3432.7855084328125,210300.06399999998,0.19805843034740594
2016,CAN,Canada,Export,THA,Thailand,850760,1694.548187760021,103811.789,0.09776886828242679
2016,CAN,Canada,Export,GBR,United Kingdom,850760,6360.997708585026,389688.851,0.3670049347711683
2016,CAN,Canada,Export,USA,United States of America,850760,420053.7430619287,25733425.37,24.23547431321443
2016,CAN,Canada,Export,VNM,Vietnam,850760,3508.9918732825204,214968.637,0.20245524248948044
2016,CHN,China,Export,AUS,Australia,850760,1847.889,118207.0,0.006154111228957466
2016,CHN,China,Export,BEL,Belgium,850760,126.921,8119.0,0.0004226909469619175
2016,CHN,China,Export,BRA,Brazil,850760,1232.306,78829.0,0.004104006351091251
2016,CHN,China,Export,CAN,Canada,850760,15635.01,1000151.0,0.05207000561498135
2016,CHN,China,Export,FIN,Finland,850760,1835.445,117411.0,0.006112668393303839
2016,CHN,China,Export,FRA,France,850760,61492.795,3933613.0,0.20479233341909583
2016,CHN,China,Export,DEU,Germany,850760,220648.83399999997,14114615.0,0.7348371395553369
2016,CHN,China,Export,HUN,Hungary,850760,4994.788,319510.0,0.01663437626235234
2016,CHN,China,Export,ITA,Italy,850760,6414.326,410316.0,0.021361930106621033
2016,CHN,China,Export,JPN,Japan,850760,10318886.38,660085557.0,34.36547029691408
2016,CHN,China,Export,NLD,Netherlands,850760,370.681,23712.0,0.0012344962843878517
2016,CHN,China,Export,KOR,North Korea,850760,15730208.88,1006240723.0,52.387050900922326
2016,CHN,China,Export,NOR,Norway,850760,461.945,29550.0,0.0015384370552889036
2016,CHN,China,Export,POL,Poland,850760,76882.26299999999,4918057.0,0.25604459901864296
2016,CHN,China,Export,SVK,Slovakia,850760,462.914,29612.0,0.0015416641613438993
2016,CHN,China,Export,ESP,Spain,850760,250.701,16037.0,0.0008349212746062485
2016,CHN,China,Export,SWE,Sweden,850760,3646.55,233265.0,0.0121442761453501
2016,CHN,China,Export,CHE,Switzerland,850760,6256.14,400197.0,0.02083511586677012
2016,CHN,China,Export,THA,Thailand,850760,786.182,50291.0,0.0026182587126197727
2016,CHN,China,Export,TUR,Turkey,850760,249.46599999999998,15958.0,0.0008308082963008619
2016,CHN,China,Export,GBR,United Kingdom,850760,15159.575,969738.0,0.050486642181279774
2016,CHN,China,Export,USA,United States of America,850760,1350103.596,86364347.0,4.496313198682094
2016,CHN,China,Export,VNM,Vietnam,850760,2208949.2630000003,141303572.0,7.356567122606187
2016,CZE,Czechia,Export,BEL,Belgium,850760,27491.0,1419261.0,1.0827828041912293
2016,CZE,Czechia,Export,CHN,China,850760,1801324.0,79684069.0,70.94840682321349
2016,CZE,Czechia,Export,FRA,France,850760,12448.0,951338.0,0.4902870156259293
2016,CZE,Czechia,Export,DEU,Germany,850760,154444.0,3966984.0,6.083056542523379
2016,CZE,Czechia,Export,HUN,Hungary,850760,44355.0,1100536.0,1.7470019744608045
2016,CZE,Czechia,Export,ITA,Italy,850760,586.0,191276.0,0.023080670883418586
2016,CZE,Czechia,Export,JPN,Japan,850760,301610.0,9885757.0,11.879455879091944
2016,CZE,Czechia,Export,NLD,Netherlands,850760,6238.0,386713.0,0.24569492315830227
2016,CZE,Czechia,Export,KOR,North Korea,850760,32241.0,2078142.0,1.269870153502216
2016,CZE,Czechia,Export,POL,Poland,850760,124982.0,7953728.0,4.922642335070686
2016,CZE,Czechia,Export,ROU,Romania,850760,171.0,6238.0,0.006735144575195526
2016,CZE,Czechia,Export,SVK,Slovakia,850760,1799.0,162578.0,0.07085687187588743
2016,CZE,Czechia,Export,ESP,Spain,850760,282.0,24032.0,0.011107080527515429
2016,CZE,Czechia,Export,CHE,Switzerland,850760,573.0,153333.0,0.0225686423484622
2016,CZE,Czechia,Export,GBR,United Kingdom,850760,3005.0,160186.0,0.11835736519568746
2016,CZE,Czechia,Export,USA,United States of America,850760,18718.0,1313017.0,0.7372423167164319
2016,CZE,Czechia,Export,VNM,Vietnam,850760,8654.0,142915.0,0.3408534570394274
2016,FIN,Finland,Export,BEL,Belgium,850760,432.0,56245.0,0.11678863689818031
2016,FIN,Finland,Export,CHN,China,850760,165429.0,10435000.0,44.722748642196926
2016,FIN,Finland,Export,CZE,Czechia,850760,298.0,23405.0,0.0805625319343929
2016,FIN,Finland,Export,FRA,France,850760,2005.0,224081.0,0.5420398541223415
2016,FIN,Finland,Export,DEU,Germany,850760,73043.0,1448771.0,19.746741678133763
2016,FIN,Finland,Export,HUN,Hungary,850760,355.0,37113.0,0.09597214374734725
2016,FIN,Finland,Export,IND,India,850760,116.0,6409.0,0.03135991175969657
2016,FIN,Finland,Export,ITA,Italy,850760,1680.0,140407.0,0.4541780323818123
2016,FIN,Finland,Export,JPN,Japan,850760,35794.0,2195364.0,9.676695530401542
2016,FIN,Finland,Export,NLD,Netherlands,850760,11636.0,665494.0,3.1457235623778383
2016,FIN,Finland,Export,KOR,North Korea,850760,2602.0,250517.0,0.7034352620580212
2016,FIN,Finland,Export,NOR,Norway,850760,4575.0,140439.0,1.2368241060397567
2016,FIN,Finland,Export,POL,Poland,850760,25656.0,1551916.0,6.93594738023082
2016,FIN,Finland,Export,SVK,Slovakia,850760,363.0,28550.0,0.09813489628249875
2016,FIN,Finland,Export,SWE,Sweden,850760,5972.0,458685.0,1.6144947674905854
2016,FIN,Finland,Export,CHE,Switzerland,850760,945.0,72276.0,0.25547514321476944
2016,FIN,Finland,Export,GBR,United Kingdom,850760,701.0,172744.0,0.1895111908926491
2016,FIN,Finland,Export,USA,United States of America,850760,38297.0,3358052.0,10.353366729837063
2016,FRA,France,Export,AUS,Australia,850760,244.0,82072.0,0.002302682521327889
2016,FRA,France,Export,BEL,Belgium,850760,6799.0,414372.0,0.06416368222339475
2016,FRA,France,Export,CAN,Canada,850760,118.0,35920.0,0.0011135923668716841
2016,FRA,France,Export,CHN,China,850760,2597297.0,104062654.0,24.51127214998919
2016,FRA,France,Export,CZE,Czechia,850760,1640.0,254417.0,0.015477046454826796
2016,FRA,France,Export,FIN,Finland,850760,364.0,10770.0,0.0034351493350957035
2016,FRA,France,Export,DEU,Germany,850760,583090.0,27057245.0,5.50275062033229
2016,FRA,France,Export,HUN,Hungary,850760,31845.0,3193807.0,0.3005283807036337
2016,FRA,France,Export,IND,India,850760,978.0,32228.0,0.009229604532207687
2016,FRA,France,Export,ITA,Italy,850760,70753.0,3118006.0,0.6677118706209514
2016,FRA,France,Export,JPN,Japan,850760,1305471.0,46492730.0,12.320021531969019
2016,FRA,France,Export,NLD,Netherlands,850760,182897.0,3360510.0,1.7260398569807662
2016,FRA,France,Export,KOR,North Korea,850760,5359191.0,171173285.0,50.575882967859556
2016,FRA,France,Export,NOR,Norway,850760,147.0,7515.0,0.0013872718468655725
2016,FRA,France,Export,POL,Poland,850760,175650.0,14891773.0,1.6576482986526382
2016,FRA,France,Export,SVK,Slovakia,850760,22402.0,1042406.0,0.21141267968355482
2016,FRA,France,Export,ESP,Spain,850760,43601.0,991971.0,0.4114723795590873
2016,FRA,France,Export,SWE,Sweden,850760,7321.0,674230.0,0.06908991286328474
2016,FRA,France,Export,CHE,Switzerland,850760,7324.0,1732560.0,0.06911822453362892
2016,FRA,France,Export,THA,Thailand,850760,330.0,60160.0,0.0031142837378614896
2016,FRA,France,Export,TUR,Turkey,850760,16251.0,236203.0,0.15336431825450625
2016,FRA,France,Export,GBR,United Kingdom,850760,75874.0,3326312.0,0.7160398918984928
2016,FRA,France,Export,USA,United States of America,850760,97579.0,12621257.0,0.9208748268387462
2016,FRA,France,Export,VNM,Vietnam,850760,9171.0,890906.0,0.08654877624220521
2016,DEU,Germany,Export,AUS,Australia,850760,4852.355,1929074.783,0.0128358999429527
2016,DEU,Germany,Export,BEL,Belgium,850760,6563.683000000001,3115935.233,0.017362863649765865
2016,DEU,Germany,Export,BRA,Brazil,850760,4532.338,188343.32,0.011989361263889877
2016,DEU,Germany,Export,CAN,Canada,850760,1918.885,173539.59699999998,0.005076012752989589
2016,DEU,Germany,Export,CHN,China,850760,7517734.243,339443105.5,19.88660857271516
2016,DEU,Germany,Export,CZE,Czechia,850760,85610.168,5430655.9,0.22646396451771797
2016,DEU,Germany,Export,FIN,Finland,850760,658.0,88728.285,0.0017406026893050648
2016,DEU,Germany,Export,FRA,France,850760,122933.655,4925462.679,0.3251955174758374
2016,DEU,Germany,Export,HUN,Hungary,850760,530082.84,54679281.09,1.402224341730192
2016,DEU,Germany,Export,IND,India,850760,653.5459999999999,31690.965,0.0017288205549917445
2016,DEU,Germany,Export,ITA,Italy,850760,6033.23,759837.391,0.015959660126437684
2016,DEU,Germany,Export,JPN,Japan,850760,8584854.63,304687528.5,22.70945449281313
2016,DEU,Germany,Export,NLD,Netherlands,850760,338821.47799999994,13736594.42,0.8962820300928827
2016,DEU,Germany,Export,KOR,North Korea,850760,13064191.78,458996665.9,34.55861298763696
2016,DEU,Germany,Export,NOR,Norway,850760,2022.124,204898.615,0.005349110140590144
2016,DEU,Germany,Export,POL,Poland,850760,1705988.632,99067493.01,4.512839514867886
2016,DEU,Germany,Export,ROU,Romania,850760,2909.0,330906.744,0.007695156874146556
2016,DEU,Germany,Export,RUS,Russia,850760,988.0,8463.538,0.0026135493267984864
2016,DEU,Germany,Export,SVK,Slovakia,850760,2562540.0,84278856.14,6.778668716492099
2016,DEU,Germany,Export,ESP,Spain,850760,86225.0,1673962.5680000002,0.22809037520566752
2016,DEU,Germany,Export,SWE,Sweden,850760,82305.982,5570871.353999999,0.21772342494695177
2016,DEU,Germany,Export,CHE,Switzerland,850760,34179.421,5321331.42,0.09041457767703649
2016,DEU,Germany,Export,THA,Thailand,850760,1758.467,428345.314,0.004651660166039832
2016,DEU,Germany,Export,TUR,Turkey,850760,559026.0,1323945.645,1.4787874756709016
2016,DEU,Germany,Export,GBR,United Kingdom,850760,91583.0,5332827.846,0.2422638542471516
2016,DEU,Germany,Export,USA,United States of America,850760,2363221.171,101951654.1,6.251412045083988
2016,DEU,Germany,Export,VNM,Vietnam,850760,40810.382000000005,2450151.661,0.1079554113385517
2016,HUN,Hungary,Export,BEL,Belgium,850760,273.0,81258.0,0.004217996941176291
2016,HUN,Hungary,Export,CHN,China,850760,177295.34600000002,9549687.0,2.7393085242226825
2016,HUN,Hungary,Export,CZE,Czechia,850760,82658.0,1876150.0,1.2771105903434063
2016,HUN,Hungary,Export,FIN,Finland,850760,114.0,3273.0,0.0017613613600516384
2016,HUN,Hungary,Export,FRA,France,850760,2580.815,105051.0,0.03987498086352341
2016,HUN,Hungary,Export,DEU,Germany,850760,4559833.0,46819793.0,70.45187416217844
2016,HUN,Hungary,Export,ITA,Italy,850760,9876.99,120782.0,0.15260481175102134
2016,HUN,Hungary,Export,JPN,Japan,850760,804665.319,35805274.0,12.432512286493207
2016,HUN,Hungary,Export,NLD,Netherlands,850760,16993.136000000002,600117.0,0.2625530976886181
