year,policy_scenario,strategy,processed_scrap_t,unprocessed_scrap_t,contained_lithium_t,recovered_lithium_t,recycling_CO2_t,total_objective_cost,cross_border_scrap_t
2030,reference_policy,Strategy 3,4553741.048207438,24.27808190303014,75378.27351601435,66491.17506847627,2347195.8622245686,31710853.345591195,1174702.2073570748
2030,current_policy,Strategy 3,4553741.048207439,24.27808190303014,75378.27351601436,66491.17506847627,2347195.8622245686,31841509.071580358,1174702.2073570746
2031,reference_policy,Strategy 3,6565154.513099617,34.67911799869478,109017.2247609133,96589.26113816918,3396988.4815979633,45023116.254698515,2045466.7720824957
2031,current_policy,Strategy 3,6565154.513099618,34.67911799869478,109017.2247609133,96589.2611381692,3396988.4815979633,45280605.291808,2045466.772082496
