year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t
2030,reference_policy,China,0.0,0.0,42627.93276819615,71609.35984021363,35884.35540183354,84.18037908844161,7424680.344611991,4553741.048207438
2030,reference_policy,China,0.75,31970.94957614711,42627.93276819615,71609.35984021363,38939.47977586688,91.3473331855277,7424680.344611991,4553741.048207439
2030,reference_policy,China,0.9,38365.13949137654,42627.93276819615,71609.35984021363,38939.47977586688,91.3473331855277,7424680.344611991,4553741.048207438
2030,reference_policy,China,0.95,40496.53612978634,42627.93276819615,71609.35984021363,40496.53612978639,95.00000000000011,7433060.544193809,4553741.048207438
2030,reference_policy,China,0.99,42201.65344051419,42627.93276819615,72061.96521231241,42201.653440514194,99.00000000000001,7933640.233708241,4553741.048207438
2030,reference_policy,China,1.0,42627.93276819615,42627.93276819615,72488.24453999438,42627.932768196166,100.00000000000004,8556498.4488611,4553741.048207438
2030,current_policy,China,0.0,0.0,42627.93276819615,71609.35984021363,33955.844027880914,79.65632350160477,7541686.070601147,4553741.048207439
2030,current_policy,China,0.75,31970.94957614711,42627.93276819615,71609.35984021363,35263.3675000202,82.72361620671761,7541686.070601147,4553741.048207438
2030,current_policy,China,0.9,38365.13949137654,42627.93276819615,71609.35984021363,38365.139491376554,90.00000000000004,7541686.070601147,4553741.048207438
2030,current_policy,China,0.95,40496.53612978634,42627.93276819615,71609.35984021363,40496.536129786386,95.0000000000001,7557033.1185253,4553741.048207438
2030,current_policy,China,0.99,42201.65344051419,42627.93276819615,72061.9652123124,42201.65344051419,98.99999999999999,8068679.443974845,4553741.048207438
2030,current_policy,China,1.0,42627.93276819615,42627.93276819615,72488.24453999438,42627.93276819616,100.00000000000003,8691537.659127709,4553741.048207438
2030,strict_policy,China,0.0,0.0,33794.45493748859,71609.35984021363,33097.66205217954,97.93814432989689,7573935.0440972,4553741.048207438
2030,strict_policy,China,0.75,25345.84120311644,33794.45493748859,71609.35984021363,33097.66205217954,97.93814432989689,7573935.044097201,4553741.048207438
2030,strict_policy,China,0.9,30415.00944373973,33794.45493748859,71609.35984021363,33097.66205217954,97.93814432989689,7573935.044097201,4553741.048207438
2030,strict_policy,China,0.95,32104.73219061416,33794.45493748859,71609.35984021363,33097.66205217954,97.93814432989689,7573935.044097201,4553741.048207438
2030,strict_policy,China,0.99,33456.510388113704,33794.45493748859,71968.20817614779,33456.510388113704,99.0,7963430.387293799,4553741.048207438
2030,strict_policy,China,1.0,33794.45493748859,33794.45493748859,72306.15272552267,33794.4549374886,100.00000000000003,8457011.869952045,4553741.048207439
2030,critical_route_policy,China,0.0,0.0,35349.353134313285,71609.35984021364,34501.75049236868,97.60221173291613,7471076.157113247,4553741.048207439
2030,critical_route_policy,China,0.75,26512.014850734966,35349.353134313285,71609.35984021363,34525.53556824828,97.66949747868134,7471076.157113247,4553741.048207439
2030,critical_route_policy,China,0.9,31814.417820881958,35349.353134313285,71609.35984021363,34525.53556824828,97.66949747868134,7471076.157113247,4553741.048207439
2030,critical_route_policy,China,0.95,33581.88547759762,35349.353134313285,71609.35984021363,34525.53556824828,97.66949747868134,7471076.157113247,4553741.048207439
2030,critical_route_policy,China,0.99,34995.85960297015,35349.353134313285,71984.7189508151,34995.85960297016,99.00000000000003,7878016.149378455,4553741.048207438
2030,critical_route_policy,China,1.0,35349.353134313285,35349.353134313285,72338.21248215913,35349.35313431417,100.00000000000252,8394273.814710272,4553741.048207475
2040,reference_policy,China,0.0,0.0,457908.209364998,683402.2233655025,412392.6513653003,90.0601131255506,61923272.835897654,43973946.622175366
2040,reference_policy,China,0.75,343431.1570237485,457908.209364998,683402.2233655027,416597.67257003894,90.97842407056946,61923272.835897654,43973946.62217538
2040,reference_policy,China,0.9,412117.3884284982,457908.209364998,683402.2233655027,416597.6725700388,90.97842407056945,61923272.83589764,43973946.62217538
2040,reference_policy,China,0.95,435012.79889674805,457908.209364998,683402.2233655027,435012.79889674834,95.00000000000006,61925152.89045869,43973946.62217538
2040,reference_policy,China,0.99,453329.12727134797,457908.209364998,688264.0991832608,453329.12727134785,98.99999999999997,67136687.04989915,43973946.62217538
2040,reference_policy,China,1.0,457908.209364998,457908.209364998,692843.1812769107,457908.2093649979,99.99999999999999,73799863.30799416,43973946.62217538
2040,current_policy,China,0.0,0.0,457908.209364998,683402.2233655027,411686.77939242194,89.90596171300939,63614351.875352666,43973946.62217538
2040,current_policy,China,0.75,343431.1570237485,457908.209364998,683402.2233655027,423401.50575288816,92.46427495589961,63614351.875352666,43973946.62217538
