year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t
2040,current_policy,China,0.9,412117.3884284982,457908.209364998,683402.2233655025,423401.5057528881,92.4642749558996,63614351.875352666,43973946.62217538
2040,current_policy,China,0.95,435012.79889674805,457908.209364998,683402.2233655025,435012.79889674834,95.00000000000006,63616231.92991371,43973946.62217538
2040,current_policy,China,0.99,453329.12727134797,457908.209364998,688264.0991832607,453329.1272713478,98.99999999999996,68827766.08935413,43973946.62217538
2040,current_policy,China,1.0,457908.209364998,457908.209364998,692843.1812769107,457908.2093649979,99.99999999999999,75490942.34744917,43973946.62217538
2040,strict_policy,China,0.0,0.0,342611.2302145613,683402.2233655025,335547.0811379724,97.93814432989691,64397018.73337498,43973946.62217538
2040,strict_policy,China,0.75,256958.42266092094,342611.2302145613,683402.2233655025,335547.0811379724,97.93814432989691,64397018.73337498,43973946.62217538
2040,strict_policy,China,0.9,308350.10719310516,342611.2302145613,683402.2233655027,335547.0811379725,97.93814432989694,64397018.73337498,43973946.62217538
2040,strict_policy,China,0.95,325480.6687038332,342611.2302145613,683402.2233655027,335547.0811379724,97.93814432989691,64397018.73337498,43973946.62217538
2040,strict_policy,China,0.99,339185.11791241565,342611.2302145613,687040.2601399459,339185.1179124157,99.00000000000001,68302807.85703118,43973946.62217538
2040,strict_policy,China,1.0,342611.2302145613,342611.2302145613,690466.3724420917,342611.2302145614,100.00000000000004,73282235.92668514,43973946.62217539
2040,critical_route_policy,China,0.0,0.0,373151.29430427734,683402.2233655027,364292.89552582864,97.62605706755895,63180339.07940394,43973946.62217538
2040,critical_route_policy,China,0.75,279863.470728208,373151.29430427734,683402.2233655025,363823.7368874082,97.50032826919174,63180339.07940394,43973946.62217538
2040,critical_route_policy,China,0.9,335836.1648738496,373151.29430427734,683402.2233655025,363823.7368874082,97.50032826919174,63180339.07940394,43973946.62217538
2040,critical_route_policy,China,0.95,354493.72958906344,373151.29430427734,683402.2233655025,363823.7368874082,97.50032826919174,63180339.07940394,43973946.62217538
2040,critical_route_policy,China,0.99,369419.78136123455,373151.29430427734,687364.5515421357,369419.7813612345,98.99999999999997,67420132.65160413,43973946.62217537
2040,critical_route_policy,China,1.0,373151.29430427734,373151.29430427734,691096.0644851851,373151.29430428386,100.00000000000175,72841971.47284177,43973946.62217565
2050,reference_policy,China,0.0,0.0,1481905.5940983365,1684102.4335815096,1113531.9587372134,75.14189589214287,162841428.4423679,116468553.8076376
2050,reference_policy,China,0.75,1111429.1955737523,1481905.5940983365,1684102.4335815096,1111429.1955737525,75.00000000000001,162841428.4423679,116468553.8076376
2050,reference_policy,China,0.9,1333715.034688503,1481905.5940983365,1684102.43358151,1333715.0346885037,90.00000000000006,162841428.4423679,116468553.8076376
2050,reference_policy,China,0.95,1407810.3143934195,1481905.5940983365,1684102.4335815096,1407810.3143934207,95.00000000000006,162841428.4423679,116468553.8076376
2050,reference_policy,China,0.99,1467086.5381573532,1481905.5940983365,1699836.6808057264,1467086.5381573522,98.99999999999994,179572589.37836188,116468553.8076376
2050,reference_policy,China,1.0,1481905.5940983365,1481905.5940983365,1714655.7367467107,1481905.5940983365,100.0,201210819.9848562,116468553.8076376
2050,current_policy,China,0.0,0.0,1481905.5940983365,1684102.4335815096,1113586.561984242,75.14558055648627,178824526.0419748,116468553.8076376
2050,current_policy,China,0.75,1111429.1955737523,1481905.5940983365,1684102.4335815096,1111429.1955737525,75.00000000000001,178824526.0419748,116468553.8076376
2050,current_policy,China,0.9,1333715.034688503,1481905.5940983365,1684102.43358151,1333715.0346885037,90.00000000000006,178824526.0419748,116468553.8076376
2050,current_policy,China,0.95,1407810.3143934195,1481905.5940983365,1684102.4335815096,1407810.3143934207,95.00000000000006,178824526.0419748,116468553.8076376
2050,current_policy,China,0.99,1467086.5381573532,1481905.5940983365,1699836.680805726,1467086.5381573522,98.99999999999994,195555686.9779688,116468553.8076376
2050,current_policy,China,1.0,1481905.5940983365,1481905.5940983365,1714655.7367467107,1481905.5940983365,100.0,217193917.58446306,116468553.8076376
2050,strict_policy,China,0.0,0.0,345411.7125538665,1684102.4335815096,338289.82157337444,97.93814432989691,187785740.7335122,116468553.8076376
2050,strict_policy,China,0.75,259058.7844153999,345411.7125538665,1684102.4335815096,338289.8215733744,97.9381443298969,187785740.73351222,116468553.8076376
2050,strict_policy,China,0.9,310870.54129847983,345411.7125538665,1684102.4335815096,338289.8215733743,97.93814432989689,187785740.73351222,116468553.8076376
2050,strict_policy,China,0.95,328141.12692617316,345411.7125538665,1684102.4335815096,338289.8215733743,97.93814432989689,187785740.73351222,116468553.8076376
2050,strict_policy,China,0.99,341957.59542832786,345411.7125538665,1687770.2074364633,341957.5954283279,99.00000000000003,191685848.1205562,116468553.8076376
2050,strict_policy,China,1.0,345411.7125538665,345411.7125538665,1691224.3245620034,345411.71255386807,100.00000000000044,196684606.9313798,116468553.80763769
2050,critical_route_policy,China,0.0,0.0,458586.57116495597,1684102.4335815096,446277.0302074364,97.31576506345368,181335200.27050245,116468553.8076376
2050,critical_route_policy,China,0.75,343939.928373717,458586.57116495597,1684102.4335815099,449131.6270766869,97.93824226813913,181335200.27050245,116468553.8076376
2050,critical_route_policy,China,0.9,412727.91404846037,458586.57116495597,1684102.4335815099,449131.627076687,97.93824226813916,181335200.27050245,116468553.8076376
2050,critical_route_policy,China,0.95,435657.24260670814,458586.57116495597,1684102.4335815099,449131.627076687,97.93824226813916,181335200.27050245,116468553.8076376
2050,critical_route_policy,China,0.99,454000.7054533064,458586.57116495597,1688971.5119581297,454000.7054533069,99.00000000000011,186500291.8347754,116468553.80763762
2050,critical_route_policy,China,1.0,458586.57116495597,458586.57116495597,1693557.377669779,458586.5711649561,100.00000000000003,193150546.48686317,116468553.8076376
