year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,strict_policy,China,0.75,target_region,Pyro,0.0,0.0
2030,strict_policy,China,0.9,global,Direct,0.0,0.0
2030,strict_policy,China,0.9,global,Hydro,71609.35984021363,100.0
2030,strict_policy,China,0.9,global,Pyro,0.0,0.0
2030,strict_policy,China,0.9,target_region,Direct,0.0,0.0
2030,strict_policy,China,0.9,target_region,Hydro,33097.66205217954,100.0
2030,strict_policy,China,0.9,target_region,Pyro,0.0,0.0
2030,strict_policy,China,0.95,global,Direct,0.0,0.0
2030,strict_policy,China,0.95,global,Hydro,71609.35984021363,100.0
2030,strict_policy,China,0.95,global,Pyro,0.0,0.0
2030,strict_policy,China,0.95,target_region,Direct,0.0,0.0
2030,strict_policy,China,0.95,target_region,Hydro,33097.66205217954,100.0
2030,strict_policy,China,0.95,target_region,Pyro,0.0,0.0
2030,strict_policy,China,0.99,global,Direct,17404.144292806617,24.183100752221897
2030,strict_policy,China,0.99,global,Hydro,54564.06388334117,75.8168992477781
2030,strict_policy,China,0.99,global,Pyro,0.0,0.0
2030,strict_policy,China,0.99,target_region,Direct,17404.144292806617,52.020202020202
2030,strict_policy,China,0.99,target_region,Hydro,16052.366095307083,47.979797979797986
2030,strict_policy,China,0.99,target_region,Pyro,0.0,0.0
2030,strict_policy,China,1.0,global,Direct,33794.4549374886,46.738007297627675
2030,strict_policy,China,1.0,global,Hydro,38511.697788034086,53.26199270237234
2030,strict_policy,China,1.0,global,Pyro,0.0,0.0
2030,strict_policy,China,1.0,target_region,Direct,33794.4549374886,100.0
2030,strict_policy,China,1.0,target_region,Hydro,0.0,0.0
2030,strict_policy,China,1.0,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,0.0,global,Direct,0.0,0.0
2030,critical_route_policy,China,0.0,global,Hydro,71609.35984021363,99.99999999999997
2030,critical_route_policy,China,0.0,global,Pyro,0.0,0.0
2030,critical_route_policy,China,0.0,target_region,Direct,0.0,0.0
2030,critical_route_policy,China,0.0,target_region,Hydro,34501.75049236868,100.0
2030,critical_route_policy,China,0.0,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,0.75,global,Direct,0.0,0.0
2030,critical_route_policy,China,0.75,global,Hydro,71609.35984021363,100.0
2030,critical_route_policy,China,0.75,global,Pyro,0.0,0.0
2030,critical_route_policy,China,0.75,target_region,Direct,0.0,0.0
2030,critical_route_policy,China,0.75,target_region,Hydro,34525.535568248284,100.00000000000003
2030,critical_route_policy,China,0.75,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,0.9,global,Direct,0.0,0.0
2030,critical_route_policy,China,0.9,global,Hydro,71609.35984021363,100.0
2030,critical_route_policy,China,0.9,global,Pyro,0.0,0.0
2030,critical_route_policy,China,0.9,target_region,Direct,0.0,0.0
2030,critical_route_policy,China,0.9,target_region,Hydro,34525.535568248284,100.00000000000003
2030,critical_route_policy,China,0.9,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,0.95,global,Direct,0.0,0.0
2030,critical_route_policy,China,0.95,global,Hydro,71609.35984021363,100.0
2030,critical_route_policy,China,0.95,global,Pyro,0.0,0.0
2030,critical_route_policy,China,0.95,target_region,Direct,0.0,0.0
2030,critical_route_policy,China,0.95,target_region,Hydro,34525.535568248284,100.00000000000003
2030,critical_route_policy,China,0.95,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,0.99,global,Direct,18204.916864171377,25.289974218848066
2030,critical_route_policy,China,0.99,global,Hydro,53779.80208664373,74.71002578115193
2030,critical_route_policy,China,0.99,global,Pyro,0.0,0.0
2030,critical_route_policy,China,0.99,target_region,Direct,18204.916864171377,52.02020202020211
2030,critical_route_policy,China,0.99,target_region,Hydro,16790.942738798774,47.979797979797866
2030,critical_route_policy,China,0.99,target_region,Pyro,0.0,0.0
2030,critical_route_policy,China,1.0,global,Direct,35349.35313431417,48.866777214093354
2030,critical_route_policy,China,1.0,global,Hydro,36988.859347844955,51.13322278590664
2030,critical_route_policy,China,1.0,global,Pyro,0.0,0.0
2030,critical_route_policy,China,1.0,target_region,Direct,35349.35313431417,100.0
2030,critical_route_policy,China,1.0,target_region,Hydro,0.0,0.0
2030,critical_route_policy,China,1.0,target_region,Pyro,0.0,0.0
2040,reference_policy,China,0.0,global,Direct,0.0,0.0
2040,reference_policy,China,0.0,global,Hydro,683402.2233655025,100.0
2040,reference_policy,China,0.0,global,Pyro,0.0,0.0
2040,reference_policy,China,0.0,target_region,Direct,0.0,0.0
2040,reference_policy,China,0.0,target_region,Hydro,412392.6513653003,100.0
2040,reference_policy,China,0.0,target_region,Pyro,0.0,0.0
2040,reference_policy,China,0.75,global,Direct,0.0,0.0
2040,reference_policy,China,0.75,global,Hydro,683402.2233655027,100.0
2040,reference_policy,China,0.75,global,Pyro,0.0,0.0
2040,reference_policy,China,0.75,target_region,Direct,0.0,0.0
2040,reference_policy,China,0.75,target_region,Hydro,416597.6725700389,99.99999999999999
2040,reference_policy,China,0.75,target_region,Pyro,0.0,0.0
2040,reference_policy,China,0.9,global,Direct,0.0,0.0
2040,reference_policy,China,0.9,global,Hydro,683402.2233655025,99.99999999999997
2040,reference_policy,China,0.9,global,Pyro,0.0,0.0
2040,reference_policy,China,0.9,target_region,Direct,0.0,0.0
2040,reference_policy,China,0.9,target_region,Hydro,416597.6725700388,100.0
2040,reference_policy,China,0.9,target_region,Pyro,0.0,0.0
2040,reference_policy,China,0.95,global,Direct,0.0,0.0
2040,reference_policy,China,0.95,global,Hydro,683402.2233655025,99.99999999999997
2040,reference_policy,China,0.95,global,Pyro,0.0,0.0
2040,reference_policy,China,0.95,target_region,Direct,0.0,0.0
2040,reference_policy,China,0.95,target_region,Hydro,435012.7988967483,99.99999999999999
2040,reference_policy,China,0.95,target_region,Pyro,0.0,0.0
2040,reference_policy,China,0.99,global,Direct,235800.9771612698,34.26024653052319
2040,reference_policy,China,0.99,global,Hydro,452463.12202199094,65.7397534694768
2040,reference_policy,China,0.99,global,Pyro,0.0,0.0
2040,reference_policy,China,0.99,target_region,Direct,235800.9771612698,52.01540403560416
2040,reference_policy,China,0.99,target_region,Hydro,217528.15011007804,47.98459596439584
2040,reference_policy,China,0.99,target_region,Pyro,0.0,0.0
2040,reference_policy,China,1.0,global,Direct,457886.4587032983,66.08803710233722
2040,reference_policy,China,1.0,global,Hydro,234956.72257361253,33.9119628976628
2040,reference_policy,China,1.0,global,Pyro,0.0,0.0
2040,reference_policy,China,1.0,target_region,Direct,457886.4587032983,99.9952499952491
2040,reference_policy,China,1.0,target_region,Hydro,21.750661699628566,0.004750004750906561
2040,reference_policy,China,1.0,target_region,Pyro,0.0,0.0
2040,current_policy,China,0.0,global,Direct,0.0,0.0
2040,current_policy,China,0.0,global,Hydro,683402.2233655025,99.99999999999997
2040,current_policy,China,0.0,global,Pyro,0.0,0.0
2040,current_policy,China,0.0,target_region,Direct,0.0,0.0
2040,current_policy,China,0.0,target_region,Hydro,411686.779392422,100.00000000000003
2040,current_policy,China,0.0,target_region,Pyro,0.0,0.0
2040,current_policy,China,0.75,global,Direct,0.0,0.0
2040,current_policy,China,0.75,global,Hydro,683402.2233655025,99.99999999999997
2040,current_policy,China,0.75,global,Pyro,0.0,0.0
2040,current_policy,China,0.75,target_region,Direct,0.0,0.0
2040,current_policy,China,0.75,target_region,Hydro,423401.50575288816,100.0
2040,current_policy,China,0.75,target_region,Pyro,0.0,0.0
2040,current_policy,China,0.9,global,Direct,0.0,0.0
2040,current_policy,China,0.9,global,Hydro,683402.2233655025,100.0
2040,current_policy,China,0.9,global,Pyro,0.0,0.0
2040,current_policy,China,0.9,target_region,Direct,0.0,0.0
2040,current_policy,China,0.9,target_region,Hydro,423401.5057528881,100.0
2040,current_policy,China,0.9,target_region,Pyro,0.0,0.0
2040,current_policy,China,0.95,global,Direct,0.0,0.0
2040,current_policy,China,0.95,global,Hydro,683402.2233655025,100.0
2040,current_policy,China,0.95,global,Pyro,0.0,0.0
2040,current_policy,China,0.95,target_region,Direct,0.0,0.0
2040,current_policy,China,0.95,target_region,Hydro,435012.7988967483,99.99999999999999
2040,current_policy,China,0.95,target_region,Pyro,0.0,0.0
2040,current_policy,China,0.99,global,Direct,235800.97716126844,34.260246530523
2040,current_policy,China,0.99,global,Hydro,452463.1220219923,65.73975346947701
2040,current_policy,China,0.99,global,Pyro,0.0,0.0
2040,current_policy,China,0.99,target_region,Direct,235800.97716126844,52.01540403560387
2040,current_policy,China,0.99,target_region,Hydro,217528.1501100794,47.98459596439614
2040,current_policy,China,0.99,target_region,Pyro,0.0,0.0
2040,current_policy,China,1.0,global,Direct,457886.45870329806,66.0880371023372
2040,current_policy,China,1.0,global,Hydro,234956.7225736127,33.91196289766282
2040,current_policy,China,1.0,global,Pyro,0.0,0.0
2040,current_policy,China,1.0,target_region,Direct,457886.45870329806,99.99524999524905
2040,current_policy,China,1.0,target_region,Hydro,21.750661699814664,0.004750004750947202
2040,current_policy,China,1.0,target_region,Pyro,0.0,0.0
2040,strict_policy,China,0.0,global,Direct,0.0,0.0
2040,strict_policy,China,0.0,global,Hydro,683402.2233655027,100.00000000000003
2040,strict_policy,China,0.0,global,Pyro,0.0,0.0
2040,strict_policy,China,0.0,target_region,Direct,0.0,0.0
2040,strict_policy,China,0.0,target_region,Hydro,335547.0811379724,100.0
2040,strict_policy,China,0.0,target_region,Pyro,0.0,0.0
2040,strict_policy,China,0.75,global,Direct,0.0,0.0
2040,strict_policy,China,0.75,global,Hydro,683402.2233655025,100.0
2040,strict_policy,China,0.75,global,Pyro,0.0,0.0
2040,strict_policy,China,0.75,target_region,Direct,0.0,0.0
2040,strict_policy,China,0.75,target_region,Hydro,335547.0811379724,100.0
2040,strict_policy,China,0.75,target_region,Pyro,0.0,0.0
2040,strict_policy,China,0.9,global,Direct,0.0,0.0
2040,strict_policy,China,0.9,global,Hydro,683402.2233655027,100.0
2040,strict_policy,China,0.9,global,Pyro,0.0,0.0
