year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t,solver_target_constraint_li_t
2030,reference_policy,United States,0.0,0.0,7346.753225055544,71609.35984021363,7195.273777116253,97.93814432989689,7424680.344611991,4553741.048207438,
2030,reference_policy,United States,0.75,5510.064918791658,7346.753225055544,71609.35984021363,7195.273777116255,97.9381443298969,7424680.344611992,4553741.048207438,
2030,reference_policy,United States,0.9,6612.07790254999,7346.753225055544,71609.35984021363,7195.273777116255,97.9381443298969,7424680.344611992,4553741.048207438,
2030,reference_policy,United States,0.95,6979.415563802767,7346.753225055544,71609.35984021363,7195.273777116255,97.9381443298969,7424680.344611992,4553741.048207438,
2030,reference_policy,United States,0.99,7273.285692804989,7346.753225055544,71687.37175590236,7273.285692804988,99.0,7560333.319625778,4553741.048207438,
2030,reference_policy,United States,1.0,7346.753225055544,7346.753225055544,71760.83928815296,7346.753225055583,100.00000000000054,7714332.5518359,4553741.04820744,
2030,reference_policy,European Union,0.0,0.0,21133.67279898261,71609.35984021363,11566.445158964403,54.72993392573591,7424680.344611991,4553741.048207438,
2030,reference_policy,European Union,0.75,15850.254599236958,21133.67279898261,71609.35984021364,15850.254599236958,75.0,7460497.14907661,4553741.048207438,
2030,reference_policy,European Union,0.9,19020.30551908435,21133.67279898261,71609.35984021363,19020.305519084337,89.99999999999994,7563871.619803447,4553741.048207439,
2030,reference_policy,European Union,0.95,20076.98915903348,21133.67279898261,71609.35984021363,20076.98915903345,94.99999999999986,7604823.795231903,4553741.048207438,
2030,reference_policy,European Union,0.99,20922.336070992784,21133.67279898261,71833.74824518299,20922.336070992773,98.99999999999994,7942262.50804314,4553741.048207438,
2030,reference_policy,European Union,1.0,21133.67279898261,21133.67279898261,72045.08497317284,21133.67279898261,100.0,8306755.227606084,4553741.048207439,
2030,current_policy,United States,0.0,0.0,7346.753225055543,71609.35984021363,7195.273777116254,97.9381443298969,7541686.070601147,4553741.048207439,
2030,current_policy,United States,0.75,5510.064918791657,7346.753225055543,71609.35984021363,7195.273777116254,97.9381443298969,7541686.070601147,4553741.048207438,
2030,current_policy,United States,0.9,6612.077902549989,7346.753225055543,71609.35984021363,7195.273777116255,97.93814432989691,7541686.070601147,4553741.048207438,
2030,current_policy,United States,0.95,6979.415563802766,7346.753225055543,71609.35984021363,7195.273777116255,97.93814432989691,7541686.070601147,4553741.048207438,
2030,current_policy,United States,0.99,7273.285692804988,7346.753225055543,71687.37175590236,7273.285692804988,99.0,7677339.045614932,4553741.048207438,
2030,current_policy,United States,1.0,7346.753225055543,7346.753225055543,71760.83928815293,7346.753225055543,100.0,7831338.277825048,4553741.048207438,
2030,current_policy,European Union,0.0,0.0,21133.67279898261,71609.35984021363,6862.391314594126,32.47136160319699,7541686.070601147,4553741.048207439,
