year,policy_scenario,target_region,target_share_of_max,scope,technology,recovered_lithium_t,technology_share_pct
2030,current_policy,United States,0.95,global,Hydro,71609.35984021364,100.00000000000004
2030,current_policy,United States,0.95,global,Pyro,0.0,0.0
2030,current_policy,United States,0.95,target_region,Direct,0.0,0.0
2030,current_policy,United States,0.95,target_region,Hydro,7195.273777116255,100.0
2030,current_policy,United States,0.95,target_region,Pyro,0.0,0.0
2030,current_policy,United States,0.99,global,Direct,3783.577910903607,5.277886213748779
2030,current_policy,United States,0.99,global,Hydro,67903.79384499876,94.7221137862512
2030,current_policy,United States,0.99,global,Pyro,0.0,0.0
2030,current_policy,United States,0.99,target_region,Direct,3783.577910903607,52.02020202020204
2030,current_policy,United States,0.99,target_region,Hydro,3489.707781901381,47.97979797979796
2030,current_policy,United States,0.99,target_region,Pyro,0.0,0.0
2030,current_policy,United States,1.0,global,Direct,7346.753225055518,10.23783068583536
2030,current_policy,United States,1.0,global,Hydro,64414.086063097406,89.76216931416462
2030,current_policy,United States,1.0,global,Pyro,0.0,0.0
2030,current_policy,United States,1.0,target_region,Direct,7346.753225055518,99.99999999999966
2030,current_policy,United States,1.0,target_region,Hydro,2.490549433353806e-11,3.3900001225847313e-13
2030,current_policy,United States,1.0,target_region,Pyro,0.0,0.0
2030,current_policy,European Union,0.0,global,Direct,0.0,0.0
2030,current_policy,European Union,0.0,global,Hydro,71609.35984021363,100.0
2030,current_policy,European Union,0.0,global,Pyro,0.0,0.0
2030,current_policy,European Union,0.0,target_region,Direct,0.0,0.0
2030,current_policy,European Union,0.0,target_region,Hydro,6862.391314594126,100.0
2030,current_policy,European Union,0.0,target_region,Pyro,0.0,0.0
2030,current_policy,European Union,0.75,global,Direct,0.0,0.0
2030,current_policy,European Union,0.75,global,Hydro,71609.35984021363,99.99999999999996
2030,current_policy,European Union,0.75,global,Pyro,0.0,0.0
2030,current_policy,European Union,0.75,target_region,Direct,0.0,0.0
2030,current_policy,European Union,0.75,target_region,Hydro,15850.254599236958,100.0
2030,current_policy,European Union,0.75,target_region,Pyro,0.0,0.0
