,country,total_costs,scrap_sum,unit_cost
0,Australia,36052839.54629672,539.3653569847063,66.84307599555193
1,Belgium,76751095.70178887,3037.8930969081794,25.264580830675847
2,Brazil,41051038.37884709,470.41585605813714,87.26542239208393
3,Canada,77107787.58140497,3505.7381588067774,21.994736654162896
4,Czechia,19933331.15428016,91.89390260039775,216.916798505779
5,Finland,49924789.11563893,1062.9731617768803,46.967121006314
6,France,135638697.99260935,12176.170837676873,11.139684207854646
7,Germany,173699188.00813296,22022.97801010113,7.887179832285331
8,Hungary,12179627.334053732,25.55832178707866,476.54253027721484
9,India,32503751.591680028,356.5668166026719,91.1575336745356
10,Italy,94570378.55376261,4597.706364323373,20.56903400521538
11,Japan,76021988.89915267,3420.554434922119,22.225048700586918
12,Korea,140830604.73794436,31292.267685980496,4.500492139182327
13,Netherlands,99971954.10282573,6069.47176797184,16.471277555053547
14,Norway,95801433.32491767,6581.497549666877,14.556175490753875
15,Poland,44790948.296043515,684.1872833731162,65.46591757043389
16,Romania,14727170.680891473,40.762677665846695,361.29056097879305
17,Russian Federation,55018680.93131754,1603.6468446163167,34.3084770291062
18,Serbia,15467378.006526958,63.160517852614134,244.88998083613373
19,Slovakia,20252098.35849936,93.81846142075773,215.86474614705733
20,Spain,77723431.87286273,2961.4134426699666,26.245383624242763
21,Sweden,97706044.4422723,5683.02634317722,17.192608047571994
22,Switzerland,55628947.76587874,1596.1952306055778,34.85096728723701
23,Thailand,56772660.23731595,1689.1670218872655,33.609855924066785
24,Turkey,64568763.70430271,2364.6256636009093,27.306124896731365
25,USA,172949221.50313005,41263.71066494052,4.191315291721338
26,United Kingdom,112040162.7918339,8948.910236445021,12.519978391954703
27,Viet Nam,69840850.22286537,3000.0,23.28028340762179
