,country,type,recycling_m,scrap_sum,unit_cost,net_profit
0,India,LFP,Direct,4.573100127476661,137.87809806009682,-134.6574638634081
1,India,LFP,Hydro,4.573100127476661,487.1120987392795,-485.60323464109877
2,India,LFP,Pyro,4.573100127476661,502.69241309585004,-501.97975705008935
3,India,NMC111,Direct,522.7744637022253,15.469298415442134,-10.19735711518144
4,India,NMC111,Hydro,522.7744637022253,20.844102610223764,-12.808212772193068
5,India,NMC111,Pyro,522.7744637022253,27.237530576051743,-22.75414155220305
6,India,NMC622,Direct,155.13124430384812,27.10308786534026,-18.584898136726565
7,India,NMC622,Hydro,155.13124430384812,46.75725165057148,-38.85286378201399
8,India,NMC622,Pyro,155.13124430384812,57.51137792038181,-52.99506346189312
9,India,NMC811,Direct,58.50776800315114,42.510931382483136,-32.25602881997444
10,India,NMC811,Hydro,58.50776800315114,89.42694451200305,-81.73072716688556
11,India,NMC811,Pyro,58.50776800315114,104.78038448996692,-100.30621528745722
12,India,NMC523,Direct,410.9758769384214,17.286501737676968,-17.240356633688272
13,India,NMC523,Hydro,410.9758769384214,24.461029967441412,-17.00658070597912
14,India,NMC523,Pyro,410.9758769384214,31.583072317459596,-27.450444487496902
15,India,NCA,Direct,1044.6043635275494,11.238174568139565,-0.7559645750558676
16,India,NCA,Hydro,1044.6043635275494,13.154013814660093,-4.772736420831396
17,India,NCA,Pyro,1044.6043635275494,17.79168709481824,-12.825601017645544
18,Japan,LFP,Direct,4.126431437547286,221.93930519130132,-218.6582841467738
19,Japan,LFP,Hydro,4.126431437547286,1051.9668067913303,-1050.3947926270516
20,Japan,LFP,Pyro,4.126431437547286,987.9594678715496,-987.1850177362608
21,Japan,NMC111,Direct,912.4903040450946,11.288754976886587,-5.957007899285545
22,Japan,NMC111,Hydro,912.4903040450946,13.798570057066977,-5.702601946543015
23,Japan,NMC111,Pyro,912.4903040450946,18.475609844203895,-13.93072861105039
24,Japan,NMC622,Direct,227.7380931624882,24.278268395700795,-15.700123266588275
25,Japan,NMC622,Hydro,227.7380931624882,42.046042002010324,-34.08143045195451
26,Japan,NMC622,Pyro,227.7380931624882,51.39140547330203,-46.81375485676808
27,Japan,NMC811,Direct,67.67268705156738,47.4226154186477,-37.10760259269262
28,Japan,NMC811,Hydro,67.67268705156738,111.37600126694387,-103.61941447941359
29,Japan,NMC811,Pyro,67.67268705156738,125.69999514440256,-121.16463936889694
30,Japan,NMC523,Direct,666.9325353720207,13.420245909426358,-13.314178184395216
31,Japan,NMC523,Hydro,666.9325353720207,17.747018795975112,-10.232383796971364
32,Japan,NMC523,Pyro,666.9325353720207,23.278030362722888,-19.084013812894216
33,Japan,NCA,Direct,1541.5943838534008,8.452724371111156,2.0894911572407437
34,Japan,NCA,Hydro,1541.5943838534008,9.057629884139477,-0.6159602254517792
35,Japan,NCA,Pyro,1541.5943838534008,12.55279230447085,-7.525479907293991
36,Korea,LFP,Direct,19.378306691447175,95.3981529213733,-92.18713618728702
