,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Pyro,0.0,baseline,baseline
1,Afghanistan,NCA,Pyro,-309322.56266008643,baseline,baseline
2,Afghanistan,NMC111,Pyro,0.0,baseline,baseline
3,Afghanistan,NMC523,Pyro,-843448.2213497243,baseline,baseline
4,Afghanistan,NMC622,Pyro,0.0,baseline,baseline
5,Afghanistan,NMC811,Pyro,0.0,baseline,baseline
6,Albania,LFP,Pyro,-219.35295683374528,baseline,baseline
7,Albania,NCA,Pyro,-0.8495082617015774,baseline,baseline
8,Albania,NMC111,Pyro,-3.7214818516645733,baseline,baseline
9,Albania,NMC523,Pyro,-3.5089878947909825,baseline,baseline
10,Albania,NMC622,Pyro,-7.190068787116635,baseline,baseline
11,Albania,NMC811,Pyro,-11.127479965312022,baseline,baseline
12,Algeria,LFP,Pyro,0.0,baseline,baseline
13,Algeria,NCA,Pyro,-14.491306541620885,baseline,baseline
14,Algeria,NMC111,Pyro,-42.713183635503505,baseline,baseline
15,Algeria,NMC523,Pyro,-37.10452003330977,baseline,baseline
16,Algeria,NMC622,Pyro,-60.5624728350372,baseline,baseline
17,Algeria,NMC811,Pyro,-71.03087274754753,baseline,baseline
18,Andorra,LFP,Pyro,0.0,baseline,baseline
19,Andorra,NCA,Pyro,-524.7785162565818,baseline,baseline
20,Andorra,NMC111,Pyro,-1198.881767475617,baseline,baseline
21,Andorra,NMC523,Pyro,-1063.70796442104,baseline,baseline
22,Andorra,NMC622,Pyro,-1630.7559100715198,baseline,baseline
23,Andorra,NMC811,Pyro,-1875.2695660899606,baseline,baseline
24,Angola,LFP,Pyro,0.0,baseline,baseline
25,Angola,NCA,Pyro,-27.954637005495684,baseline,baseline
26,Angola,NMC111,Pyro,-75.56739919149864,baseline,baseline
27,Angola,NMC523,Pyro,-65.58077282127765,baseline,baseline
28,Angola,NMC622,Pyro,-105.40017788817181,baseline,baseline
29,Angola,NMC811,Pyro,-122.98017123930832,baseline,baseline
30,Argentina,LFP,Pyro,0.0,baseline,baseline
31,Argentina,NCA,Pyro,-2.22238832523512,baseline,baseline
32,Argentina,NMC111,Pyro,-13.295689304707285,baseline,baseline
33,Argentina,NMC523,Pyro,-11.340422825921506,baseline,baseline
34,Argentina,NMC622,Pyro,-20.104577969324435,baseline,baseline
35,Argentina,NMC811,Pyro,-24.157571261441475,baseline,baseline
36,Armenia,LFP,Pyro,0.0,baseline,baseline
37,Armenia,NCA,Pyro,-1936.3246587688307,baseline,baseline
38,Armenia,NMC111,Pyro,-3478.9904515972053,baseline,baseline
39,Armenia,NMC523,Pyro,-3808.219127895462,baseline,baseline
40,Armenia,NMC622,Pyro,-6316.728039444742,baseline,baseline
41,Armenia,NMC811,Pyro,-9942.746849326255,baseline,baseline
42,Aruba,LFP,Pyro,0.0,baseline,baseline
43,Aruba,NCA,Pyro,-3735.103725647394,baseline,baseline
44,Aruba,NMC111,Pyro,-5870.143382990743,baseline,baseline
45,Aruba,NMC523,Pyro,-7129.337743185384,baseline,baseline
46,Aruba,NMC622,Pyro,-13282.831719911932,baseline,baseline
47,Aruba,NMC811,Pyro,-18260.538588295316,baseline,baseline
48,Australia,LFP,Pyro,0.0,baseline,baseline
49,Australia,NCA,Pyro,2.5795919219874155,baseline,baseline
50,Australia,NMC111,Pyro,-0.9256771784281392,baseline,baseline
51,Australia,NMC523,Pyro,-0.6265159429107221,baseline,baseline
52,Australia,NMC622,Pyro,-2.7142478136505988,baseline,baseline
53,Australia,NMC811,Pyro,-3.8076289368816933,baseline,baseline
54,Austria,LFP,Pyro,-196.77629544458443,baseline,baseline
55,Austria,NCA,Pyro,-1.201220644125396,baseline,baseline
56,Austria,NMC111,Pyro,-4.122004108381677,baseline,baseline
57,Austria,NMC523,Pyro,-3.90323335456484,baseline,baseline
58,Austria,NMC622,Pyro,-7.657891848696507,baseline,baseline
59,Austria,NMC811,Pyro,-11.643036434793537,baseline,baseline
60,Azerbaijan,LFP,Pyro,0.0,baseline,baseline
61,Azerbaijan,NCA,Pyro,-0.2042588177671929,baseline,baseline
62,Azerbaijan,NMC111,Pyro,-7.543118884698083,baseline,baseline
63,Azerbaijan,NMC523,Pyro,-6.405568954455715,baseline,baseline
64,Azerbaijan,NMC622,Pyro,-11.695182847112086,baseline,baseline
65,Azerbaijan,NMC811,Pyro,-14.16612891435846,baseline,baseline
66,Bahamas,LFP,Pyro,0.0,baseline,baseline
67,Bahamas,NCA,Pyro,-32756.130744621263,baseline,baseline
68,Bahamas,NMC111,Pyro,0.0,baseline,baseline
69,Bahamas,NMC523,Pyro,-71500.6028712665,baseline,baseline
70,Bahamas,NMC622,Pyro,0.0,baseline,baseline
71,Bahamas,NMC811,Pyro,0.0,baseline,baseline
72,Bahrain,LFP,Pyro,0.0,baseline,baseline
73,Bahrain,NCA,Pyro,-2202.879237932301,baseline,baseline
74,Bahrain,NMC111,Pyro,-2937.1144830802505,baseline,baseline
75,Bahrain,NMC523,Pyro,-3927.395677083542,baseline,baseline
76,Bahrain,NMC622,Pyro,-7698.945367467865,baseline,baseline
77,Bahrain,NMC811,Pyro,-29255.631611895802,baseline,baseline
78,Bangladesh,LFP,Pyro,0.0,baseline,baseline
79,Bangladesh,NCA,Pyro,-5463.150988302578,baseline,baseline
80,Bangladesh,NMC111,Pyro,-16962.623796288502,baseline,baseline
81,Bangladesh,NMC523,Pyro,-15330.806715184466,baseline,baseline
82,Bangladesh,NMC622,Pyro,-28395.334940163135,baseline,baseline
83,Bangladesh,NMC811,Pyro,-34602.496711488966,baseline,baseline
84,Barbados,LFP,Pyro,0.0,baseline,baseline
85,Barbados,NCA,Pyro,-9177.760400710675,baseline,baseline
86,Barbados,NMC111,Pyro,-22669.73044630888,baseline,baseline
87,Barbados,NMC523,Pyro,-19671.37733061278,baseline,baseline
88,Barbados,NMC622,Pyro,-31248.862882874084,baseline,baseline
89,Barbados,NMC811,Pyro,-37226.214992541616,baseline,baseline
90,Belarus,LFP,Pyro,0.0,baseline,baseline
91,Belarus,NCA,Pyro,2.0068652904741175,baseline,baseline
92,Belarus,NMC111,Pyro,-2.7162842059834897,baseline,baseline
93,Belarus,NMC523,Pyro,-2.1337334957130905,baseline,baseline
94,Belarus,NMC622,Pyro,-5.335308147421116,baseline,baseline
95,Belarus,NMC811,Pyro,-6.931946797600104,baseline,baseline
96,Belgium,LFP,Pyro,-165.56110536704375,baseline,baseline
97,Belgium,NCA,Pyro,-0.4300325500829231,baseline,baseline
98,Belgium,NMC111,Pyro,-3.0079851864106923,baseline,baseline
99,Belgium,NMC523,Pyro,-2.8703630900542296,baseline,baseline
100,Belgium,NMC622,Pyro,-6.036846025645538,baseline,baseline
101,Belgium,NMC811,Pyro,-9.450054119839802,baseline,baseline
102,Benin,LFP,Pyro,0.0,baseline,baseline
103,Benin,NCA,Pyro,3.810270218714708,baseline,baseline
104,Benin,NMC111,Pyro,1.5807660156407337,baseline,baseline
105,Benin,NMC523,Pyro,1.61616211839269,baseline,baseline
106,Benin,NMC622,Pyro,0.5134148343819271,baseline,baseline
107,Benin,NMC811,Pyro,-0.17564353035775682,baseline,baseline
108,Bermuda,LFP,Pyro,0.0,baseline,baseline
109,Bermuda,NCA,Pyro,-3604.1521295040898,baseline,baseline
110,Bermuda,NMC111,Pyro,-4833.365117862024,baseline,baseline
111,Bermuda,NMC523,Pyro,-6194.8028602035065,baseline,baseline
112,Bermuda,NMC622,Pyro,-12701.593561397587,baseline,baseline
113,Bermuda,NMC811,Pyro,-44040.35922143109,baseline,baseline
114,Bolivia (Plurinational State of),LFP,Pyro,0.0,baseline,baseline
115,Bolivia (Plurinational State of),NCA,Pyro,0.19133234622408235,baseline,baseline
116,Bolivia (Plurinational State of),NMC111,Pyro,-7.40065442081015,baseline,baseline
117,Bolivia (Plurinational State of),NMC523,Pyro,-6.172055610067282,baseline,baseline
118,Bolivia (Plurinational State of),NMC622,Pyro,-11.890356930520813,baseline,baseline
119,Bolivia (Plurinational State of),NMC811,Pyro,-14.601919319915638,baseline,baseline
120,Bosnia Herzegovina,LFP,Pyro,0.0,baseline,baseline
121,Bosnia Herzegovina,NCA,Pyro,-14.487525994607731,baseline,baseline
122,Bosnia Herzegovina,NMC111,Pyro,-40.180476154550945,baseline,baseline
123,Bosnia Herzegovina,NMC523,Pyro,-35.07772636262628,baseline,baseline
124,Bosnia Herzegovina,NMC622,Pyro,-55.47038988399552,baseline,baseline
125,Bosnia Herzegovina,NMC811,Pyro,-64.38568291679495,baseline,baseline
126,Botswana,LFP,Pyro,0.0,baseline,baseline
127,Botswana,NCA,Pyro,-27.588617890614444,baseline,baseline
128,Botswana,NMC111,Pyro,-74.70223162119979,baseline,baseline
129,Botswana,NMC523,Pyro,-64.77886004428095,baseline,baseline
130,Botswana,NMC622,Pyro,-104.1363993327005,baseline,baseline
131,Botswana,NMC811,Pyro,-121.50303300031956,baseline,baseline
132,Brazil,LFP,Pyro,0.0,baseline,baseline
133,Brazil,NCA,Pyro,4.997590366379364,baseline,baseline
134,Brazil,NMC111,Pyro,4.466154469303018,baseline,baseline
135,Brazil,NMC523,Pyro,4.1262262596035715,baseline,baseline
136,Brazil,NMC622,Pyro,4.468087076362927,baseline,baseline
137,Brazil,NMC811,Pyro,4.407647793292931,baseline,baseline
138,Brunei Darussalam,LFP,Pyro,0.0,baseline,baseline
139,Brunei Darussalam,NCA,Pyro,-533.2084801917662,baseline,baseline
140,Brunei Darussalam,NMC111,Pyro,-1760.8775600561717,baseline,baseline
141,Brunei Darussalam,NMC523,Pyro,-1464.5042409433004,baseline,baseline
142,Brunei Darussalam,NMC622,Pyro,-2697.8408488873156,baseline,baseline
