,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Angola,26398367.15439954,285.8539938514579,92.3491283040015,baseline,baseline
1,Argentina,65598676.62379124,5985.437582221584,10.959712756614081,baseline,baseline
2,Aruba,6736866.52090024,2.3471210695767644,2870.2680097005136,baseline,baseline
3,Australia,112934485.24716493,28216.517065961896,4.002424713977186,baseline,baseline
4,Belgium,109324617.65862735,19534.511814896698,5.596485783446003,baseline,baseline
5,Benin,7867158.829074458,5.119147021477126,1536.8104873855323,baseline,baseline
6,Bermuda,5906426.384045486,3.3210187609695745,1778.4983491996595,baseline,baseline
7,Bolivia (Plurinational State of),57401631.501250245,3767.007920397444,15.237990658430576,baseline,baseline
8,Botswana,34152373.234957434,671.2323633379567,50.880105162274724,baseline,baseline
9,Brazil,314273962.17520857,1375661.1585388635,0.22845303163826305,baseline,baseline
10,Burkina Faso,47651545.034679316,2029.2973157801916,23.481795725117298,baseline,baseline
11,C?te d'Ivoire,30806130.334889315,476.8959624261257,64.59717163082793,baseline,baseline
12,Cabo Verde,11373177.488473874,17.411279578230083,653.2074473546531,baseline,baseline
13,Cameroon,5576036.18349323,2.2977450812585936,2426.742735290264,baseline,baseline
14,Canada,223210315.96658766,288676.6745979178,0.7732190911423144,baseline,baseline
15,Chile,57862106.69404642,3872.376644684827,14.942272408720155,baseline,baseline
16,China,122800129.08940458,7875668.815715306,0.015592342944178422,baseline,baseline
17,Colombia,66641296.52586691,6324.086505005249,10.537695281859778,baseline,baseline
18,Congo,7062532.33406945,3.8770266600063854,1821.6362572182618,baseline,baseline
19,Costa Rica,47618352.52819807,1969.5779474412202,24.176932215382244,baseline,baseline
20,Czechia,51073526.953568086,2170.5013127662987,23.5307514688738,baseline,baseline
21,Dominican Rep.,59133792.85469635,4176.042286565695,14.160247621277552,baseline,baseline
22,Ecuador,51504700.04936417,2585.663130296919,19.919338851944623,baseline,baseline
23,El Salvador,10878288.941224966,12.377252049148632,878.8937074262157,baseline,baseline
24,Eswatini,13856098.238830242,33.54935459195045,413.00640227978516,baseline,baseline
25,Finland,101960087.51486908,15193.509189364097,6.710766172849926,baseline,baseline
26,France,268293488.20049518,219220.63258939626,1.2238514460589718,baseline,baseline
27,Germany,277004252.73146,238327.53621278162,1.1622838767743033,baseline,baseline
28,Ghana,12319653.237491447,28.71059332006226,429.09782811359656,baseline,baseline
29,Grenada,23510131.63057779,170.0300243480906,138.27047146948084,baseline,baseline
30,Guatemala,68413543.87559605,6924.8726976434245,9.879393725010654,baseline,baseline
31,Guinea,8663842.226578232,7.29756246247303,1187.2241273892696,baseline,baseline
32,Guyana,59171400.14123659,4185.087694037752,14.138628498880584,baseline,baseline
33,Honduras,36125452.915078565,755.1812526846504,47.836797837146364,baseline,baseline
34,Hungary,214370641.48043248,146867.68980220731,1.4596174404944622,baseline,baseline
35,India,82113529.97409822,333612.77346214367,0.2461342505622494,baseline,baseline
36,Italy,238002623.7612403,174308.316827255,1.3654117490969082,baseline,baseline
37,Jamaica,8860680.6353122,6.732130389674655,1316.1778103558702,baseline,baseline
38,Japan,160837470.88179454,492559.74323760695,0.32653393439058986,baseline,baseline
39,Korea,218092359.18536824,3083724.427213666,0.07072368635171077,baseline,baseline
40,Lesotho,30494239.595127948,460.7874533381943,66.17853714160645,baseline,baseline
41,Mali,25563016.38011447,256.48406880815315,99.66707288644615,baseline,baseline
42,Mexico,89265534.67193705,17435.714715211696,5.1196946113174135,baseline,baseline
43,Mozambique,22814480.066854298,203.28575617114922,112.22862091550802,baseline,baseline
44,Namibia,44441577.19188814,1609.8263204961345,27.606442152214054,baseline,baseline
45,Netherlands,166084640.16590753,58219.67352053097,2.8527236606254474,baseline,baseline
46,Nicaragua,49864547.34089662,2310.9631271041167,21.577387694360237,baseline,baseline
47,Niger,39136350.17109549,1055.3874839252878,37.08244674793396,baseline,baseline
