From Region,To Region,Amount Transported,Remaining Storage
Australia,Korea,1.3219999999999652,88.20019971725476
Belgium,Japan,3.4629999999997296,17.387165605173326
Brazil,Sweden,11.550999999999037,0.00017638292396371467
Canada,Korea,1.2489999999999732,88.40819971725465
Czechia,Hungary,1.7429999999999188,6.327367175840521
Finland,Sweden,0.5300000000000004,11.297176382922327
France,Korea,14.16299999999759,42.486199717298526
Germany,Korea,13.67399999999786,43.59119971729595
Italy,Hungary,8.050000000000978,0.00036717584108581034
Italy,Japan,6.208000000000408,11.1791656051758
Netherlands,Korea,2.3029999999998574,81.58819971725262
Poland,Korea,3.060999999999774,77.27519971724735
Romania,Sweden,0.8030000000000006,10.706176382922392
Slovakia,Korea,0.9480000000000007,91.86319971725273
Spain,Japan,3.4449999999997316,17.519165605173374
Turkey,Hungary,1.2209999999999763,7.356367175840712
USA,Korea,14.014999999997672,42.800199717297794
United Kingdom,Korea,3.813999999999691,73.10019971724225
Viet Nam,Korea,3.82099999999969,72.8201997172419
