,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
117,Bolivia (Plurinational State of),NMC523,,0.0,high_collection,baseline
118,Bolivia (Plurinational State of),NMC622,,0.0,high_collection,baseline
119,Bolivia (Plurinational State of),NMC811,,0.0,high_collection,baseline
120,Bosnia Herzegovina,LFP,,0.0,high_collection,baseline
121,Bosnia Herzegovina,NCA,,0.0,high_collection,baseline
122,Bosnia Herzegovina,NMC111,,0.0,high_collection,baseline
123,Bosnia Herzegovina,NMC523,,0.0,high_collection,baseline
124,Bosnia Herzegovina,NMC622,,0.0,high_collection,baseline
125,Bosnia Herzegovina,NMC811,,0.0,high_collection,baseline
126,Botswana,LFP,,0.0,high_collection,baseline
127,Botswana,NCA,,0.0,high_collection,baseline
128,Botswana,NMC111,,0.0,high_collection,baseline
129,Botswana,NMC523,,0.0,high_collection,baseline
130,Botswana,NMC622,,0.0,high_collection,baseline
131,Botswana,NMC811,,0.0,high_collection,baseline
132,Brazil,LFP,Direct,0.0,high_collection,baseline
133,Brazil,NCA,Direct,9.481295815995578,high_collection,baseline
134,Brazil,NMC111,Hydro,7.028707013768864,high_collection,baseline
135,Brazil,NMC523,Hydro,6.599572391322264,high_collection,baseline
136,Brazil,NMC622,Hydro,6.453023505552809,high_collection,baseline
137,Brazil,NMC811,Direct,7.411927797978638,high_collection,baseline
138,Brunei Darussalam,LFP,,0.0,high_collection,baseline
139,Brunei Darussalam,NCA,,0.0,high_collection,baseline
140,Brunei Darussalam,NMC111,,0.0,high_collection,baseline
141,Brunei Darussalam,NMC523,,0.0,high_collection,baseline
142,Brunei Darussalam,NMC622,,0.0,high_collection,baseline
143,Brunei Darussalam,NMC811,,0.0,high_collection,baseline
144,Bulgaria,LFP,,0.0,high_collection,baseline
145,Bulgaria,NCA,,0.0,high_collection,baseline
146,Bulgaria,NMC111,,0.0,high_collection,baseline
147,Bulgaria,NMC523,,0.0,high_collection,baseline
148,Bulgaria,NMC622,,0.0,high_collection,baseline
149,Bulgaria,NMC811,,0.0,high_collection,baseline
150,Burkina Faso,LFP,,0.0,high_collection,baseline
151,Burkina Faso,NCA,,0.0,high_collection,baseline
152,Burkina Faso,NMC111,,0.0,high_collection,baseline
153,Burkina Faso,NMC523,,0.0,high_collection,baseline
154,Burkina Faso,NMC622,,0.0,high_collection,baseline
155,Burkina Faso,NMC811,,0.0,high_collection,baseline
156,Burundi,LFP,,0.0,high_collection,baseline
157,Burundi,NCA,,0.0,high_collection,baseline
158,Burundi,NMC111,,0.0,high_collection,baseline
159,Burundi,NMC523,,0.0,high_collection,baseline
160,Burundi,NMC622,,0.0,high_collection,baseline
161,Burundi,NMC811,,0.0,high_collection,baseline
162,C?te d'Ivoire,LFP,,0.0,high_collection,baseline
163,C?te d'Ivoire,NCA,,0.0,high_collection,baseline
164,C?te d'Ivoire,NMC111,,0.0,high_collection,baseline
165,C?te d'Ivoire,NMC523,,0.0,high_collection,baseline
166,C?te d'Ivoire,NMC622,,0.0,high_collection,baseline
167,C?te d'Ivoire,NMC811,,0.0,high_collection,baseline
168,Cabo Verde,LFP,,0.0,high_collection,baseline
169,Cabo Verde,NCA,,0.0,high_collection,baseline
170,Cabo Verde,NMC111,,0.0,high_collection,baseline
171,Cabo Verde,NMC523,,0.0,high_collection,baseline
172,Cabo Verde,NMC622,,0.0,high_collection,baseline
173,Cabo Verde,NMC811,,0.0,high_collection,baseline
174,Cambodia,LFP,,0.0,high_collection,baseline
175,Cambodia,NCA,,0.0,high_collection,baseline
176,Cambodia,NMC111,,0.0,high_collection,baseline
177,Cambodia,NMC523,,0.0,high_collection,baseline
178,Cambodia,NMC622,,0.0,high_collection,baseline
179,Cambodia,NMC811,,0.0,high_collection,baseline
180,Cameroon,LFP,,0.0,high_collection,baseline
181,Cameroon,NCA,,0.0,high_collection,baseline
182,Cameroon,NMC111,,0.0,high_collection,baseline
183,Cameroon,NMC523,,0.0,high_collection,baseline
184,Cameroon,NMC622,,0.0,high_collection,baseline
185,Cameroon,NMC811,,0.0,high_collection,baseline
186,Canada,LFP,Direct,0.0,high_collection,baseline
187,Canada,NCA,Direct,9.90452130147818,high_collection,baseline
188,Canada,NMC111,Hydro,7.597115459995391,high_collection,baseline
189,Canada,NMC523,Hydro,7.0686519201809555,high_collection,baseline
190,Canada,NMC622,Hydro,7.326561384441516,high_collection,baseline
191,Canada,NMC811,Direct,8.845979854302913,high_collection,baseline
192,Cayman Isds,LFP,,0.0,high_collection,baseline
193,Cayman Isds,NCA,,0.0,high_collection,baseline
194,Cayman Isds,NMC111,,0.0,high_collection,baseline
195,Cayman Isds,NMC523,,0.0,high_collection,baseline
196,Cayman Isds,NMC622,,0.0,high_collection,baseline
197,Cayman Isds,NMC811,,0.0,high_collection,baseline
198,Chile,LFP,,0.0,high_collection,baseline
199,Chile,NCA,,0.0,high_collection,baseline
200,Chile,NMC111,,0.0,high_collection,baseline
201,Chile,NMC523,,0.0,high_collection,baseline
202,Chile,NMC622,,0.0,high_collection,baseline
203,Chile,NMC811,,0.0,high_collection,baseline
204,China,LFP,Direct,3.09963493701716,high_collection,baseline
205,China,NCA,Direct,10.36482896285193,high_collection,baseline
206,China,NMC111,Hydro,7.926689321896524,high_collection,baseline
207,China,NMC523,Hydro,7.345645632345454,high_collection,baseline
208,China,NMC622,Direct,8.391552642278338,high_collection,baseline
209,China,NMC811,Direct,10.123007674810228,high_collection,baseline
210,Colombia,LFP,,0.0,high_collection,baseline
211,Colombia,NCA,,0.0,high_collection,baseline
212,Colombia,NMC111,,0.0,high_collection,baseline
213,Colombia,NMC523,,0.0,high_collection,baseline
214,Colombia,NMC622,,0.0,high_collection,baseline
215,Colombia,NMC811,,0.0,high_collection,baseline
216,Comoros,LFP,,0.0,high_collection,baseline
217,Comoros,NCA,,0.0,high_collection,baseline
218,Comoros,NMC111,,0.0,high_collection,baseline
219,Comoros,NMC523,,0.0,high_collection,baseline
220,Comoros,NMC622,,0.0,high_collection,baseline
221,Comoros,NMC811,,0.0,high_collection,baseline
222,Congo,LFP,,0.0,high_collection,baseline
223,Congo,NCA,,0.0,high_collection,baseline
224,Congo,NMC111,,0.0,high_collection,baseline
225,Congo,NMC523,,0.0,high_collection,baseline
226,Congo,NMC622,,0.0,high_collection,baseline
227,Congo,NMC811,,0.0,high_collection,baseline
228,Costa Rica,LFP,,0.0,high_collection,baseline
229,Costa Rica,NCA,,0.0,high_collection,baseline
230,Costa Rica,NMC111,,0.0,high_collection,baseline
231,Costa Rica,NMC523,,0.0,high_collection,baseline
232,Costa Rica,NMC622,,0.0,high_collection,baseline
233,Costa Rica,NMC811,,0.0,high_collection,baseline
234,Croatia,LFP,,0.0,high_collection,baseline
235,Croatia,NCA,,0.0,high_collection,baseline
236,Croatia,NMC111,,0.0,high_collection,baseline
237,Croatia,NMC523,,0.0,high_collection,baseline
238,Croatia,NMC622,,0.0,high_collection,baseline
239,Croatia,NMC811,,0.0,high_collection,baseline
240,Cyprus,LFP,,0.0,high_collection,baseline
241,Cyprus,NCA,,0.0,high_collection,baseline
242,Cyprus,NMC111,,0.0,high_collection,baseline
243,Cyprus,NMC523,,0.0,high_collection,baseline
244,Cyprus,NMC622,,0.0,high_collection,baseline
245,Cyprus,NMC811,,0.0,high_collection,baseline
246,Czechia,LFP,Direct,-60.36518065539415,high_collection,baseline
247,Czechia,NCA,Direct,6.203258525764237,high_collection,baseline
248,Czechia,NMC111,Hydro,3.335623753448726,high_collection,baseline
249,Czechia,NMC523,Hydro,3.098585342920539,high_collection,baseline
250,Czechia,NMC622,Direct,1.342065795132473,high_collection,baseline
251,Czechia,NMC811,Direct,1.3752607005196995,high_collection,baseline
252,Denmark,LFP,,0.0,high_collection,baseline
253,Denmark,NCA,,0.0,high_collection,baseline
254,Denmark,NMC111,,0.0,high_collection,baseline
255,Denmark,NMC523,,0.0,high_collection,baseline
256,Denmark,NMC622,,0.0,high_collection,baseline
257,Denmark,NMC811,,0.0,high_collection,baseline
258,Dominican Rep.,LFP,,0.0,high_collection,baseline
259,Dominican Rep.,NCA,,0.0,high_collection,baseline
260,Dominican Rep.,NMC111,,0.0,high_collection,baseline
261,Dominican Rep.,NMC523,,0.0,high_collection,baseline
262,Dominican Rep.,NMC622,,0.0,high_collection,baseline
263,Dominican Rep.,NMC811,,0.0,high_collection,baseline
264,Ecuador,LFP,,0.0,high_collection,baseline
265,Ecuador,NCA,,0.0,high_collection,baseline
266,Ecuador,NMC111,,0.0,high_collection,baseline
267,Ecuador,NMC523,,0.0,high_collection,baseline
268,Ecuador,NMC622,,0.0,high_collection,baseline
269,Ecuador,NMC811,,0.0,high_collection,baseline
270,Egypt,LFP,,0.0,high_collection,baseline
271,Egypt,NCA,,0.0,high_collection,baseline
272,Egypt,NMC111,,0.0,high_collection,baseline
273,Egypt,NMC523,,0.0,high_collection,baseline
274,Egypt,NMC622,,0.0,high_collection,baseline
275,Egypt,NMC811,,0.0,high_collection,baseline
276,El Salvador,LFP,,0.0,high_collection,baseline
277,El Salvador,NCA,,0.0,high_collection,baseline
278,El Salvador,NMC111,,0.0,high_collection,baseline
279,El Salvador,NMC523,,0.0,high_collection,baseline
280,El Salvador,NMC622,,0.0,high_collection,baseline
281,El Salvador,NMC811,,0.0,high_collection,baseline
282,Estonia,LFP,,0.0,high_collection,baseline
283,Estonia,NCA,,0.0,high_collection,baseline
284,Estonia,NMC111,,0.0,high_collection,baseline
285,Estonia,NMC523,,0.0,high_collection,baseline
286,Estonia,NMC622,,0.0,high_collection,baseline
287,Estonia,NMC811,,0.0,high_collection,baseline
288,Eswatini,LFP,,0.0,high_collection,baseline
289,Eswatini,NCA,,0.0,high_collection,baseline
290,Eswatini,NMC111,,0.0,high_collection,baseline
291,Eswatini,NMC523,,0.0,high_collection,baseline
292,Eswatini,NMC622,,0.0,high_collection,baseline
293,Eswatini,NMC811,,0.0,high_collection,baseline
294,Ethiopia,LFP,,0.0,high_collection,baseline
295,Ethiopia,NCA,,0.0,high_collection,baseline
296,Ethiopia,NMC111,,0.0,high_collection,baseline
297,Ethiopia,NMC523,,0.0,high_collection,baseline
298,Ethiopia,NMC622,,0.0,high_collection,baseline
299,Ethiopia,NMC811,,0.0,high_collection,baseline
300,Fiji,LFP,,0.0,high_collection,baseline
301,Fiji,NCA,,0.0,high_collection,baseline
302,Fiji,NMC111,,0.0,high_collection,baseline
303,Fiji,NMC523,,0.0,high_collection,baseline
304,Fiji,NMC622,,0.0,high_collection,baseline
305,Fiji,NMC811,,0.0,high_collection,baseline
