,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Pyro,0.0,high_collection,baseline
1,Afghanistan,NCA,Pyro,-158981.43225116289,high_collection,baseline
2,Afghanistan,NMC111,Pyro,-522506.85345217487,high_collection,baseline
3,Afghanistan,NMC523,Pyro,-433508.7501787555,high_collection,baseline
4,Afghanistan,NMC622,Pyro,-797154.261152507,high_collection,baseline
5,Afghanistan,NMC811,Pyro,0.0,high_collection,baseline
6,Albania,LFP,Pyro,-177.30249381655207,high_collection,baseline
7,Albania,NCA,Pyro,0.18787762938444663,high_collection,baseline
8,Albania,NMC111,Pyro,-2.2605510850125565,high_collection,baseline
9,Albania,NMC523,Pyro,-2.147953909579068,high_collection,baseline
10,Albania,NMC622,Pyro,-5.109091973465681,high_collection,baseline
11,Albania,NMC811,Pyro,-8.356704712966591,high_collection,baseline
12,Algeria,LFP,Pyro,0.0,high_collection,baseline
13,Algeria,NCA,Pyro,-7.686736305994206,high_collection,baseline
14,Algeria,NMC111,Pyro,-26.258928906359696,high_collection,baseline
15,Algeria,NMC523,Pyro,-22.701391427135725,high_collection,baseline
16,Algeria,NMC622,Pyro,-37.84167546211039,high_collection,baseline
17,Algeria,NMC811,Pyro,-44.66915001353279,high_collection,baseline
18,Andorra,LFP,Pyro,0.0,high_collection,baseline
19,Andorra,NCA,Pyro,-381.1225188903684,high_collection,baseline
20,Andorra,NMC111,Pyro,-873.7670450921875,high_collection,baseline
21,Andorra,NMC523,Pyro,-773.3134160731379,high_collection,baseline
22,Andorra,NMC622,Pyro,-1186.0781502531743,high_collection,baseline
23,Andorra,NMC811,Pyro,-1364.2673947001633,high_collection,baseline
24,Angola,LFP,Pyro,0.0,high_collection,baseline
25,Angola,NCA,Pyro,-16.511031819437633,high_collection,baseline
26,Angola,NMC111,Pyro,-47.78476907814838,high_collection,baseline
27,Angola,NMC523,Pyro,-41.362860022184876,high_collection,baseline
28,Angola,NMC622,Pyro,-67.22762332063677,high_collection,baseline
29,Angola,NMC811,Pyro,-78.72377081587427,high_collection,baseline
30,Argentina,LFP,Pyro,0.0,high_collection,baseline
31,Argentina,NCA,Pyro,0.17943176068194852,high_collection,baseline
32,Argentina,NMC111,Pyro,-7.3940026616403705,high_collection,baseline
33,Argentina,NMC523,Pyro,-6.186213529738275,high_collection,baseline
34,Argentina,NMC622,Pyro,-11.91239735678252,high_collection,baseline
35,Argentina,NMC811,Pyro,-14.632496179468765,high_collection,baseline
36,Armenia,LFP,Pyro,0.0,high_collection,baseline
37,Armenia,NCA,Pyro,-1287.6063054292138,high_collection,baseline
38,Armenia,NMC111,Pyro,-2440.6885859280123,high_collection,baseline
39,Armenia,NMC523,Pyro,-2512.295521940117,high_collection,baseline
40,Armenia,NMC622,Pyro,-4108.441169631413,high_collection,baseline
41,Armenia,NMC811,Pyro,-6166.25792299725,high_collection,baseline
42,Aruba,LFP,Pyro,0.0,high_collection,baseline
43,Aruba,NCA,Pyro,-2353.458863749285,high_collection,baseline
44,Aruba,NMC111,Pyro,-3986.535932229236,high_collection,baseline
45,Aruba,NMC523,Pyro,-4530.406335684204,high_collection,baseline
46,Aruba,NMC622,Pyro,-8115.531009562419,high_collection,baseline
47,Aruba,NMC811,Pyro,-10650.796698968043,high_collection,baseline
48,Australia,LFP,Pyro,0.0,high_collection,baseline
49,Australia,NCA,Pyro,2.7556688642202314,high_collection,baseline
50,Australia,NMC111,Pyro,-0.5287159854351788,high_collection,baseline
51,Australia,NMC523,Pyro,-0.2770001092752554,high_collection,baseline
52,Australia,NMC622,Pyro,-2.1843024774526274,high_collection,baseline
53,Australia,NMC811,Pyro,-3.201273600998128,high_collection,baseline
54,Austria,LFP,Pyro,-193.4511982990781,high_collection,baseline
55,Austria,NCA,Pyro,-1.0482084804172438,high_collection,baseline
56,Austria,NMC111,Pyro,-3.908949776867592,high_collection,baseline
57,Austria,NMC523,Pyro,-3.7021089118517505,high_collection,baseline
58,Austria,NMC622,Pyro,-7.353156338863736,high_collection,baseline
59,Austria,NMC811,Pyro,-11.242359926665937,high_collection,baseline
60,Azerbaijan,LFP,Pyro,0.0,high_collection,baseline
61,Azerbaijan,NCA,Pyro,2.0558073387566766,high_collection,baseline
62,Azerbaijan,NMC111,Pyro,-2.3232117369174725,high_collection,baseline
63,Azerbaijan,NMC523,Pyro,-1.8280920916339785,high_collection,baseline
64,Azerbaijan,NMC622,Pyro,-4.668395493072578,high_collection,baseline
65,Azerbaijan,NMC811,Pyro,-6.090742394549481,high_collection,baseline
66,Bahamas,LFP,Pyro,0.0,high_collection,baseline
67,Bahamas,NCA,Pyro,-24362.659755354307,high_collection,baseline
68,Bahamas,NMC111,Pyro,-59178.65425370696,high_collection,baseline
69,Bahamas,NMC523,Pyro,-53043.76699009636,high_collection,baseline
70,Bahamas,NMC622,Pyro,0.0,high_collection,baseline
71,Bahamas,NMC811,Pyro,0.0,high_collection,baseline
72,Bahrain,LFP,Pyro,0.0,high_collection,baseline
73,Bahrain,NCA,Pyro,-1526.8085556961287,high_collection,baseline
74,Bahrain,NMC111,Pyro,-2073.6700793526948,high_collection,baseline
75,Bahrain,NMC523,Pyro,-2647.6248543690344,high_collection,baseline
76,Bahrain,NMC622,Pyro,-5109.484920348385,high_collection,baseline
77,Bahrain,NMC811,Pyro,-18506.4101270949,high_collection,baseline
78,Bangladesh,LFP,Pyro,0.0,high_collection,baseline
79,Bangladesh,NCA,Pyro,-3799.65453845549,high_collection,baseline
80,Bangladesh,NMC111,Pyro,-11861.304576428953,high_collection,baseline
81,Bangladesh,NMC523,Pyro,-10634.597758645708,high_collection,baseline
82,Bangladesh,NMC622,Pyro,-19692.546544314933,high_collection,baseline
83,Bangladesh,NMC811,Pyro,-23997.616465013463,high_collection,baseline
84,Barbados,LFP,Pyro,0.0,high_collection,baseline
85,Barbados,NCA,Pyro,-5433.033065824469,high_collection,baseline
86,Barbados,NMC111,Pyro,-13423.196464658795,high_collection,baseline
87,Barbados,NMC523,Pyro,-11647.70992390328,high_collection,baseline
88,Barbados,NMC622,Pyro,-18503.759188955784,high_collection,baseline
89,Barbados,NMC811,Pyro,-21990.99472038023,high_collection,baseline
90,Belarus,LFP,Pyro,0.0,high_collection,baseline
91,Belarus,NCA,Pyro,3.068992424543548,high_collection,baseline
92,Belarus,NMC111,Pyro,-0.16481010471637703,high_collection,baseline
93,Belarus,NMC523,Pyro,0.0900296896915691,high_collection,baseline
94,Belarus,NMC622,Pyro,-1.852211378220578,high_collection,baseline
95,Belarus,NMC811,Pyro,-2.902832701597741,high_collection,baseline
96,Belgium,LFP,Pyro,-161.068522693493,high_collection,baseline
97,Belgium,NCA,Pyro,-0.25287988359694163,high_collection,baseline
98,Belgium,NMC111,Pyro,-2.761624806788159,high_collection,baseline
