,country,total_costs,scrap_sum,unit_cost
0,Australia,130065504.42765088,11000.000000000002,11.82413676615008
1,Belgium,127972270.35226828,9000.000000000002,14.219141150252028
2,Brazil,117901823.04910907,10000.0,11.790182304910909
3,Canada,264011829.2181117,93999.5076671006,2.8086511915903856
4,Czechia,52783703.245622575,1000.0000000000001,52.78370324562257
5,Finland,114429986.19616532,7000.0,16.347140885166475
6,France,320390255.65506476,89000.00000000001,3.5998905129782552
7,Germany,431123882.88710237,185000.0,2.33039936695731
8,Hungary,329600708.4396255,104999.05569981216,3.139082596913442
9,India,435435353.1272205,259999.02587769332,1.6747576328691884
10,Italy,316287608.8349656,90000.0,3.514306764832951
11,Japan,171143292.11877552,53308.93061447758,3.210405651474401
12,Korea,340812225.2678113,711533.4430015389,0.47898272192256497
13,Netherlands,200568063.27113762,28000.0,7.163145116826344
14,Norway,376609240.8062023,147999.07990220515,2.5446728523924484
15,Poland,282383479.18311477,71000.0,3.9772321011706304
16,Romania,53031399.36519778,1000.0,53.03139936519778
17,Russian Federation,240620322.3263235,47999.14588360227,5.013012583803612
18,Serbia,51769099.13636784,999.0382489039442,51.8189360549151
19,Slovakia,52887371.89787928,999.9999999999998,52.88737189787929
20,Spain,317191647.73623157,92000.0,3.447735301480778
21,Sweden,379454817.78634703,134999.46505862233,2.8107875658734804
22,Switzerland,284711540.149992,64999.16524739065,4.380233793255084
23,Thailand,223171752.98807812,47999.686414123156,4.6494418955706625
24,Turkey,122330666.82995166,10000.0,12.233066682995165
25,USA,478883350.72263,538999.245167625,0.8884675721089379
26,United Kingdom,340719784.84412336,127000.0,2.6828329515285305
27,Viet Nam,93022777.67712411,5000.0,18.604555535424822
