year,policy_scenario,objective,target_region,scope,technology,recovered_lithium_t,technology_share_pct
2050,strict_policy,domestic_li_allocation_objective,China,global,Pyro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,China,target_region,Direct,345411.7125538665,100.0
2050,strict_policy,domestic_li_allocation_objective,China,target_region,Hydro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,China,target_region,Pyro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,United States,global,Direct,1719473.8231316211,99.99524999524782
2050,strict_policy,domestic_li_allocation_objective,United States,global,Hydro,81.67896806647761,0.004750004752201506
2050,strict_policy,domestic_li_allocation_objective,United States,global,Pyro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,United States,target_region,Direct,153066.19790286315,100.00000000000003
2050,strict_policy,domestic_li_allocation_objective,United States,target_region,Hydro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,United States,target_region,Pyro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,European Union,global,Direct,1719473.8231316078,99.99524999524705
2050,strict_policy,domestic_li_allocation_objective,European Union,global,Hydro,81.67896807943248,0.004750004752954891
2050,strict_policy,domestic_li_allocation_objective,European Union,global,Pyro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,European Union,target_region,Direct,784871.4787222748,100.0
2050,strict_policy,domestic_li_allocation_objective,European Union,target_region,Hydro,0.0,0.0
2050,strict_policy,domestic_li_allocation_objective,European Union,target_region,Pyro,0.0,0.0
2050,critical_route_policy,economic_choice_baseline,Global,global,Direct,0.0,0.0
2050,critical_route_policy,economic_choice_baseline,Global,global,Hydro,1684102.4335815099,100.00000000000003
2050,critical_route_policy,economic_choice_baseline,Global,global,Pyro,0.0,0.0
2050,critical_route_policy,economic_choice_baseline,Global,target_region,Direct,0.0,0.0
2050,critical_route_policy,economic_choice_baseline,Global,target_region,Hydro,0.0,0.0
2050,critical_route_policy,economic_choice_baseline,Global,target_region,Pyro,0.0,0.0
