,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
96,Belgium,LFP,Hydro,-6.892525757386626,baseline,baseline
97,Belgium,NCA,Hydro,8.115337754988376,baseline,baseline
98,Belgium,NMC111,Hydro,7.6743097888377205,baseline,baseline
99,Belgium,NMC523,Hydro,7.116666400841765,baseline,baseline
100,Belgium,NMC622,Hydro,7.417483296190439,baseline,baseline
101,Belgium,NMC811,Hydro,7.064271337746426,baseline,baseline
102,Benin,LFP,Hydro,0.0,baseline,baseline
103,Benin,NCA,Hydro,-77.58158384123499,baseline,baseline
104,Benin,NMC111,Hydro,-216.2635121492239,baseline,baseline
105,Benin,NMC523,Hydro,-185.53714923738553,baseline,baseline
106,Benin,NMC622,Hydro,-307.46059287016897,baseline,baseline
107,Benin,NMC811,Hydro,-362.89284650698534,baseline,baseline
108,Bermuda,LFP,Hydro,0.0,baseline,baseline
109,Bermuda,NCA,Hydro,-2282.196068850178,baseline,baseline
110,Bermuda,NMC111,Hydro,-6083.298641016757,baseline,baseline
111,Bermuda,NMC523,Hydro,-4153.4273044178535,baseline,baseline
112,Bermuda,NMC622,Hydro,-8692.904784283231,baseline,baseline
113,Bermuda,NMC811,Hydro,-27350.23511887638,baseline,baseline
114,Bolivia (Plurinational State of),LFP,Hydro,0.0,baseline,baseline
115,Bolivia (Plurinational State of),NCA,Hydro,-44.305547037976275,baseline,baseline
116,Bolivia (Plurinational State of),NMC111,Hydro,-131.1662988530994,baseline,baseline
117,Bolivia (Plurinational State of),NMC523,Hydro,-112.70983733914284,baseline,baseline
118,Bolivia (Plurinational State of),NMC622,Hydro,-190.51466246546318,baseline,baseline
119,Bolivia (Plurinational State of),NMC811,Hydro,-227.52220826788115,baseline,baseline
120,Bosnia Herzegovina,LFP,Hydro,0.0,baseline,baseline
121,Bosnia Herzegovina,NCA,Hydro,-195.15481058775217,baseline,baseline
122,Bosnia Herzegovina,NMC111,Hydro,-488.26120439902803,baseline,baseline
123,Bosnia Herzegovina,NMC523,Hydro,-426.7540217888331,baseline,baseline
