,country,type,recycling_m,net_profit
163,C?te d'Ivoire,NCA,Pyro,-38.224004811488186
164,C?te d'Ivoire,NMC111,Pyro,-98.92666931172963
165,C?te d'Ivoire,NMC523,Pyro,-87.49433847016883
166,C?te d'Ivoire,NMC622,Pyro,-140.343876166295
167,C?te d'Ivoire,NMC811,Pyro,-163.95302551931394
168,Cabo Verde,LFP,Pyro,0.0
169,Cabo Verde,NCA,Pyro,-363.7312461433702
170,Cabo Verde,NMC111,Pyro,-889.6682570172323
171,Cabo Verde,NMC523,Pyro,-775.2426779069309
172,Cabo Verde,NMC622,Pyro,-1224.7242613191133
173,Cabo Verde,NMC811,Pyro,-1422.2816867255438
174,Cambodia,LFP,,
175,Cambodia,NCA,,
176,Cambodia,NMC111,,
177,Cambodia,NMC523,,
178,Cambodia,NMC622,,
179,Cambodia,NMC811,,
180,Cameroon,LFP,Pyro,0.0
181,Cameroon,NCA,Pyro,-1488.658068899073
182,Cameroon,NMC111,Pyro,-1811.666314429081
183,Cameroon,NMC523,Pyro,-3335.5717363211165
184,Cameroon,NMC622,Pyro,-7404.266245555301
185,Cameroon,NMC811,Pyro,-55052.771167002466
186,Canada,LFP,Pyro,0.0
187,Canada,NCA,Pyro,4.230928310053005
188,Canada,NMC111,Pyro,2.77051237689082
189,Canada,NMC523,Pyro,2.6344794509742244
190,Canada,NMC622,Pyro,2.1796881458222854
191,Canada,NMC811,Pyro,1.7695182818574058
192,Cayman Isds,LFP,,
193,Cayman Isds,NCA,,
194,Cayman Isds,NMC111,,
195,Cayman Isds,NMC523,,
196,Cayman Isds,NMC622,,
197,Cayman Isds,NMC811,,
198,Chile,LFP,Pyro,0.0
199,Chile,NCA,Pyro,-5.9599805857277905
200,Chile,NMC111,Pyro,-22.57014899207497
201,Chile,NMC523,Pyro,-19.340188264154836
202,Chile,NMC622,Pyro,-32.80454360751858
203,Chile,NMC811,Pyro,-38.908483271362876
204,China,LFP,Pyro,0.7486872020401498
205,China,NCA,Pyro,4.907492918409808
206,China,NMC111,Pyro,4.501802094264069
207,China,NMC523,Pyro,4.102007785114848
208,China,NMC622,Pyro,4.536679154833311
209,China,NMC811,Pyro,4.477610145232758
210,Colombia,LFP,Pyro,0.0
211,Colombia,NCA,Pyro,-2.933211005329486
212,Colombia,NMC111,Pyro,-14.972916898307513
213,Colombia,NMC523,Pyro,-12.861441687526947
214,Colombia,NMC622,Pyro,-22.54582968672669
215,Colombia,NMC811,Pyro,-27.040894134517604
216,Comoros,LFP,,
217,Comoros,NCA,,
218,Comoros,NMC111,,
219,Comoros,NMC523,,
220,Comoros,NMC622,,
221,Comoros,NMC811,,
222,Congo,LFP,Pyro,0.0
223,Congo,NCA,Pyro,-1021.3566051414629
224,Congo,NMC111,Pyro,-1555.105388054127
225,Congo,NMC523,Pyro,-2238.4907207316182
226,Congo,NMC622,Pyro,-4092.960938541807
227,Congo,NMC811,Pyro,-6387.6411474924425
228,Costa Rica,LFP,Pyro,0.0
229,Costa Rica,NCA,Pyro,-12.123967188401378
230,Costa Rica,NMC111,Pyro,-37.46887782540286
231,Costa Rica,NMC523,Pyro,-32.56610888435921
232,Costa Rica,NMC622,Pyro,-53.90266511339745
233,Costa Rica,NMC811,Pyro,-63.612271227801024
234,Croatia,LFP,,
235,Croatia,NCA,,
236,Croatia,NMC111,,
237,Croatia,NMC523,,
238,Croatia,NMC622,,
239,Croatia,NMC811,,
240,Cyprus,LFP,,
241,Cyprus,NCA,,
242,Cyprus,NMC111,,
243,Cyprus,NMC523,,
244,Cyprus,NMC622,,
245,Cyprus,NMC811,,
246,Czechia,LFP,Pyro,-678.3637070341051
247,Czechia,NCA,Pyro,-16.15432711792749
248,Czechia,NMC111,Pyro,-25.23967805525705
249,Czechia,NMC523,Pyro,-23.56248457009931
250,Czechia,NMC622,Pyro,-37.8206934522319
251,Czechia,NMC811,Pyro,-51.8977557502328
252,Denmark,LFP,,
253,Denmark,NCA,,
254,Denmark,NMC111,,
255,Denmark,NMC523,,
256,Denmark,NMC622,,
257,Denmark,NMC811,,
258,Dominican Rep.,LFP,Pyro,0.0
259,Dominican Rep.,NCA,Pyro,-5.41823901825518
260,Dominican Rep.,NMC111,Pyro,-21.230609076653003
261,Dominican Rep.,NMC523,Pyro,-18.19236000879679
262,Dominican Rep.,NMC622,Pyro,-30.98944192436017
263,Dominican Rep.,NMC811,Pyro,-36.813900341331106
264,Ecuador,LFP,Pyro,0.0
265,Ecuador,NCA,Pyro,-9.301399220175956
266,Ecuador,NMC111,Pyro,-30.762572931114732
267,Ecuador,NMC523,Pyro,-26.50820759338245
268,Ecuador,NMC622,Pyro,-44.21995214433602
269,Ecuador,NMC811,Pyro,-52.21941912602355
270,Egypt,LFP,,
271,Egypt,NCA,,
272,Egypt,NMC111,,
273,Egypt,NMC523,,
274,Egypt,NMC622,,
275,Egypt,NMC811,,
276,El Salvador,LFP,Pyro,0.0
277,El Salvador,NCA,Pyro,-499.63144967456066
278,El Salvador,NMC111,Pyro,-846.934261403333
279,El Salvador,NMC523,Pyro,-1069.3883053774425
280,El Salvador,NMC622,Pyro,-1916.26439704523
281,El Salvador,NMC811,Pyro,-2958.467802014456
282,Estonia,LFP,,
283,Estonia,NCA,,
284,Estonia,NMC111,,
285,Estonia,NMC523,,
286,Estonia,NMC622,,
287,Estonia,NMC811,,
288,Eswatini,LFP,Pyro,0.0
289,Eswatini,NCA,Pyro,-236.15109832754302
290,Eswatini,NMC111,Pyro,-579.0414130286163
291,Eswatini,NMC523,Pyro,-505.705826511648
292,Eswatini,NMC622,Pyro,-799.9812199018623
293,Eswatini,NMC811,Pyro,-929.4384531304371
294,Ethiopia,LFP,,
295,Ethiopia,NCA,,
296,Ethiopia,NMC111,,
297,Ethiopia,NMC523,,
298,Ethiopia,NMC622,,
299,Ethiopia,NMC811,,
300,Fiji,LFP,,
301,Fiji,NCA,,
302,Fiji,NMC111,,
303,Fiji,NMC523,,
304,Fiji,NMC622,,
305,Fiji,NMC811,,
306,Finland,LFP,Pyro,-207.71372466521817
307,Finland,NCA,Pyro,-1.7023944790670813
308,Finland,NMC111,Pyro,-4.835251284673139
309,Finland,NMC523,Pyro,-4.5643179813005865
310,Finland,NMC622,Pyro,-8.686230492863293
311,Finland,NMC811,Pyro,-13.027920207990872
312,France,LFP,Pyro,-43.28792650082174
313,France,NCA,Pyro,3.59148459006133
314,France,NMC111,Pyro,2.573173667734874
315,France,NMC523,Pyro,2.3470213723150133
316,France,NMC622,Pyro,1.811002464210454
