,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
32,UGA,IND,203.20707190753265,5691.471,19661.301664862825,2025,Strategy 3,high_collection,baseline
33,UZB,IND,21.54147526191832,1584.103,580.1065649761202,2025,Strategy 3,high_collection,baseline
34,YEM,IND,17.37528165112165,3691.113,1090.280175678982,2025,Strategy 3,high_collection,baseline
35,ZAF,IND,12.024696578190303,8000.751,1635.5122539350953,2025,Strategy 3,high_collection,baseline
36,ZMB,IND,18.506482659361467,7197.28,2264.3377377476745,2025,Strategy 3,high_collection,baseline
37,ZWE,IND,49.0402594359919,7167.757,5975.647268520499,2025,Strategy 3,high_collection,baseline
38,AUS,JPN,983.4793711691092,7958.28,133055.67156979087,2025,Strategy 3,high_collection,baseline
39,JPN,JPN,3433.1682168473394,231.188,13493.023993180544,2025,Strategy 3,high_collection,baseline
40,NZL,JPN,553.6642154055653,9575.732,90129.5824601374,2025,Strategy 3,high_collection,baseline
41,USA,JPN,38203.48878684349,10918.79,7091309.8126252815,2025,Strategy 3,high_collection,baseline
42,AUT,KOR,2660.889457915124,8289.029,374955.22800169664,2025,Strategy 3,high_collection,baseline
43,BEL,KOR,4834.149954599285,8722.114,716788.1189508664,2025,Strategy 3,high_collection,baseline
44,CAN,KOR,5549.708828764338,10528.16,993279.7825449405,2025,Strategy 3,high_collection,baseline
45,CHE,KOR,2557.381559305336,8878.165,385982.542674991,2025,Strategy 3,high_collection,baseline
46,CZE,KOR,183.5436527308889,8262.063,25779.636775916348,2025,Strategy 3,high_collection,baseline
47,DEU,KOR,45022.47680260828,8139.991,6230203.451505983,2025,Strategy 3,high_collection,baseline
48,DNK,KOR,3783.766710709569,7955.016,511698.7203073539,2025,Strategy 3,high_collection,baseline
49,ESP,KOR,5517.007234229264,10012.64,939076.724333466,2025,Strategy 3,high_collection,baseline
50,FIN,KOR,1623.2974008731169,7070.555,195119.43042191718,2025,Strategy 3,high_collection,baseline
51,FRA,KOR,20481.212420629075,8981.467,3127172.6690897928,2025,Strategy 3,high_collection,baseline
52,GBR,KOR,15036.178547150295,8875.39,2268683.1281650686,2025,Strategy 3,high_collection,baseline
53,GRC,KOR,738.2723536577614,8528.293,107035.4500784812,2025,Strategy 3,high_collection,baseline
54,HUN,KOR,56.37904460130991,8182.963,7842.909811113768,2025,Strategy 3,high_collection,baseline
55,IRL,KOR,121.41982850425644,8968.355,18511.914143109945,2025,Strategy 3,high_collection,baseline
56,ISL,KOR,337.9970321940382,8396.076,48243.42909128505,2025,Strategy 3,high_collection,baseline
57,ITA,KOR,10721.471179203056,8982.659,1637224.4328788521,2025,Strategy 3,high_collection,baseline
58,KOR,KOR,5989.430552287347,118.6343,12079.38231647679,2025,Strategy 3,high_collection,baseline
59,LUX,KOR,20.73530045762149,8733.371,3078.51421877893,2025,Strategy 3,high_collection,baseline
60,NLD,KOR,8007.7393897256225,8573.183,1167080.8584752437,2025,Strategy 3,high_collection,baseline
61,NOR,KOR,7637.137740094282,7730.767,1003695.8510647827,2025,Strategy 3,high_collection,baseline
62,POL,KOR,1756.1959139660194,7753.967,231497.24776126503,2025,Strategy 3,high_collection,baseline
63,PRT,KOR,2109.452689918214,10433.49,374152.2102774914,2025,Strategy 3,high_collection,baseline
64,SVK,KOR,209.5395797777549,8246.657,29376.017719971776,2025,Strategy 3,high_collection,baseline
65,SWE,KOR,8845.715888448422,7445.181,1119585.2496892633,2025,Strategy 3,high_collection,baseline
66,TUR,KOR,2730.540558638032,7759.101,360171.17964417156,2025,Strategy 3,high_collection,baseline
67,USA,KOR,16468.360379011716,11185.97,3131647.9475298324,2025,Strategy 3,high_collection,baseline
68,ABW,RUS,5.884969473284513,9942.475,994.6897516862056,2025,Strategy 3,high_collection,baseline
69,AGO,RUS,18.000241195129384,7535.854,2306.0022233917693,2025,Strategy 3,high_collection,baseline
70,ALB,RUS,2.8507776245381677,2063.678,100.01248013307851,2025,Strategy 3,high_collection,baseline
71,AND,RUS,0.6592264679506339,2973.003,33.31799853724286,2025,Strategy 3,high_collection,baseline
72,ARG,RUS,322.8632685704332,13505.36,74126.53943794656,2025,Strategy 3,high_collection,baseline
73,ARM,RUS,10.274033382499924,1803.035,314.91551025686783,2025,Strategy 3,high_collection,baseline
74,AZE,RUS,30.23966613033315,1930.747,992.5474592564199,2025,Strategy 3,high_collection,baseline
75,BEN,RUS,11.174383611623457,6287.174,1194.3399998534267,2025,Strategy 3,high_collection,baseline
76,BFA,RUS,20.013600848256274,5900.391,2007.4971954849427,2025,Strategy 3,high_collection,baseline
77,BGR,RUS,13.102896759248996,1785.898,397.8074309813375,2025,Strategy 3,high_collection,baseline
78,BHS,RUS,0.0033079215283978,9155.123,0.5148352839361076,2025,Strategy 3,high_collection,baseline
79,BIH,RUS,10.21009885452218,1902.116,330.1534706770613,2025,Strategy 3,high_collection,baseline
80,BLR,RUS,91.4171943397829,686.9657,1067.608107328305,2025,Strategy 3,high_collection,baseline
81,BMU,RUS,7.997664445356332,7813.284,1062.2964020206155,2025,Strategy 3,high_collection,baseline
82,BOL,RUS,81.57388481990357,12567.85,17428.541921675027,2025,Strategy 3,high_collection,baseline
83,BRA,RUS,1666.8439597389563,11192.67,317159.38450847426,2025,Strategy 3,high_collection,baseline
84,BRB,RUS,1.439537871589854,9265.654,226.7504172468163,2025,Strategy 3,high_collection,baseline
85,CHL,RUS,15.802519461369164,14153.3,3802.182577774135,2025,Strategy 3,high_collection,baseline
86,CIV,RUS,16.81811861127975,6626.375,1894.5337321179209,2025,Strategy 3,high_collection,baseline
87,CMR,RUS,3.909443998122112,6231.046,414.11873157428755,2025,Strategy 3,high_collection,baseline
88,COG,RUS,10.853068269447563,6985.611,1288.8603224756657,2025,Strategy 3,high_collection,baseline
89,COL,RUS,238.54745245551675,10979.1,44523.6176993242,2025,Strategy 3,high_collection,baseline
90,CPV,RUS,0.3244522414751812,6862.205,37.849782493107334,2025,Strategy 3,high_collection,baseline
91,CRI,RUS,61.94282187810262,10967.48,11549.063221558099,2025,Strategy 3,high_collection,baseline
92,CYM,RUS,0.0559547786560335,9921.235,9.437388643131374,2025,Strategy 3,high_collection,baseline
93,CYP,RUS,7.183393457085785,2316.67,282.90638604385776,2025,Strategy 3,high_collection,baseline
94,DOM,RUS,45.02086250936127,9365.754,7168.123493218507,2025,Strategy 3,high_collection,baseline
95,DZA,RUS,69.34491274114876,3340.904,3938.469838061433,2025,Strategy 3,high_collection,baseline
96,ECU,RUS,44.2331788480713,11640.42,8753.177255353325,2025,Strategy 3,high_collection,baseline
97,EGY,RUS,109.17198177006335,2905.404,5392.208112885376,2025,Strategy 3,high_collection,baseline
98,EST,RUS,8.868527035449297,871.7853,131.4346755366737,2025,Strategy 3,high_collection,baseline
99,GEO,RUS,5.375388977838805,1644.856,150.30959381304444,2025,Strategy 3,high_collection,baseline
100,GHA,RUS,64.88573901063835,6517.264,7188.917346446292,2025,Strategy 3,high_collection,baseline
101,GIN,RUS,0.6519303991074306,6914.966,76.63730125130333,2025,Strategy 3,high_collection,baseline
102,GRD,RUS,1.1625492695642023,9489.634,187.54684027723755,2025,Strategy 3,high_collection,baseline
103,GRL,RUS,0.1580780334401947,4642.37,12.475564241729863,2025,Strategy 3,high_collection,baseline
104,GTM,RUS,112.71300849799891,10835.78,20762.667174781596,2025,Strategy 3,high_collection,baseline
105,GUY,RUS,8.106933948300878,9760.068,1345.1118523177258,2025,Strategy 3,high_collection,baseline
