,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap
0,China,LFP,Pyro,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.0625,196.02471349459086,196.02471349459086,2940.370702418863
1,China,NCA,Pyro,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.0625,10.909037471325117,10.909037471325117,163.63556206987676
2,China,NMC111,Pyro,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.0625,120.36656677116775,120.36656677116775,1805.4985015675163
3,China,NMC523,Pyro,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.0625,27.14430402544815,27.14430402544815,407.16456038172225
4,China,NMC622,Pyro,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.0625,111.89580793463064,111.89580793463064,1678.4371190194595
5,China,NMC811,Pyro,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.0625,44.96936386303654,44.96936386303654,674.5404579455482
6,India,LFP,Pyro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.0625,0.0,0.0,0.0
7,India,NCA,Pyro,761.8568264464371,2025,Strategy 2,high_collection,baseline,0.025,19.04642066116093,0.0625,1.1904012913225581,1.1904012913225581,17.85601936983837
8,India,NMC111,Pyro,223.00163890257352,2025,Strategy 2,high_collection,baseline,0.0375,8.362561458846507,0.0625,0.5226600911779067,0.5226600911779067,7.839901367668601
9,India,NMC523,Pyro,253.77461393158634,2025,Strategy 2,high_collection,baseline,0.035,8.882111487605522,0.0625,0.5551319679753451,0.5551319679753451,8.326979519630177
10,India,NMC622,Pyro,119.16868662262655,2025,Strategy 2,high_collection,baseline,0.0325,3.872982315235363,0.0625,0.2420613947022102,0.2420613947022102,3.630920920533153
11,India,NMC811,Pyro,84.9766911152867,2025,Strategy 2,high_collection,baseline,0.0275,2.336859005670384,0.0625,0.146053687854399,0.146053687854399,2.190805317815985
12,Japan,LFP,Pyro,4.00249837112873,2025,Strategy 2,high_collection,baseline,0.025,0.10006245927821825,0.0625,0.00625390370488864,0.00625390370488864,0.09380855557332961
