,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap
0,Australia,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0
1,Australia,NCA,Direct,523.1304419741431,2025,Strategy 2,high_collection,baseline,0.025,13.078261049353578,0.7925,10.36452188161271,10.36452188161271,2.7137391677408687
2,Australia,NMC111,Direct,153.36146383064255,2025,Strategy 2,high_collection,baseline,0.0375,5.751054893649095,0.7925,4.557711003216908,4.557711003216908,1.1933438904321871
3,Australia,NMC523,Direct,173.1612102685868,2025,Strategy 2,high_collection,baseline,0.035,6.060642359400539,0.7925,4.803059069824927,4.803059069824927,1.2575832895756118
4,Australia,NMC622,Direct,81.6033333237096,2025,Strategy 2,high_collection,baseline,0.0325,2.6521083330205624,0.7925,2.1017958539187958,2.1017958539187958,0.5503124791017666
5,Australia,NMC811,Direct,52.22292177202698,2025,Strategy 2,high_collection,baseline,0.0275,1.436130348730742,0.7925,1.138133301369113,1.138133301369113,0.2979970473616289
6,Belgium,LFP,Direct,5.7670470000191205,2025,Strategy 2,high_collection,baseline,0.025,0.14417617500047802,0.7925,0.11425961868787883,0.11425961868787883,0.029916556312599193
7,Belgium,NCA,Direct,1743.1131775775475,2025,Strategy 2,high_collection,baseline,0.025,43.57782943943869,0.7925,34.535429830755156,34.535429830755156,9.042399608683532
8,Belgium,NMC111,Hydro,1098.1671209917074,2025,Strategy 2,high_collection,baseline,0.0375,41.18126703718902,0.8658,35.65474100079826,35.65474100079826,5.526526036390763
9,Belgium,NMC523,Hydro,1169.822650922103,2025,Strategy 2,high_collection,baseline,0.035,40.94379278227361,0.8658,35.44913579089249,35.44913579089249,5.49465699138112
10,Belgium,NMC622,Direct,540.6091579941962,2025,Strategy 2,high_collection,baseline,0.0325,17.569797634811376,0.7925,13.924064625588015,13.924064625588015,3.6457330092233615
11,Belgium,NMC811,Direct,276.67080011371104,2025,Strategy 2,high_collection,baseline,0.0275,7.608447003127053,0.7925,6.029694249978189,6.029694249978189,1.5787527531488639
12,Brazil,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0
13,Brazil,NCA,Direct,901.3879149063927,2025,Strategy 2,high_collection,baseline,0.025,22.53469787265982,0.7925,17.858748064082906,17.858748064082906,4.675949808576913
14,Brazil,NMC111,Direct,230.73122891802817,2025,Strategy 2,high_collection,baseline,0.0375,8.652421084426056,0.7925,6.857043709407649,6.857043709407649,1.7953773750184068
15,Brazil,NMC523,Direct,284.64502202155415,2025,Strategy 2,high_collection,baseline,0.035,9.962575770754396,0.7925,7.895341298322859,7.895341298322859,2.0672344724315375
16,Brazil,NMC622,Direct,140.54664327099246,2025,Strategy 2,high_collection,baseline,0.0325,4.5677659063072555,0.7925,3.6199544807485,3.6199544807485,0.9478114255587555
17,Brazil,NMC811,Direct,109.53315062198901,2025,Strategy 2,high_collection,baseline,0.0275,3.0121616421046977,0.7925,2.387138101367973,2.387138101367973,0.6250235407367248
18,Canada,LFP,Direct,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.7925,0.0,0.0,0.0
19,Canada,NCA,Direct,2908.6173285576915,2025,Strategy 2,high_collection,baseline,0.025,72.71543321394229,0.7925,57.62698082204926,57.62698082204926,15.088452391893028
20,Canada,NMC111,Hydro,932.7932071006741,2025,Strategy 2,high_collection,baseline,0.0375,34.97974526627527,0.8658,30.285463451541133,30.285463451541133,4.69428181473414
21,Canada,NMC523,Hydro,987.7576108052366,2025,Strategy 2,high_collection,baseline,0.035,34.57151637818328,0.8658,29.932018880231087,29.932018880231087,4.6394974979521955
22,Canada,NMC622,Direct,450.3032893072607,2025,Strategy 2,high_collection,baseline,0.0325,14.634856902485973,0.7925,11.598124095220134,11.598124095220134,3.036732807265839
23,Canada,NMC811,Direct,270.23739299347557,2025,Strategy 2,high_collection,baseline,0.0275,7.431528307320578,0.7925,5.889486183551558,5.889486183551558,1.5420421237690203
