,country,type,recycling_m,scrap,year,Strategy type,collection_scenario,recovery_efficiency_scenario,li_content,contained_lithium,li_recovery_efficiency,recycled_lithium,primary_lithium_offset,primary_lithium_gap
0,China,LFP,Hydro,125455.81663653815,2025,Strategy 2,high_collection,baseline,0.025,3136.3954159134537,0.8658,2715.491151097868,2715.491151097868,420.9042648155855
1,China,NCA,Hydro,6981.783981648075,2025,Strategy 2,high_collection,baseline,0.025,174.54459954120188,0.8658,151.12071428277258,151.12071428277258,23.423885258429294
2,China,NMC111,Hydro,51356.40182236491,2025,Strategy 2,high_collection,baseline,0.0375,1925.865068338684,0.8658,1667.4139761676327,1667.4139761676327,258.4510921710514
3,China,NMC523,Hydro,12408.824697347725,2025,Strategy 2,high_collection,baseline,0.035,434.3088644071704,0.8658,376.0246148037281,376.0246148037281,58.28424960344228
4,China,NMC622,Hydro,55087.16698320278,2025,Strategy 2,high_collection,baseline,0.0325,1790.3329269540902,0.8658,1550.0702481568514,1550.0702481568514,240.26267879723878
5,China,NMC811,Hydro,26163.99352031217,2025,Strategy 2,high_collection,baseline,0.0275,719.5098218085847,0.8658,622.9516037218726,622.9516037218726,96.55821808671203
6,India,LFP,Hydro,0.0,2025,Strategy 2,high_collection,baseline,0.025,0.0,0.8658,0.0,0.0,0.0
7,India,NCA,Hydro,761.8568264464371,2025,Strategy 2,high_collection,baseline,0.025,19.04642066116093,0.8658,16.490391008433132,16.490391008433132,2.5560296527277977
8,India,NMC111,Hydro,223.00163890257352,2025,Strategy 2,high_collection,baseline,0.0375,8.362561458846507,0.8658,7.240305711069306,7.240305711069306,1.122255747777201
9,India,NMC523,Hydro,253.77461393158634,2025,Strategy 2,high_collection,baseline,0.035,8.882111487605522,0.8658,7.690132125968861,7.690132125968861,1.191979361636661
10,India,NMC622,Hydro,119.16868662262655,2025,Strategy 2,high_collection,baseline,0.0325,3.872982315235363,0.8658,3.3532280885307775,3.3532280885307775,0.5197542267045856
11,India,NMC811,Hydro,84.9766911152867,2025,Strategy 2,high_collection,baseline,0.0275,2.336859005670384,0.8658,2.0232525271094186,2.0232525271094186,0.3136064785609656
12,Japan,LFP,Hydro,4.00249837112873,2025,Strategy 2,high_collection,baseline,0.025,0.10006245927821825,0.8658,0.08663407724308136,0.08663407724308136,0.013428382035136882
13,Japan,NCA,Hydro,25046.200321774144,2025,Strategy 2,high_collection,baseline,0.025,626.1550080443536,0.8658,542.1250059648014,542.1250059648014,84.03000207955222
