From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.00599999999978,180.2275992879157
Belgium,Japan,3.0999999999997696,30.22623884120534
Brazil,China,46.66999999998193,58.63359928746559
Canada,China,8.530000000000712,142.38359928786548
Czechia,China,5.053000000000022,162.17559928795777
Finland,China,0.8010000000000006,212.3095992879021
France,China,12.741999999998377,126.38959928778911
Germany,China,5.860000000000292,155.8315992879297
Italy,China,11.316999999999167,130.35959928780807
Netherlands,China,2.0929999999998805,192.87259928788623
Poland,China,6.7070000000005745,151.08559928790703
Romania,China,2.9449999999997867,181.4275992879129
Serbia,China,0.06500000000000004,224.86059928790004
Slovakia,China,1.6899999999999247,197.33959928788815
Spain,China,3.995999999999671,171.2115992879367
Turkey,China,2.144999999999875,190.81559928789102
USA,China,46.68099999998191,58.707599287465946
United Kingdom,China,2.231999999999865,190.23159928789238
Viet Nam,China,4.699999999999904,164.8195992879516
