,country,total_netprofits,scrap,net_profit
0,Angola,-51085917.701765455,1992.4033691743205,-25.640348983617795
1,Argentina,-37621623.90731892,20512.171202711183,-1.834112222227665
2,Aruba,-6063163.049853061,2.3158392872180817,-2618.1277273072255
3,Australia,225500202.01768544,112607.48258197126,2.0025330186520716
4,Belgium,-21067166.641735584,46057.24895419011,-0.45741261408577844
5,Benin,-31160119.101838954,350.6018048559185,-88.8760943904563
6,Bermuda,-4717833.836876632,1.7870069999910487,-2640.075745030805
7,Bolivia (Plurinational State of),7232183.142587099,35900.78814456243,0.2014491468394822
8,Botswana,-51808361.41253277,2117.653556610678,-24.464984487572405
9,Brazil,5253837734.644772,1220136.7292294814,4.305941792246989
10,Burkina Faso,90563453.40096007,61819.31273887104,1.4649702396968765
11,C?te d'Ivoire,-55384570.127513506,2912.434121846204,-19.016591555521604
12,Cabo Verde,-29914092.486814298,308.53395408650834,-96.95559302502839
13,Cameroon,-4266451.106453422,1.4621629637258737,-2917.9039630313714
14,Canada,5144539548.847894,1234711.058736144,4.166593886438394
15,Chile,299119505.7787232,114178.70653911767,2.6197485927574835
16,China,45203558992.150024,15743891.517952671,2.871180796730253
17,Colombia,12453420.276062287,37658.344828211324,0.33069483889618395
18,Congo,-6345914.812617063,3.4397920095690773,-1844.8542222795768
19,Costa Rica,-55041607.32364501,12218.091749001727,-4.504926665667096
20,Czechia,-63961403.197464034,21740.644751049294,-2.9420196102683196
21,Dominican Rep.,80095334.93263698,57141.51170183661,1.4017013646851524
22,Ecuador,5118255.88414089,35238.18259425357,0.1452474420453098
23,El Salvador,-10742295.190733071,12.743340450105814,-842.9732559365056
24,Eswatini,-31862218.47231071,376.1373298718032,-84.70900371194249
25,Finland,31897538.191986904,63171.07137507009,0.504939009227806
26,France,707669039.5863234,253282.57198344986,2.7939902617246175
27,Germany,846538852.1400607,289355.7476521718,2.925598883066482
28,Ghana,-11407842.978575468,21.494222112413663,-530.7399783492067
29,Grenada,-42101974.71337563,894.0299175949486,-47.09235550711229
30,Guatemala,152680230.54799238,76665.89199852892,1.9915013908782544
31,Guinea,-9687778.09580855,11.26873995564936,-859.7037587109971
32,Guyana,-60149143.24438009,5784.692519583672,-10.39798451529608
33,Honduras,-60301956.2741096,6427.3272489057335,-9.38212011600563
34,Hungary,357211822.777933,154337.00599343705,2.3144923699836637
35,India,63202904621.827995,13348755.877144266,4.7347412151003505
36,Italy,503159209.0649991,198270.47219328143,2.537741517932639
37,Jamaica,-7921781.9931593845,5.670336415904646,-1397.0567903060726
38,Japan,7652478377.915968,1809957.2780457628,4.227988401018205
39,Korea,89944553675.0027,19920173.642778113,4.515249479645541
40,Lesotho,-48403593.151215464,16868.891135012276,-2.869399817914009
41,Mali,-60765974.178310946,8135.425754528675,-7.469304743453026
42,Mexico,431481051.13248885,146564.46149744044,2.9439677717508896
43,Mozambique,-22128863.30598187,137.391535658819,-161.06424023772416
44,Namibia,-10012611.668192562,31675.407757971305,-0.3161004822636523
45,Netherlands,48486012.42824774,69300.02744898063,0.6996535818682558
46,Nicaragua,-12892303.417856129,29401.440920510784,-0.43849223079615496
47,Niger,53065789.58270728,51172.16953462343,1.0370048810770593
48,Nigeria,26922898114.44253,5878855.447153727,4.5796155997469485
49,Norway,-58552416.98751112,20800.788166978993,-2.8149133829679776
50,Panama,-10618905.469597504,12.374105064430784,-858.1554313872297
51,Paraguay,-55297707.418969765,12055.998112691115,-4.586738227899931
52,Peru,207471360.43496084,90852.03525909722,2.2836181913072364
53,Poland,324873895.01366246,143144.76819962298,2.2695478088350987
54,Romania,-62810556.03789467,21740.644751049294,-2.8890843283230216
55,Russian Federation,752358674.386171,185186.1625925755,4.062715398673824
56,Saint Lucia,-31810232.07844532,343.3937244193145,-92.63486725692802
57,Senegal,2428862864.532122,606791.645976223,4.0027954910692625
58,Serbia,-64227240.57715833,6614.436558724306,-9.71016049620189
59,Slovakia,-66100251.23004142,20153.992264145265,-3.2797596805490663
60,South Africa,-61071401.00102926,6421.257286988544,-9.510816693917379
61,Spain,392790434.7996251,164148.7716170834,2.392892928348581
62,Sweden,601116854.0487181,243789.73287249333,2.46571849833854
63,Switzerland,-39326655.50415492,32413.039385702632,-1.213297371967588
64,Thailand,800645340.97379,195675.59828888113,4.091697421524047
65,Togo,-55779910.617214315,12826.382442524568,-4.3488419955639
66,Trinidad and Tobago,-57900193.37732879,10179.878399419738,-5.68770972555322
67,Turkey,639115017.9388045,217406.44751049293,2.9397243055910667
68,USA,47601572994.19753,10168819.085988281,4.681130875834759
69,United Kingdom,807176613.3197442,258718.44635928806,3.1199036043947177
70,Uruguay,-60386394.54809208,4495.8699364760205,-13.43152613427792
71,Viet Nam,497399688.1260836,130443.86850629578,3.813131991727744
72,Zambia,-23612990.458767224,172.3334831608712,-137.01916786957057
73,Zimbabwe,-11069595.627822854,16.66840125474198,-664.1066205838831
