From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.521999999999723,89.68759120248362
Belgium,Japan,3.5799999999997167,29.37738750215001
Brazil,China,24.56700000000704,0.0005912021256099251
Brazil,Sweden,19.980000000001436,0.0004769800032645719
Canada,China,11.14999999999926,34.33059120228953
Czechia,China,5.6590000000002245,68.22759120245138
Finland,China,0.9810000000000008,126.76759120245036
France,China,15.482999999996858,18.529591202214082
Germany,China,8.951000000000478,44.82659120233965
Italy,China,13.994999999997683,22.302591202232097
Netherlands,China,2.751999999999808,98.37159120246338
Poland,China,8.472000000000744,47.849591202354084
Romania,China,3.2989999999997477,92.75159120247648
Serbia,China,0.07300000000000005,142.62659120244822
Slovakia,China,1.8919999999999024,112.80559120243329
Spain,China,6.012000000000342,65.8025912024398
Turkey,China,2.522999999999833,103.54659120245132
USA,China,24.539000000007007,0.002591202125619475
USA,Korea,19.972000000001426,171.02587716123423
United Kingdom,China,4.599999999999871,79.03259120250297
Viet Nam,China,5.336000000000117,70.19459120246077
