,source_point,dest_point,quantity,distcap,CO2,year,Strategy type,collection_scenario,recovery_efficiency_scenario
37,MNG,KOR,22.0,2003.103,749.1605220000001,2025,Strategy 2,baseline,baseline
38,ISL,NOR,452.0,1749.596,13443.895664000001,2025,Strategy 2,baseline,baseline
39,BLR,POL,189.0,469.7038,1509.1583094000002,2025,Strategy 2,baseline,baseline
40,LTU,POL,21.0,393.7521,140.5694997,2025,Strategy 2,baseline,baseline
41,UKR,POL,784.0,690.8161,9207.1969808,2025,Strategy 2,baseline,baseline
42,GRC,ROM,873.0,741.4337,11003.617541700001,2025,Strategy 2,baseline,baseline
43,MDA,ROM,26.0,356.6724,157.6492008,2025,Strategy 2,baseline,baseline
44,KAZ,RUS,383.0,2270.788,14785.100668000001,2025,Strategy 2,baseline,baseline
45,ALB,YUG,5.0,393.4831,33.4460635,2025,Strategy 2,baseline,baseline
46,BGR,YUG,26.0,329.8515,145.794363,2025,Strategy 2,baseline,baseline
47,BIH,YUG,21.0,196.5349,70.16295930000001,2025,Strategy 2,baseline,baseline
48,GRC,YUG,105.0,806.8219,1440.1770915000002,2025,Strategy 2,baseline,baseline
49,MKD,YUG,25.0,324.8798,138.073915,2025,Strategy 2,baseline,baseline
50,AUT,SVK,768.0,59.61723,778.3625548800001,2025,Strategy 2,baseline,baseline
51,AND,ESP,1.0,492.9274,8.3797658,2025,Strategy 2,baseline,baseline
52,BEN,ESP,16.0,3830.115,1041.79128,2025,Strategy 2,baseline,baseline
53,BFA,ESP,41.0,3132.095,2183.070215,2025,Strategy 2,baseline,baseline
54,CIV,ESP,34.0,3742.523,2163.1782940000003,2025,Strategy 2,baseline,baseline
55,DZA,ESP,143.0,706.8757,1718.4148267000003,2025,Strategy 2,baseline,baseline
56,GHA,ESP,134.0,3896.073,8875.254294,2025,Strategy 2,baseline,baseline
57,GIN,ESP,1.0,3637.762,61.84195400000001,2025,Strategy 2,baseline,baseline
58,MAR,ESP,83.0,762.6525,1076.1026775,2025,Strategy 2,baseline,baseline
59,MLI,ESP,5.0,3116.63,264.91355000000004,2025,Strategy 2,baseline,baseline
60,NER,ESP,15.0,3045.1,776.5005000000001,2025,Strategy 2,baseline,baseline
61,NGA,ESP,726.0,3639.542,44919.227364000006,2025,Strategy 2,baseline,baseline
62,PRT,ESP,2813.0,500.9223,23954.605308300004,2025,Strategy 2,baseline,baseline
63,SEN,ESP,42.0,3164.425,2259.3994500000003,2025,Strategy 2,baseline,baseline
64,SLE,ESP,2.0,3676.671,125.006814,2025,Strategy 2,baseline,baseline
65,TGO,ESP,26.0,3845.382,1699.658844,2025,Strategy 2,baseline,baseline
66,BRN,THA,5.0,1864.909,158.517265,2025,Strategy 2,baseline,baseline
67,IDN,THA,5959.0,2316.466,234664.955198,2025,Strategy 2,baseline,baseline
68,KHM,THA,62.0,535.9692,564.9115368,2025,Strategy 2,baseline,baseline
69,LAO,THA,40.0,525.2488,357.169184,2025,Strategy 2,baseline,baseline
70,LKA,THA,108.0,2381.501,4372.435836000001,2025,Strategy 2,baseline,baseline
71,MYS,THA,9.0,1187.123,181.62981900000003,2025,Strategy 2,baseline,baseline
72,PHL,THA,1866.0,2210.015,70106.09583,2025,Strategy 2,baseline,baseline
73,MMR,THA,135.0,575.9035,1321.6985325,2025,Strategy 2,baseline,baseline
74,VNM,THA,9453.0,990.7018,159206.7699618,2025,Strategy 2,baseline,baseline
75,ARM,TUR,21.0,992.1443,354.1955151000001,2025,Strategy 2,baseline,baseline
76,AZE,TUR,62.0,1447.681,1525.8557740000003,2025,Strategy 2,baseline,baseline
77,BDI,TUR,27.0,4832.4,2218.0715999999998,2025,Strategy 2,baseline,baseline
78,BHR,TUR,19.0,2247.209,725.848507,2025,Strategy 2,baseline,baseline
