,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
141,Sudan,-2783321.3675392726,0.4045436451333103,-6880.151007246888,baseline,baseline
142,Sweden,-76207752.2672376,8715.908686422468,-8.743523482061379,baseline,baseline
143,Switzerland,-57832137.75349219,3364.9531268716737,-17.186610206144987,baseline,baseline
144,Tajikistan,-5074687.644958947,1.773705253514421,-2861.0659154918535,baseline,baseline
145,Thailand,-60217838.904146776,1251.8440640350395,-48.10330666109326,baseline,baseline
146,Togo,-9001119.876430472,9.068419941084906,-992.5786338643705,baseline,baseline
147,Tonga,0.0,0.0,,baseline,baseline
148,Trinidad and Tobago,-10243102.242403995,10.888393568220158,-940.7358558658674,baseline,baseline
149,Tunisia,-8376335.551207361,7.43263630851826,-1126.9669607818107,baseline,baseline
150,Turkey,-52096836.83941095,2272.8866069659985,-22.921001285212952,baseline,baseline
151,USA,92396291.65361111,61489.69723314437,1.5026304537373356,baseline,baseline
152,Uganda,-27053400.00015202,227.98442193560138,-118.66337081484357,baseline,baseline
153,Ukraine,-22375863.665441435,140.1901715929337,-159.6107873411669,baseline,baseline
154,United Arab Emirates,-29045682.27497714,368.7056842024597,-78.77741927902552,baseline,baseline
155,United Kingdom,-52309626.10269843,21056.449104600968,-2.484256763466754,baseline,baseline
156,United Rep. of Tanzania,-17707829.41390763,64.1303622522018,-276.1223980658188,baseline,baseline
157,Uruguay,-10314191.19889975,11.176936111173017,-922.8102492765594,baseline,baseline
158,Uzbekistan,-12004207.140400207,20.818386591948645,-576.6156319261908,baseline,baseline
159,Viet Nam,156812355.5401847,5973.46753511515,26.251478662662866,baseline,baseline
160,Yemen,-8493507.28927031,14.19188836175567,-598.4761909598042,baseline,baseline
161,Zambia,-8336173.878161997,7.456853268131878,-1117.9211362235117,baseline,baseline
162,Zimbabwe,-12947392.884088118,25.980307758614053,-498.3540997429204,baseline,baseline
