year,embedded_li,li_collected,supply_chain_available_secondary_li
2025,8859.997099826278,6282.786976202022,5320.6143124604105
2030,91632.03333686558,75378.62862563446,66483.9641319116
2035,358389.7949348645,322205.8869121947,290527.9321750618
2040,766490.0623872235,719377.7605188858,658640.5055608073
2045,1414282.8844574655,1345147.5713615506,1243106.1117867806
2050,1856501.841004832,1772802.5202866702,1644813.495464451
