year,trade_policy_loss,supply_chain_available_secondary_li,total_netprofits,recycling_CO2_em
2025,0.0,5320.6143124604105,-1583310592.2191465,425979.5524335592
2030,0.0,66483.9641319116,7118962586.890588,5064556.463675362
2035,0.0,290527.9321750618,57352383731.65798,20855587.308156367
2040,0.0,658640.5055608073,152229675443.9856,49021869.96256462
2045,0.0,1243106.1117867806,328871658718.1141,99164555.6867079
2050,0.0,1644813.495464451,452554902416.2181,132692744.6106558
