year,collection_loss,capacity_mismatch_loss,technology_loss,trade_policy_loss,economic_selection_loss,supply_chain_available_secondary_li
2025,2577.210123624256,0.0011689327147905,843.1498553355414,0.0,119.0216394733552,5320.6143124604105
2030,16253.404711231118,0.0001850745466072,8887.140293142016,0.0,7.524015506292926,66483.9641319116
2035,36183.9080226698,0.0007098771748133,31672.83861368784,0.0,5.115413567924406,290527.9321750618
2040,47112.30186833763,0.0006209315033629,59996.10517548944,0.0,741.1491616575513,658640.5055608073
2045,69135.31309591467,0.0005692895501852,101558.64159481577,0.0,482.8174106646329,1243106.1117867806
2050,83699.3207181615,0.0006248415447771,127819.06166761788,0.0,169.96252975985408,1644813.495464451
