year,Strategy 1,Strategy 2,Strategy 3
2025,5320.6143124604105,6282.786976202022,6282.786976202022
2030,66483.9641319116,75378.62862563446,75378.62862563446
2035,290527.9321750618,322205.8869121947,322205.8869121947
2040,658640.5055608073,719377.7605188858,719377.7605188858
2045,1243106.1117867806,1345147.5713615506,1345147.5713615506
2050,1644813.495464451,1772802.5202866702,1772802.5202866702
