year,Optimal_lithium,Optimal_multiobjective,Optimal_profit,Realistic_multiobjective
2025,5439.635951933766,5387.174776264267,5174.335999934987,5320.6143124604105
2030,66491.4881474179,66165.80846062645,63398.87398656125,66483.9641319116
2035,290533.0475886297,289589.2143532514,280595.861117393,290527.9321750618
2040,659381.6547224649,658499.0014862139,649159.4300626847,658640.5055608073
2045,1243588.9291974453,1240228.430788374,1237490.1304999625,1243106.1117867806
2050,1644983.4579942108,1643696.7605186424,1642843.521728254,1644813.495464451
