policy_scenario,destination_iso3,destination_recovered_lithium_t_2030,destination_recovered_lithium_t_2040,destination_recovered_lithium_t_2050,destination_recovered_lithium_t_delta_2030_2040,destination_recovered_lithium_t_ratio_2030_2040,destination_recovered_lithium_t_cagr_2030_2040_pct,destination_recovered_lithium_t_delta_2040_2050,destination_recovered_lithium_t_ratio_2040_2050,destination_recovered_lithium_t_cagr_2040_2050_pct,destination_recovered_lithium_t_delta_2030_2050,destination_recovered_lithium_t_ratio_2030_2050,destination_recovered_lithium_t_cagr_2030_2050_pct,destination_recovered_li_delta_vs_reference_t_2030,destination_recovered_li_delta_vs_reference_t_2040,destination_recovered_li_delta_vs_reference_t_2050,destination_recovered_li_delta_vs_reference_t_delta_2030_2040,destination_recovered_li_delta_vs_reference_t_ratio_2030_2040,destination_recovered_li_delta_vs_reference_t_cagr_2030_2040_pct,destination_recovered_li_delta_vs_reference_t_delta_2040_2050,destination_recovered_li_delta_vs_reference_t_ratio_2040_2050,destination_recovered_li_delta_vs_reference_t_cagr_2040_2050_pct,destination_recovered_li_delta_vs_reference_t_delta_2030_2050,destination_recovered_li_delta_vs_reference_t_ratio_2030_2050,destination_recovered_li_delta_vs_reference_t_cagr_2030_2050_pct,Direct_2030,Direct_2040,Direct_2050,Direct_delta_2030_2040,Direct_ratio_2030_2040,Direct_cagr_2030_2040_pct,Direct_delta_2040_2050,Direct_ratio_2040_2050,Direct_cagr_2040_2050_pct,Direct_delta_2030_2050,Direct_ratio_2030_2050,Direct_cagr_2030_2050_pct,Hydro_2030,Hydro_2040,Hydro_2050,Hydro_delta_2030_2040,Hydro_ratio_2030_2040,Hydro_cagr_2030_2040_pct,Hydro_delta_2040_2050,Hydro_ratio_2040_2050,Hydro_cagr_2040_2050_pct,Hydro_delta_2030_2050,Hydro_ratio_2030_2050,Hydro_cagr_2030_2050_pct,Pyro_2030,Pyro_2040,Pyro_2050,Pyro_delta_2030_2040,Pyro_ratio_2030_2040,Pyro_cagr_2030_2040_pct,Pyro_delta_2040_2050,Pyro_ratio_2040_2050,Pyro_cagr_2040_2050_pct,Pyro_delta_2030_2050,Pyro_ratio_2030_2050,Pyro_cagr_2030_2050_pct
critical_route_policy,AUS,52.92292628445212,1562.05074918149,1772.6463919625328,1509.1278228970377,29.515577819444854,40.28302717416572,210.5956427810429,1.1348199748896728,1.272771923005589,1719.7234656780806,33.49486727991659,19.192495634910166,-8.433893294946003,-4.547473508864641e-13,-2.273736754432321e-13,8.433893294945548,5.391903062835414e-14,,2.27373675443232e-13,,,8.433893294945776,2.6959515314177075e-14,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,BEL,153.152142227672,670.346745177979,692.8072247659819,517.194602950307,4.3769988158667665,15.909129154608337,22.460479588002954,1.0335057636209446,0.3301104375863062,539.6550825383099,4.523653503560353,7.8386560042654985,-63.25768145332185,-1.1368683772161605e-13,1.1368683772161605e-13,63.25768145332174,1.797202096404784e-15,,2.273736754432321e-13,,,63.257681453321965,-1.797202096404784e-15,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,BRA,330.7875,0.0,5794.265570147784,-330.7875,0.0,,5794.265570147784,,,5463.478070147784,17.516579587039363,15.391140364783462,22.052499999999952,-2191.253469739804,-1775.919031311174,-2213.305969739804,-99.36530868336057,,415.33443842863016,0.8104580578357518,,-1797.971531311174,-80.53141509176636,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,0.0,100.0,-100.0,0.0,,100.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,CAN,1041.559124978034,15339.867786995092,19020.913255070296,14298.308662017058,14.727793573234358,30.86206490016692,3681.0454680752046,1.239965918819453,2.1741362140935028,17979.354130092262,18.261962090218773,15.631822801368989,0.0,1.8189894035458565e-12,0.0,1.8189894035458565e-12,,,-1.8189894035458565e-12,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,CHE,269.64575898247386,424.372768314959,475.4249062246597,154.72700933248512,1.5738158460802711,4.639436290506582,51.05213790970072,1.120300221223929,1.1424436469005483,205.77914724218584,1.7631462405294527,2.876082197253216,0.0,0.0,1.1368683772161605e-13,0.0,,,1.1368683772161605e-13,,,1.1368683772161605e-13,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,CHN,32035.78327296675,351485.12425155216,435895.2171889266,319449.3409785854,10.97164134420123,27.06535678156996,84410.09293737443,1.2401526753575025,2.1756749979022327,403859.43391595985,13.606510366074138,13.942918156444396,-10931.72997267724,-84320.56136902189,-553887.103355438,-73388.83139634464,7.713377624563784,,-469566.5419864161,6.5688260889464125,,-542955.3733827608,50.66783617413009,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,CZE,0.0,240.3069738541898,579.4265570147784,240.3069738541898,,,339.1195831605886,2.4111932655202715,9.200141770737446,579.4265570147784,,,-32.77269451035252,-88.3810466067807,-289.4040396562018,-55.60835209642818,2.6967891388626017,,-201.0229930494211,3.274503423158132,,-256.6313451458493,8.83064526674126,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,100.0,100.0,100.0,,,0.0,1.0,0.0,100.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,DEU,1561.6294799540951,4460.708352185689,4288.494693200249,2899.0788722315942,2.8564447645524815,11.066371294957268,-172.21365898544082,0.9613932036374765,-0.3929438749839531,2726.8652132461534,2.7461665832066076,5.180769531215534,-1281.3281783884704,0.0,0.0,1281.3281783884704,-0.0,,0.0,,,1281.3281783884704,-0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,ESP,1122.773033450865,2341.844890685389,2411.1956846437247,1219.0718572345243,2.085768735901755,7.628333391320274,69.35079395833554,1.0296137435208352,0.2922635156674458,1288.4226511928598,2.147536156290526,3.8955685976760135,-244.3388371939775,0.0,0.0,244.3388371939775,-0.0,,0.0,,,244.3388371939775,-0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
critical_route_policy,FIN,103.8797756262904,591.61995119636,1297.414632685067,487.74017557006965,5.695237091430817,19.00115616564506,705.794681488707,2.1929866125397997,8.169195091019654,1193.5348570587767,12.48957869674789,13.455979469301461,61.49596248126922,-1.1368683772161605e-13,-2.273736754432321e-13,-61.49596248126933,-1.8486878346890406e-15,,-1.1368683772161605e-13,,,-61.495962481269444,-3.697375669378081e-15,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
