From Region,To Region,Amount Transported,Remaining Storage
Australia,China,2.8569999999997964,208.35106138142586
Belgium,Japan,2.961999999999785,30.470230605301705
Brazil,China,25.935000000008714,129.35706138121142
Canada,China,7.777000000000932,173.60106138142268
Czechia,China,4.877999999999964,189.41106138146998
Finland,China,0.7490000000000006,236.13806138142272
France,China,11.953999999998814,157.71506138134683
Germany,China,4.970999999999995,189.40506138147
Italy,China,10.546999999999594,161.7100613813659
Netherlands,China,1.903999999999901,218.18106138140556
Poland,China,6.200000000000405,180.64506138145632
Romania,China,2.843999999999798,207.13206138142868
Serbia,China,0.06300000000000004,248.32106138142078
Slovakia,China,1.6309999999999312,222.91406138141133
Spain,China,3.4169999999997347,201.08806138144277
Turkey,China,2.0369999999998867,217.13106138140537
USA,China,26.257000000009107,129.36106138121144
United Kingdom,China,1.5519999999999399,223.54306138141212
Viet Nam,China,4.516999999999843,192.00906138146394
