,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
KWT,0.0,12.178821733680298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO,0.0,0.0,0.0,194519.3392394048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBN,0.0,98337.81458715197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,0.0,0.0,0.0,402.2522443429859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,0.0,280309.09648898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151873.60126871872,0.0
LSO,0.0,21751.814149081856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,0.0,0.0,0.0,9591.855580229188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,0.0,0.0,0.0,3299.271903527297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,6276.8041275637415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178143.99099747115,0.0,0.0
MDA,0.0,0.0,0.0,18288.9833690468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDG,0.0,59745.21516596902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,0.0,3285.8674993643563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,972664.9281472417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,0.0,0.0,0.0,3669.558318159118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI,0.0,11040.17260758131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,0.0,2230.336485674046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,0.0,0.0,0.0,16138.540982667822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,0.0,127.37312989203701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,0.0,18896.182945809967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,0.0,107552.93117259188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.43711908600022,0.0
NAM,0.0,38258.157749215585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER,0.0,71527.63530808601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA,0.0,6700108.990736176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC,0.0,0.0,34190.751418664746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,0.0,0.0,0.0,6764.65518809638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,0.0,0.0,22967.069784728166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,0.0,24324.511103091187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,0.0,7141559.469542795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAL,0.0,822.8781191291978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,0.0,0.0,10.346324788491664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
