Period,ReporterISO,ReporterDesc,FlowDesc,PartnerISO,PartnerDesc,CmdCode,NetWgt,PrimaryValue,Probability
2012,AUS,Australia,Export,BEL,Belgium,850790,120579.0,646041.0,5.767596635799661
2012,BRA,Brazil,Export,BEL,Belgium,850790,29521.939,431159.0,1.4121085434336227
2012,CAN,Canada,Export,BEL,Belgium,850790,542.0,3150.0,0.025925222274222014
2012,CHN,China,Export,BEL,Belgium,850790,2392.0,25053.0,0.11441537210320858
2012,CZE,Czechia,Export,BEL,Belgium,850790,19627.0,333056.0,0.9388087409154158
2012,FRA,France,Export,BEL,Belgium,850790,1047974.0,4178032.0,50.12723041993642
2012,DEU,Germany,Export,BEL,Belgium,850790,156785.143,2621891.617,7.499427456772478
2012,IND,India,Export,BEL,Belgium,850790,18349.0,134948.0,0.8776787887632834
2012,ITA,Italy,Export,BEL,Belgium,850790,1329.0,98426.0,0.06356941033660711
2012,NLD,Netherlands,Export,BEL,Belgium,850790,176400.0,2389942.57,8.437655367477422
2012,NOR,Norway,Export,BEL,Belgium,850790,2584.0,27303.0,0.12359921468005476
2012,POL,Poland,Export,BEL,Belgium,850790,448059.0,3793668.0,21.431788130932915
2012,ROU,Romania,Export,BEL,Belgium,850790,398.0,7104.0,0.019037340341587383
2012,SVK,Slovakia,Export,BEL,Belgium,850790,107.0,21838.842999999997,0.005118078936054899
2012,ESP,Spain,Export,BEL,Belgium,850790,39988.992,149214.749,1.9127739965352135
2012,SWE,Sweden,Export,BEL,Belgium,850790,3396.0959999999995,82839.274,0.1624438074992551
2012,CHE,Switzerland,Export,BEL,Belgium,850790,504.0,17487.44,0.024107586764221204
2012,GBR,United Kingdom,Export,BEL,Belgium,850790,13451.0,319389.0,0.643395138026864
2012,USA,United States of America,Export,BEL,Belgium,850790,8641.0,50172.0,0.4133207484714989
2012,AUS,Australia,Export,CHN,China,850790,59755.0,246066.0,0.29593794988560934
2012,BEL,Belgium,Export,CHN,China,850790,17180.7,174369.595,0.08508779408584535
2012,BRA,Brazil,Export,CHN,China,850790,634769.562,3213406.0,3.1437101971059525
2012,CAN,Canada,Export,CHN,China,850790,91104.0,528944.0,0.4511945608966372
2012,CZE,Czechia,Export,CHN,China,850790,4259.0,149896.0,0.021092791039457957
2012,FIN,Finland,Export,CHN,China,850790,17615.0,512241.0,0.08723867437427846
2012,FRA,France,Export,CHN,China,850790,204656.0,4195947.0,1.0135633348136435
2012,DEU,Germany,Export,CHN,China,850790,486355.792,4556974.716,2.408687741602742
