Period,ReporterISO,ReporterDesc,FlowDesc,PartnerISO,PartnerDesc,CmdCode,NetWgt,PrimaryValue,Probability
2017,AUS,Australia,Export,BEL,Belgium,870360,69413.125,1404955.398,1.2387971350201987
2017,FRA,France,Export,BEL,Belgium,870360,9766.0,270453.028,0.17429114192175124
2017,DEU,Germany,Export,BEL,Belgium,870360,34641.0,1217921.54,0.6182284914306149
2017,HUN,Hungary,Export,BEL,Belgium,870360,1484.0,53428.0,0.02648454378577502
2017,NLD,Netherlands,Export,BEL,Belgium,870360,3957764.0,21374115.482,70.6331360860944
2017,NOR,Norway,Export,BEL,Belgium,870360,905223.0,20294038.516,16.15526831495325
2017,ROU,Romania,Export,BEL,Belgium,870360,1500.0,11076.51,0.026770091427670173
2017,SVK,Slovakia,Export,BEL,Belgium,870360,1530.0,33791.018,0.02730549325622357
2017,SWE,Sweden,Export,BEL,Belgium,870360,495000.0,8576251.69,8.834130171131156
2017,CHE,Switzerland,Export,BEL,Belgium,870360,126947.0,3202207.195,2.265588530978963
2017,AUS,Australia,Export,CHN,China,870360,6593.757,133460.855,0.55418665998604
2017,BEL,Belgium,Export,CHN,China,870360,2440.0,14620.58,0.20507511125537956
2017,CAN,Canada,Export,CHN,China,870360,14464.987123802024,301876.748,1.215741329393989
2017,DEU,Germany,Export,CHN,China,870360,95752.0,2496642.1969999997,8.047685267592255
2017,ITA,Italy,Export,CHN,China,870360,500.0,3609.8959999999997,0.042023588372004005
2017,KOR,North Korea,Export,CHN,China,870360,80323.0,1900892.0,6.750921377608956
2017,NOR,Norway,Export,CHN,China,870360,437831.0,11586056.375999998,36.79845944100577
2017,SWE,Sweden,Export,CHN,China,870360,17000.0,665905.001,1.4288020046481362
2017,CHE,Switzerland,Export,CHN,China,870360,39444.0,1037551.535,3.3151568394906525
2017,THA,Thailand,Export,CHN,China,870360,232.0,580.07,0.01949894500460986
2017,TUR,Turkey,Export,CHN,China,870360,2040.0,34968.0,0.17145624055777633
2017,USA,United States of America,Export,CHN,China,870360,493187.217,9982349.0,41.450993195084436
2017,AUS,Australia,Export,FRA,France,870360,19031.465,385206.099,0.33455853147633
2017,BEL,Belgium,Export,FRA,France,870360,113769.7,2499162.3680000002,1.999983908674536
2017,DEU,Germany,Export,FRA,France,870360,5489970.0,58446856.127,96.5094542668737
