year,country,Strategy 1,Strategy 2,Strategy 3,Increase rate2-1,Increase rate3-2,Increase rate3-1
2023,Australia,686.2925648616296,1397.9825200696482,686.2925648616296,1.037006652332755,-0.5090835865190659,0.0
2023,Belgium,14991.063525192058,4177.17442305226,12789.0753714673,-0.7213556986112002,2.0616570141024484,-0.1468867202133044
2023,Brazil,239.53488844282958,239.53488844282958,239.53488844282958,0.0,0.0,0.0
2023,Canada,4828.496729861417,4828.496729861417,4828.496729861417,0.0,0.0,0.0
2023,Czechia,95.48578846411333,95.48578846411333,95.48578846411333,0.0,0.0,0.0
2023,Finland,1351.9934973342977,1361.947411895858,1351.9934973342977,0.007362398252052512,-0.007308589505452598,0.0
2023,France,15941.933889156559,15941.933889156559,15941.933889156559,0.0,0.0,0.0
2023,Germany,43672.69811971066,26625.2221912892,43672.69811971066,-0.39034629556646233,0.6402754428092161,0.0
2023,Hungary,25.950289076954785,7904.732256873472,25.950289076954785,303.61056651169594,-0.9967171197918323,0.0
2023,India,415.33012560394917,5453.822722914889,415.33012560394917,12.13129577341459,-0.9238460531804802,0.0
2023,Italy,4006.1855420059537,5818.340092345316,4006.1855420059537,0.45233914688633997,-0.3114555906973291,0.0
2023,Japan,6740.874206383696,6740.874206383696,6740.874206383696,0.0,0.0,0.0
2023,Korea,26287.24703329567,4759.895604244392,24241.289028060673,-0.8189275735791022,4.092819474117195,-0.07783082049799914
2023,Netherlands,9853.810960618419,9853.810960618419,9853.810960618419,0.0,0.0,0.0
2023,Norway,11044.165068083186,11485.500583019963,11044.165068083186,0.03996096691928328,-0.03842544882973945,0.0
2023,Poland,587.6459885525317,2032.9394336795667,587.6459885525317,2.459462794406254,-0.7109377786583105,0.0
2023,Romania,41.64573303758943,41.64573303758943,41.64573303758943,0.0,0.0,0.0
2023,Russia,3155.6367114345453,5017.9445573461435,3155.6367114345453,0.5901528015450794,-0.3711296178402822,0.0
2023,Serbia,135.07546449643377,135.07546449643377,135.07546449643377,0.0,0.0,0.0
2023,Slovakia,95.63922888208519,95.63922888208519,95.63922888208519,0.0,0.0,0.0
2023,Spain,3484.9232940382526,6678.556257077695,3484.9232940382526,0.9164141341368608,-0.4781921181924528,0.0
2023,Sweden,7639.80286270016,7639.80286270016,7639.80286270016,0.0,0.0,0.0
2023,Switzerland,2146.014852539191,2146.014852539191,2146.014852539191,0.0,0.0,0.0
2023,Thailand,3228.272063474581,21604.005447650583,3228.272063474581,5.692126630863399,-0.8505706698094888,0.0
2023,Turkey,4474.560947165852,4474.560947165852,4474.560947165852,0.0,0.0,0.0
2023,USA,69031.39834665172,73801.88843575925,69031.39834665172,0.06910609090014051,-0.06463913309291523,0.0
2023,UK,11741.777987290763,11809.490298922823,11741.777987290763,0.0057667852096463905,-0.005733720077507169,0.0
2023,Viet Nam,16096.945568498024,7278.445909796244,7278.445909796244,-0.5478368316011283,0.0,-0.5478368316011283
2033,Australia,87344.62246538537,31474.619026868088,31474.619026868088,-0.6396501795019898,0.0,-0.6396501795019898
2033,Belgium,21529.233135635426,21529.233135635426,21529.233135635426,0.0,0.0,0.0
2033,Brazil,3001737.576893136,4833769.287825435,2742056.5489234678,0.6103237421668594,-0.4327291217994736,-0.08651023659384766
2033,Canada,329970.0013227286,320505.9027741367,320505.9027741367,-0.028681693822631745,0.0,-0.028681693822631745
2033,Czechia,2438.4980853821744,2438.4980853821744,2438.4980853821744,0.0,0.0,0.0
2033,Finland,16736.150454470797,16736.150454470797,16736.150454470797,0.0,0.0,0.0
2033,France,276581.0606834524,240172.40653917985,240172.40653917985,-0.13163827651215185,0.0,-0.13163827651215185
2033,Germany,511614.9534284147,473610.73930665763,473610.73930665763,-0.07428284468052522,0.0,-0.07428284468052522
2033,Hungary,324815.8607680028,320948.12806434784,321652.23949246074,-0.011907462568207119,0.0021938480599946924,-0.009739737671867147
