country,scrap_sum,in-use,Strategy type,Recycled metal supply rate,year
Australia,13.678516020340941,347.07968921423276,Strategy 2,0.0394103038737538,2023
Belgium,42.43840978213616,1433.2570573263272,Strategy 2,0.029609768579338443,2023
Brazil,2.284187733978044,1548.0002213654493,Strategy 2,0.001475573260553686,2023
Canada,47.20988596103317,1691.1483676130895,Strategy 2,0.027915874718707188,2023
Czechia,0.9662564548154505,115.16845708104563,Strategy 2,0.008389940086941362,2023
Finland,13.841274707439718,286.14397239857414,Strategy 2,0.04837171508949349,2023
France,178.97352082993314,6940.960667753913,Strategy 2,0.025785122463148714,2023
Germany,297.2212871172244,14052.921570597613,Strategy 2,0.021150142027341067,2023
Hungary,86.3476050012858,35.48165102731864,Strategy 2,2.4335847544073856,2023
India,53.73103627947317,310.4813482702135,Strategy 2,0.173057211258664,2023
Italy,60.55971608530961,7709.5222073306095,Strategy 2,0.007855184077130787,2023
Japan,69.45070949324047,508.2668994223826,Strategy 2,0.13664220426741813,2023
Korea,46.61311057851616,2088.2620805909264,Strategy 2,0.02232148493800443,2023
Netherlands,110.51967223559949,1507.5252070347149,Strategy 2,0.07331198955736895,2023
Norway,124.06723242890382,298.2214723864484,Strategy 2,0.41602380752829254,2023
Poland,20.281651412981052,1301.836853687195,Strategy 2,0.01557925738201165,2023
Romania,0.4213607717247325,54.60792064484084,Strategy 2,0.007716110900196695,2023
Russian Federation,49.56080462377557,264.29485249674167,Strategy 2,0.18752088493432376,2023
Serbia,1.3303793049065413,9.624631150345335,Strategy 2,0.1382265236064456,2023
Slovakia,0.9678212345499635,128.34615652467923,Strategy 2,0.0075407106901862276,2023
Spain,70.26287170248366,2662.4046318445517,Strategy 2,0.026390756259240936,2023
Sweden,85.95050466359163,1339.048909667274,Strategy 2,0.06418772611147457,2023
Switzerland,20.922712209775952,700.7207108152111,Strategy 2,0.02985884659443659,2023
Thailand,234.0317812347327,279.22201730893687,Strategy 2,0.8381566163380133,2023
Turkey,44.02830753574271,442.4368821255519,Strategy 2,0.099513194569635,2023
USA,704.6167650977454,11670.161693497095,Strategy 2,0.060377635169388905,2023
United Kingdom,125.71837017763124,4431.873366149822,Strategy 2,0.028366868768826926,2023
Viet Nam,78.89237531829141,1078.7727258858336,Strategy 2,0.07313159984973572,2023
Australia,6.669350702198661,347.07968921423276,Strategy 3,0.01921561793862863,2023
Belgium,140.7425063371116,1433.2570573263272,Strategy 3,0.09819767195122697,2023
Brazil,2.284187733978044,1548.0002213654493,Strategy 3,0.001475573260553686,2023
Canada,47.20988596103317,1691.1483676130895,Strategy 3,0.027915874718707188,2023
Czechia,0.9662564548154505,115.16845708104563,Strategy 3,0.008389940086941362,2023
Finland,13.74052747731047,286.14397239857414,Strategy 3,0.04801962928707472,2023
France,178.97352082993314,6940.960667753913,Strategy 3,0.025785122463148714,2023
Germany,482.251196887551,14052.921570597613,Strategy 3,0.034316792737002576,2023
Hungary,0.26259377204429646,35.48165102731864,Strategy 3,0.007400832950025796,2023
India,4.0587160168966205,310.4813482702135,Strategy 3,0.013072334423658516,2023
Italy,40.39082238311444,7709.5222073306095,Strategy 3,0.005239082435576717,2023
Japan,69.45070949324047,508.2668994223826,Strategy 3,0.13664220426741813,2023
Korea,261.66299145426393,2088.2620805909264,Strategy 3,0.12530179707147668,2023
Netherlands,110.51967223559949,1507.5252070347149,Strategy 3,0.07331198955736895,2023
Norway,119.27069299230772,298.2214723864484,Strategy 3,0.3999399910337494,2023
Poland,5.927552958574033,1301.836853687195,Strategy 3,0.004553222580683143,2023
Romania,0.4213607717247325,54.60792064484084,Strategy 3,0.007716110900196695,2023
Russian Federation,31.196361635242965,264.29485249674167,Strategy 3,0.11803620592885958,2023
Serbia,1.3303793049065413,9.624631150345335,Strategy 3,0.1382265236064456,2023
Slovakia,0.9678212345499635,128.34615652467923,Strategy 3,0.0075407106901862276,2023
Spain,35.36700849989382,2662.4046318445517,Strategy 3,0.013283859289033409,2023
Sweden,85.95050466359163,1339.048909667274,Strategy 3,0.06418772611147457,2023
Switzerland,20.922712209775952,700.7207108152111,Strategy 3,0.02985884659443659,2023
Thailand,31.964828389924033,279.22201730893687,Strategy 3,0.11447818011628182,2023
Turkey,44.02830753574271,442.4368821255519,Strategy 3,0.099513194569635,2023
USA,653.0050083417855,11670.161693497095,Strategy 3,0.0559550951813852,2023
United Kingdom,124.96229883837931,4431.873366149822,Strategy 3,0.028196270180648228,2023
Viet Nam,78.89237531829141,1078.7727258858336,Strategy 3,0.07313159984973572,2023
