country,scrap_sum,in-use,Strategy type,Recycled metal supply rate,year
Australia,13.338701404397325,694.1593784284654,Strategy 1,0.019215617938628637,2023
Belgium,183.08015486656979,2866.5141146526544,Strategy 1,0.06386856912049577,2023
Brazil,4.568375467956089,3096.0004427308986,Strategy 1,0.0014755732605536865,2023
Canada,94.41977192206635,3382.2967352261785,Strategy 1,0.02791587471870719,2023
Czechia,1.9325129096309006,230.33691416209132,Strategy 1,0.008389940086941359,2023
Finland,27.481054954620944,572.2879447971482,Strategy 1,0.04801962928707473,2023
France,357.94704165986616,13881.921335507828,Strategy 1,0.025785122463148704,2023
Germany,756.7353789311135,28105.843141195226,Strategy 1,0.026924485955803018,2023
Hungary,0.5251875440885928,70.96330205463727,Strategy 1,0.007400832950025796,2023
India,8.117432033793241,620.9626965404274,Strategy 1,0.013072334423658509,2023
Italy,80.78164476622888,15419.044414661223,Strategy 1,0.005239082435576716,2023
Japan,138.94493411687466,1016.533798844765,Strategy 1,0.13668501162949817,2023
Korea,308.00462330125526,4176.524161181854,Strategy 1,0.07374663988872927,2023
Netherlands,221.0967325977616,3015.0504140694293,Strategy 1,0.07333102344360012,2023
Norway,238.5413859846154,596.4429447728968,Strategy 1,0.39993999103374933,2023
Poland,11.855105917148066,2603.6737073743902,Strategy 1,0.004553222580683142,2023
Romania,0.8427215434494649,109.21584128968169,Strategy 1,0.007716110900196693,2023
Russian Federation,62.39422010925147,528.5897049934832,Strategy 1,0.11803903768806981,2023
Serbia,2.6681088947615828,19.249262300690663,Strategy 1,0.1386083712239638,2023
Slovakia,1.935642469099927,256.6923130493584,Strategy 1,0.007540710690186229,2023
Spain,70.73401699978766,5324.809263689102,Strategy 1,0.013283859289033414,2023
Sweden,171.90100932718326,2678.0978193345472,Strategy 1,0.06418772611147458,2023
Switzerland,41.845424419551904,1401.441421630422,Strategy 1,0.029858846594436595,2023
Thailand,64.02472374015787,558.4440346178736,Strategy 1,0.11464841554618459,2023
Turkey,88.05661507148545,884.8737642511035,Strategy 1,0.09951319456963507,2023
USA,1306.010016683571,23340.323386994183,Strategy 1,0.055955095181385216,2023
United Kingdom,249.92459767675862,8863.746732299644,Strategy 1,0.028196270180648228,2023
Viet Nam,265.32087720105164,2157.545451771667,Strategy 1,0.12297348219625388,2023
Australia,315.50202152623405,2953.2686261819276,Strategy 2,0.10683146759125814,2033
Belgium,227.78188354102184,1316.950378617734,Strategy 2,0.1729616295642823,2033
Brazil,49199.22763883767,33091.91819188364,Strategy 2,1.4867445082378037,2033
Canada,3262.5975866250933,30893.64036663537,Strategy 2,0.10560741783440471,2033
Czechia,23.869070209899995,7856.208580286795,Strategy 2,0.0030382429343581204,2033
Finland,176.8247673104342,1120.7181187292304,Strategy 2,0.1577780927740633,2033
France,2584.5285895080397,7160.041533154077,Strategy 2,0.36096558623864944,2033
Germany,5110.190621295192,9138.014188133926,Strategy 2,0.5592233187743325,2033
Hungary,3448.840045105248,1208.3597027586534,Strategy 2,2.8541501650805112,2033
India,15114.156775711424,80594.74186972597,Strategy 2,0.18753278967183834,2033
Italy,2812.8191147156135,5928.231529006125,Strategy 2,0.4744786199649638,2033
Japan,8387.834572359698,2642.8241050300776,Strategy 2,3.1738149188192897,2033
Korea,48330.62189786121,4425.804514921306,Strategy 2,10.920189026631821,2033
Netherlands,860.8845441452543,2015.5361371294869,Strategy 2,0.4271243409067923,2033
Norway,4941.131891136609,579.9403281836379,Strategy 2,8.52006948130705,2033
Poland,2038.7493561934068,3859.8218337764974,Strategy 2,0.5281977883934268,2033
Romania,23.86468126009009,15897.36286865064,Strategy 2,0.0015011723301070823,2033
Russian Federation,1487.3096170828135,1867.8650748323225,Strategy 2,0.7962618055891048,2033
Serbia,23.226707917427664,68.30956598499078,Strategy 2,0.3400213071552982,2033
Slovakia,23.877398273380177,564.615734925884,Strategy 2,0.04228964372825089,2033
Spain,3266.2093166982854,4884.094016644728,Strategy 2,0.6687441530746994,2033
Sweden,6021.254947903279,1304.151351614248,Strategy 2,4.61699091938241,2033
Switzerland,2240.6915054611827,835.224627724145,Strategy 2,2.6827411825327907,2033
Thailand,1447.8686241047421,2065.808498699163,Strategy 2,0.7008726244550079,2033
Turkey,243.02080988177346,3631.7994201766433,Strategy 2,0.06691471134987775,2033
USA,16200.81005765941,171964.33243657366,Strategy 2,0.09421029249559541,2033
United Kingdom,4296.124403484824,6186.993356858376,Strategy 2,0.6943799929447969,2033
Viet Nam,143.02934772282,3032.171383261695,Strategy 2,0.04717060140873828,2033
Australia,315.50202152623405,2953.2686261819276,Strategy 3,0.10683146759125814,2033
Belgium,227.78188354102184,1316.950378617734,Strategy 3,0.1729616295642823,2033
Brazil,27909.289069471062,33091.91819188364,Strategy 3,0.8433868628478688,2033
Canada,3262.5975866250933,30893.64036663537,Strategy 3,0.10560741783440471,2033
Czechia,23.869070209899995,7856.208580286795,Strategy 3,0.0030382429343581204,2033
Finland,176.8247673104342,1120.7181187292304,Strategy 3,0.1577780927740633,2033
France,2584.5285895080397,7160.041533154077,Strategy 3,0.36096558623864944,2033
Germany,5110.190621295192,9138.014188133926,Strategy 3,0.5592233187743325,2033
Hungary,3419.8287881086317,1208.3597027586534,Strategy 3,2.8301413728885967,2033
India,2816.8846539550777,80594.74186972597,Strategy 3,0.03495122124106203,2033
Italy,2812.8191147156135,5928.231529006125,Strategy 3,0.4744786199649638,2033
Japan,8918.927170409077,2642.8241050300776,Strategy 3,3.374771386954476,2033
Korea,49315.93019317523,4425.804514921306,Strategy 3,11.14281709165189,2033
Netherlands,860.8845441452543,2015.5361371294869,Strategy 3,0.4271243409067923,2033
Norway,374.69176585815615,579.9403281836379,Strategy 3,0.6460867569456389,2033
Poland,2038.7493561934068,3859.8218337764974,Strategy 3,0.5281977883934268,2033
Romania,23.86468126009009,15897.36286865064,Strategy 3,0.0015011723301070823,2033
Russian Federation,479.8842688100221,1867.8650748323225,Strategy 3,0.25691591714840595,2033
Serbia,17.14013671118458,68.30956598499078,Strategy 3,0.25091854214021314,2033
Slovakia,23.877398273380177,564.615734925884,Strategy 3,0.04228964372825089,2033
Spain,3266.2093166982854,4884.094016644728,Strategy 3,0.6687441530746994,2033
Sweden,5846.628493665087,1304.151351614248,Strategy 3,4.483090468317399,2033
Switzerland,712.2997816376735,835.224627724145,Strategy 3,0.8528242079960906,2033
Thailand,518.0981716112111,2065.808498699163,Strategy 3,0.2507968051915058,2033
Turkey,243.02080988177346,3631.7994201766433,Strategy 3,0.06691471134987775,2033
USA,16200.81005765941,171964.33243657366,Strategy 3,0.09421029249559541,2033
United Kingdom,4296.124403484824,6186.993356858376,Strategy 3,0.6943799929447969,2033
Viet Nam,143.02934772282,3032.171383261695,Strategy 3,0.04717060140873828,2033
Australia,1548.0812175080564,5906.537252363856,Strategy 1,0.2620962420728826,2033
Belgium,1361.7902653392657,2633.900757235467,Strategy 1,0.5170241367668674,2033
Brazil,59599.32870653752,66183.83638376728,Strategy 1,0.9005118464416377,2033
Canada,9289.92730088343,61787.28073327075,Strategy 1,0.15035339297398564,2033
Czechia,1374.719423098934,15712.41716057359,Strategy 1,0.08749254866707912,2033
Finland,601.6359800372226,2241.4362374584603,Strategy 1,0.2684153891967995,2033
France,9244.636449910318,14320.083066308154,Strategy 1,0.64557142630414,2033
Germany,12637.55725101776,18276.02837626785,Strategy 1,0.6914826892821053,2033
Hungary,3763.563639827791,2416.7194055173068,Strategy 1,1.5573026935752965,2033
India,5633.7693079101555,161189.48373945194,Strategy 1,0.03495122124106203,2033
Italy,9316.71689534638,11856.463058012252,Strategy 1,0.7857922594420277,2033
Japan,9756.049997324302,5285.648210060156,Strategy 1,1.845762262186811,2033
Korea,53022.01115613607,8851.609029842613,Strategy 1,5.990098633748493,2033
Netherlands,2418.821134141216,4031.0722742589733,Strategy 1,0.600044099825986,2033
Norway,749.3835317163124,1159.880656367276,Strategy 1,0.6460867569456389,2033
Poland,6315.965237439676,7719.643667552995,Strategy 1,0.8181679763260027,2033
Romania,811.1980556662058,31794.725737301284,Strategy 1,0.025513604437685578,2033
Russian Federation,959.7690908156868,3735.7301496646455,Strategy 1,0.25691606523074073,2033
Serbia,34.282512503571155,136.61913196998154,Strategy 1,0.25093493136161804,2033
Slovakia,475.87066128041437,1129.231469851768,Strategy 1,0.42141108708463554,2033
Spain,8154.864817110062,9768.188033289456,Strategy 1,0.8348390499157801,2033
Sweden,6741.559443272733,2608.3027032284954,Strategy 1,2.584653780762559,2033
Switzerland,1424.5995632753466,1670.4492554482895,Strategy 1,0.8528242079960905,2033
Thailand,1036.2212873822764,4131.616997398327,Strategy 1,0.2508028425758688,2033
Turkey,1099.2592879582394,7263.5988403532865,Strategy 1,0.1513381055477967,2033
USA,45823.220144096886,343928.6648731473,Strategy 1,0.13323466411558937,2033
United Kingdom,9721.642766893194,12373.98671371675,Strategy 1,0.7856516248006479,2033
Viet Nam,1588.3732597993526,6064.342766523389,Strategy 1,0.2619200993333605,2033
