year,embedded_li,collection_loss,technology_loss,trade_policy_loss,economic_selection_loss,supply_chain_available_secondary_li,embedded_li_kt,collection_loss_kt,technology_loss_kt,trade_policy_loss_kt,economic_selection_loss_kt,supply_chain_available_secondary_li_kt
2025,8859.997099826278,2577.210123624256,0.0,0.0,0.0,6282.786976202022,8.859997099826279,2.577210123624256,0.0,0.0,0.0,6.282786976202022
2030,91632.03333686558,16253.404711231118,0.0,0.0,0.0,75378.62862563446,91.63203333686559,16.25340471123112,0.0,0.0,0.0,75.37862862563446
2035,358389.7949348645,36183.9080226698,0.0,0.0,0.0,322205.8869121947,358.3897949348645,36.1839080226698,0.0,0.0,0.0,322.2058869121947
2040,766490.0623872235,47112.30186833763,0.0,0.0,0.0,719377.7605188858,766.4900623872235,47.11230186833763,0.0,0.0,0.0,719.3777605188858
2045,1414282.8844574655,69135.31309591467,0.0,0.0,0.0,1345147.5713615506,1414.2828844574656,69.13531309591467,0.0,0.0,0.0,1345.1475713615505
2050,1856501.841004832,83699.3207181615,0.0,0.0,0.0,1772802.5202866702,1856.501841004832,83.6993207181615,0.0,0.0,0.0,1772.8025202866702
